openalex_id,doi,title,year,publication_date,type,cited_by_count,relevance_score,authors,source,dataset_mentioned,ml_match_count,matched_ml_terms,regime_selected,regime_match_count,matched_regime_terms,abstract
https://openalex.org/W2955748575,https://doi.org/10.3390/s19132969,Local Interpretable Model-Agnostic Explanations for Classification of Lymph Node Metastases,2019,2019-07-05,article,147,199.21062,"Iam Palatnik de Sousa, Marley Vellasco, Eduardo Costa da Silva",Sensors,True,10,machine learning; artificial intelligence; prediction; classification; algorithm; neural network; neural networks; ann; convolutional neural network; cnn,H,3,whole slide image; ct; segmentation,"An application of explainable artificial intelligence on medical data is presented. There is an increasing demand in machine learning literature for such explainable models in health-related applications. This work aims to generate explanations on how a Convolutional Neural Network (CNN) detects tumor tissue in patches extracted from histology whole slide images. This is achieved using the ""locally-interpretable model-agnostic explanations"" methodology. Two publicly-available convolutional neural networks trained on the Patch Camelyon Benchmark are analyzed. Three common segmentation algorithms are compared for superpixel generation, and a fourth simpler parameter-free segmentation algorithm is proposed. The main characteristics of the explanations are discussed, as well as the key patterns identified in true positive predictions. The results are compared to medical annotations and literature and suggest that the CNN predictions follow at least some aspects of human expert knowledge."
https://openalex.org/W7147281985,https://doi.org/10.1109/iciss67859.2026.11453748,Hierarchical Graph Vision Transformers with Multimodal Contrastive Fusion for Semantically Consistent Biomedical Image Analysis,2026,2026-03-04,article,0,3.7872381,"Nithin Reddy Kumbham, Rohan G. Reddy, Amulya Mallepalli, et al.",NA,True,10,artificial intelligence; deep learning; predictive; classification; neural network; neural networks; ann; convolutional neural network; transformer; auc,H,2,ct; segmentation,"Biomedical image analysis is a cornerstone of modern healthcare, enabling early disease detection, treatment planning, and precision diagnostics. However, traditional deep learning methods — including convolutional neural networks and standalone transformers — often suffer from limitations such as inadequate structural understanding, poor semantic consistency, and the inability to effectively integrate multimodal biomedical information. To address these challenges, we propose HGVT-MCF (Hierarchical Graph Vision Transformer with Multimodal Contrastive Fusion), a novel framework that unifies graph-based spatial reasoning, transformer-driven global attention, and contrastive multimodal fusion to deliver semantically consistent and biologically meaningful image analysis. The proposed architecture models complex topological relationships in medical images through hierarchical graph construction, while the transformer encoder captures longrange contextual dependencies. A contrastive fusion mechanism aligns visual, genomic, and clinical embeddings in a shared latent space, significantly enhancing predictive power. Experimental evaluations on multiple benchmark datasets (BRATS, CAMELYON, TCGA, and PAIP) demonstrate that HGVT-MCF outperforms state-of-the-art approaches, achieving superior segmentation accuracy (Dice <tex xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">$\approx 94.5 \%$</tex>, IoU <tex xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">$\approx 88.6\%)$</tex> and classification performance (AUC <tex xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">$\approx 0.98$</tex>). Moreover, the quality of qualitative results demonstrates better boundary precision, interpretability and robustness of the framework which confirms clinical relevance of the framework. This publication is an important step towards the next generation, multimodal, context-aware biomedical artificial intelligence systems to understand disease reliably, diagnose diseases and make decisions."
https://openalex.org/W4362693528,https://doi.org/10.1117/12.2654307,Multi-scale local explanation approach for image analysis using model-agnostic Explainable Artificial Intelligence (XAI),2023,2023-04-07,article,4,27.917843,"Hooria Hajiyan, Mehran Ebrahimi",NA,True,9,artificial intelligence; deep learning; prediction; classification; neural network; neural networks; deep neural network; convolutional neural network; cnn,H,3,histopathology; ct; image classification,"The recent success of deep neural networks has generated remarkable growth in Artificial Intelligence (AI) research and has received much interest over the past few years. One of the main challenges for the broad adoption of deep learning-based models such as Convolutional Neural Networks (CNN) is the lack of understanding of their decisions. To address this issue, Explainable Artificial Intelligence (XAI) has been proposed to shift toward more transparent AI, resulting in the development of techniques to explain decisions by AI models. This paper aims to explore and develop a multi-scale scheme of LIME (Local Interpretable Model-Agnostic Explanations) applied to image classification to explain decisions made by CNN models through heatmaps of coarse to finer scales. More precisely, when LIME highlights large superpixels from a coarse scale, there may be smaller regions in the corresponding superpixel that influenced the model’s prediction at some finer scale. In the proposed multi-scale scheme, two weighting approaches, one based on Gaussian distribution and another parameter-free framework will be introduced to produce visual explanations observed from different scales. Promising results for multi-scale classification heatmaps of histopathology images are presented. More specifically, we investigated the proposed multi-scale approach on Camelyon16 dataset. The results show that the explanations are faithful to the underlying model, and the visualizations are reasonably interpretable."
https://openalex.org/W4402952835,https://doi.org/10.48550/arxiv.2408.16395,IBO: Inpainting-Based Occlusion to Enhance Explainable Artificial Intelligence Evaluation in Histopathology,2024,2024-08-29,preprint,0,5.568121,"P. Afshar, Sajjad Hashembeiki, Pouya Khani, et al.",arXiv (Cornell University),True,9,artificial intelligence; deep learning; prediction; neural network; neural networks; ann; convolutional neural network; auc; area under the curve,H,2,histopathology; ct,"Histopathological image analysis is crucial for accurate cancer diagnosis and treatment planning. While deep learning models, especially convolutional neural networks, have advanced this field, their ""black-box"" nature raises concerns about interpretability and trustworthiness. Explainable Artificial Intelligence (XAI) techniques aim to address these concerns, but evaluating their effectiveness remains challenging. A significant issue with current occlusion-based XAI methods is that they often generate Out-of-Distribution (OoD) samples, leading to inaccurate evaluations. In this paper, we introduce Inpainting-Based Occlusion (IBO), a novel occlusion strategy that utilizes a Denoising Diffusion Probabilistic Model to inpaint occluded regions in histopathological images. By replacing cancerous areas with realistic, non-cancerous tissue, IBO minimizes OoD artifacts and preserves data integrity. We evaluate our method on the CAMELYON16 dataset through two phases: first, by assessing perceptual similarity using the Learned Perceptual Image Patch Similarity (LPIPS) metric, and second, by quantifying the impact on model predictions through Area Under the Curve (AUC) analysis. Our results demonstrate that IBO significantly improves perceptual fidelity, achieving nearly twice the improvement in LPIPS scores compared to the best existing occlusion strategy. Additionally, IBO increased the precision of XAI performance prediction from 42% to 71% compared to traditional methods. These results demonstrate IBO's potential to provide more reliable evaluations of XAI techniques, benefiting histopathology and other applications. The source code for this study is available at https://github.com/a-fsh-r/IBO."
https://openalex.org/W3133239026,https://doi.org/10.1117/12.2581996,Reproducibility in deep learning algorithms for digital pathology applications: a case study using the CAMELYON16 datasets,2021,2021-02-12,article,3,206.27463,"Weizhe Li, Weijie Chen",NA,True,9,artificial intelligence; deep learning; classifier; classification; algorithm; random forest; neural network; convolutional neural network; auc,H,1,ct,"Reproducibility as a cornerstone of science has in recent years attracted significant attention in a variety of applications that involve big data and complex algorithms. Artificial Intelligence (AI) applications, in particular, have been referred by some authors as having a “reproducibility crisis”. The application of deep learning algorithms in digital pathology, which has been demonstrated in some studies to achieve pathologist-level performance, involves both big data and complex algorithms. It is important to identify technical factors influencing AI performance for such studies to be reproducible. In this work, we conducted a reproducibility study using the public datasets shared by the CAMELYON16 challenge, which aimed to develop and assess algorithms for the detection of breast cancer metastasis using whole-slide images (WSIs) of lymph node sections. We used the two-stage classification framework of the CAMELYON16 challenge’s top-performing algorithm, i.e., a convolutional neural network (Inception V1) to generate heatmaps followed by feature extraction from the heatmaps and a random forest classifier for classification. We investigated the effects of variations in training/testing procedures on the performance of AI/ML algorithms including color augmentation methods, color normalization methods, and the resolution of heatmaps. Our results showed that, despite the differences in color augmentation and color normalization methods, the utilization of these techniques improved the classification performance by an AUC value of 0.07 compared to without using them, which is consistent with the CAMELYON16 findings. We concluded that sufficient details of technical description should be provided for a study to be fully reproducible."
https://openalex.org/W4223893058,https://doi.org/10.1016/j.media.2022.102462,Attention2majority: Weak multiple instance learning for regenerative kidney grading on whole slide images,2022,2022-04-17,article,52,92.00027,"Ziyu Su, Thomas E. Tavolara, Gabriel Carreno‐Galeano, et al.",Medical Image Analysis,True,8,deep learning; prediction; classification; algorithm; neural network; convolutional neural network; auc; cross-validation,H,4,whole slide image; mri; ct; pet,"Deep learning consistently demonstrates high performance in classifying and segmenting medical images like CT, PET, and MRI. However, compared to these kinds of images, whole slide images (WSIs) of stained tissue sections are huge and thus much less efficient to process, especially for deep learning algorithms. To overcome these challenges, we present attention2majority, a weak multiple instance learning model to automatically and efficiently process WSIs for classification. Our method initially assigns exhaustively sampled label-free patches with the label of the respective WSIs and trains a convolutional neural network to perform patch-wise classification. Then, an intelligent sampling method is performed in which patches with high confidence are collected to form weak representations of WSIs. Lastly, we apply a multi-head attention-based multiple instance learning model to do slide-level classification based on high-confidence patches (intelligently sampled patches). Attention2majority was trained and tested on classifying the quality of 127 WSIs (of regenerated kidney sections) into three categories. On average, attention2majority resulted in 97.4%±2.4 AUC for the four-fold cross-validation. We demonstrate that the intelligent sampling module within attention2majority is superior to the current state-of-the-art random sampling method. Furthermore, we show that the replacement of random sampling with intelligent sampling in attention2majority results in its performance boost (from 94.9%±3.1 to 97.4%±2.4 average AUC for the four-fold cross-validation). We also tested a variation of attention2majority on the famous Camelyon16 dataset, which resulted in 89.1%±0.8 AUC<sup>1</sup>. When compared to random sampling, the attention2majority demonstrated excellent slide-level interpretability. It also provided an efficient framework to arrive at a multi-class slide-level prediction."
https://openalex.org/W7144600145,,Research and Practice on Visual Attention Module Design for Saliency Detection,2022,2022-03-01,dissertation,0,1.9501438,Lu Wang,Institutional Repositories DataBase (IRDB),True,8,prediction; classification; algorithm; neural network; neural networks; ann; deep neural network; cnn,H,4,histopathology; whole slide image; ct; segmentation,"Visual attention is an important mechanism in the human visual system. When human observe images and videos, they usually do not describe all the contents in them. Instead, they tend to talk about the semantically important regions and objects in the images. The human eye is usually attracted by some regions of interest rather than the entire scene. These regions of interest that present the mainly meaningful or semantic content are called saliency region. Visual saliency detection refers to the use of intelligent algorithms to simulate human visual attention mechanism, extract both the low-level features and high-level semantic information and localize the salient object regions in images and videos. The generated saliency map indicates the regions that are likely to attract human attention. As a fundamental problem of image processing and computer vision, visual saliency detection algorithms have been extensively studied by researchers to solve practical tasks, such as image and video compression, image retargeting, object detection, etc. The visual attention mechanism adopted by saliency detection in general are divided into two categories, namely the bottom-up model and top-down model. The bottom-up attention algorithm focuses on utilizing the low-level visual features such as colour and edges to locate the salient objects. While the top-down attention utilizes the supervised learning to detect saliency. In recent years, more and more research tend to design deep neural networks with attention mechanisms to improve the accuracy of saliency detection. The design of deep attention neural network is inspired by human visual attention. The main goal is to enable the network to automatically capture the information that is critical to the target tasks and suppress irrelevant information, shift the attention from focusing on all to local. Currently various domain’s attention has been developed for saliency detection and semantic segmentation, such as the spatial attention module in convolution network, it generates a spatial attention map by utilizing the inter-spatial relationship of features; the channel attention module produces a attention by exploring the inter-channel relationship of features. All these well-designed attentions have been proven to be effective in improving the accuracy of saliency detection. This paper investigates the visual attention mechanism of salient object detection and applies it to digital histopathology image analysis for the detection and classification of breast cancer metastases. As shown in following contents, the main research contents include three parts: First, we studied the semantic attention mechanism and proposed a semantic attention approach to accurately localize the salient objects in complex scenarios. The proposed semantic attention uses Faster-RCNN to capture high-level deep features and replaces the last layer of Faster-RCNN by a FC layer and sigmoid function for visual saliency detection; it calculates proposals' attention probabilities by comparing their feature distances with the possible salient object. The proposed method introduces a re-weighting mechanism to reduce the influence of the complexity background, and a proposal selection mechanism to remove the background noise to obtain objects with accurate shape and contour. The simulation result shows that the semantic attention mechanism is robust to images with complex background due to the consideration of high-level object concept, the algorithm achieved outstanding performance among the salient object detection algorithms in the same period. Second, we designed a deep segmentation network (DSNet) for saliency object prediction. We explored a Pyramidal Attentional ASPP (PA-ASPP) module which can provide pixel level attention. DSNet extracts multi-level features with dilated ResNet-101 and the multiscale contextual information was locally weighted with the proposed PA-ASPP. The pyramid feature aggregation encodes the multi-level features from three different scales. This feature fusion incorporates neighboring scales of context features more precisely to produce better pixel-level attention. Finally, we use a scale-aware selection (SAS) module to locally weight multi-scale contextual features, capture important contexts of ASPP for the accurate and consistent dense prediction. The simulation results demonstrated that the proposed PA-ASPP is effective and can generate more coherent results. Besides, with the SAS, the model can adaptively capture the regions with different scales effectively. Finally, based on previous research on attentional mechanisms, we proposed a novel Deep Regional Metastases Segmentation (DRMS) framework for the detection and classification of breast cancer metastases. As we know, the digitalized whole slide image has high-resolution, usually has gigapixel, however the size of abnormal region is often relatively small, and most of the slide region are normal. The highly trained pathologists usually localize the regions of interest first in the whole slide, then perform precise examination in the selected regions. Even though the process is time-consuming and prone to miss diagnosis. Through observation and analysis, we believe that visual attention should be perfectly suited for the application of digital pathology image analysis. The integrated framework for WSI analysis can capture the granularity and variability of WSI, rich information from multi-grained pathological image. We first utilize the proposed attention mechanism based DSNet to detect the regional metastases in patch-level. Then, adopt the Density-Based Spatial Clustering of Applications with Noise (DBSCAN) to predict the whole metastases from individual slides. Finally, determine patient-level pN-stages by aggregating each individual slide-level prediction. In combination with the above techniques, the framework can make better use of the multi-grained information in histological lymph node section of whole-slice images. Experiments on large-scale clinical datasets (e.g., CAMELYON17) demonstrate that our method delivers advanced performance and provides consistent and accurate metastasis detection."
https://openalex.org/W7125395641,https://doi.org/10.1016/j.neucom.2026.132745,xMagNet: Dynamic magnification-aware fusion with uncertainty quantification for robust breast cancer histopathology,2026,2026-01-21,article,1,21.865086,"Saeed Iqbal, Muhammad Attique Khan, Leila Jamel, et al.",Neurocomputing,True,8,deep learning; prediction; neural network; ann; convolutional neural network; cnn; transformer; auc,H,3,histopathology; ct; segmentation,"Histopathology image analysis faces challenges due to magnification variability, limiting robust tumor categorization. Existing deep learning models prioritize accuracy but neglect explainability, ethical biases, and real-world deployment. This study proposes xMagNet, a hybrid Transformer-Convolutional Neural Network (CNN) framework that synergizes technical rigor, clinical transparency, and ethical fairness for multi-magnification breast cancer diagnostics. xMagNet integrates a hybrid encoder combining Vision Transformers (ViT) for global tissue modeling at low magnifications (4x - 10x) and Separable Dilation Convolutions (SDC) for localized nuclear texture extraction at high magnifications (20x - 40x). Magnification-Aware Gating (MAG) dynamically balances ViT and SDC features via temperature-scaled sigmoid activation. A multi-task decoder employs Thresholded Grad-CAM (top 10% gradients) for explainable decision-making and Point-wise Reformation Blocks (PRB) for boundary preservation. Federated learning (FL) with momentum-enhanced aggregation and Sinkhorn divergence regularization ensures scanner/stain-invariant training across six institutions (Hamamatsu/Leica, H&E/IHC). Uncertainty-quantified predictions (Monte Carlo dropout) and adversarial debiasing mitigate demographic leakage. xMagNet achieves 97.8% F1-score for tumor segmentation on Camelyon16 and 93% Gleason AUC on PANDA, with 96.5% pathologist concordance via Grad-CAM. At 40x magnification, it detects micro-metastases with 94% sensitivity (vs. UNet++’s 89% and ResUNet’s 91%). Computational efficiency includes sub-second inference (0.42 sec/slide) and 2.3 x faster convergence than HoVer-Net. Ethical auditing reveals 3% fairness gaps ( ) and 73% domain shift reduction (MMD: 0.12 vs. FedAvg’s 0.45), validated on 15,000 whole-slide images (WSIs) from TCGA-BRCA, Camelyon16, and PANDA datasets. xMagNet bridges critical gaps in multi-magnification histopathology by harmonizing technical robustness (MAG fusion, bounded gradients) with clinical utility (HER2+/ER+ subtyping, Gleason grading) and ethical scalability. By achieving high accuracy, rapid inference, and equitable deployment, it advances AI-driven diagnostics toward trustworthy, deployable systems for breast, prostate, and metastatic cancer imaging. Code available at: xMagNet ."
https://openalex.org/W3084024556,https://doi.org/10.3390/jimaging6090092,Comparative Study of First Order Optimizers for Image Classification Using Convolutional Neural Networks on Histopathology Images,2020,2020-09-08,article,86,20.730753,"Ibrahem Kandel, Mauro Castelli, Aleš Popovič",Journal of Imaging,True,8,classifier; classification; algorithm; neural network; neural networks; convolutional neural network; auc; roc curve,H,3,histopathology; ct; image classification,"The classification of histopathology images requires an experienced physician with years of experience to classify the histopathology images accurately. In this study, an algorithm was developed to assist physicians in classifying histopathology images; the algorithm receives the histopathology image as an input and produces the percentage of cancer presence. The primary classifier used in this algorithm is the convolutional neural network, which is a state-of-the-art classifier used in image classification as it can classify images without relying on the manual selection of features from each image. The main aim of this research is to improve the robustness of the classifier used by comparing six different first-order stochastic gradient-based optimizers to select the best for this particular dataset. The dataset used to train the classifier is the PatchCamelyon public dataset, which consists of 220,025 images to train the classifier; the dataset is composed of 60% positive images and 40% negative images, and 57,458 images to test its performance. The classifier was trained on 80% of the images and validated on the rest of 20% of the images; then, it was tested on the test set. The optimizers were evaluated based on their AUC of the ROC curve. The results show that the adaptative based optimizers achieved the highest results except for AdaGrad that achieved the lowest results."
https://openalex.org/W3092560349,https://doi.org/10.3390/cancers12102934,Integrative Data Augmentation with U-Net Segmentation Masks Improves Detection of Lymph Node Metastases in Breast Cancer Patients,2020,2020-10-12,article,41,15.551089,"Yong Won Jin, Shuo Jia, Ahmed Ashraf, et al.",Cancers,True,8,deep learning; neural network; neural networks; ann; convolutional neural network; cnn; auc; model performance,H,3,histopathology; ct; segmentation,"Deep learning models have potential to improve performance of automated computer-assisted diagnosis tools in digital histopathology and reduce subjectivity. The main objective of this study was to further improve diagnostic potential of convolutional neural networks (CNNs) in detection of lymph node metastasis in breast cancer patients by integrative augmentation of input images with multiple segmentation channels. For this retrospective study, we used the PatchCamelyon dataset, consisting of 327,680 histopathology images of lymph node sections from breast cancer. Images had labels for the presence or absence of metastatic tissue. In addition, we used four separate histopathology datasets with annotations for nucleus, mitosis, tubule, and epithelium to train four instances of U-net. Then our baseline model was trained with and without additional segmentation channels and their performances were compared. Integrated gradient was used to visualize model attribution. The model trained with concatenation/integration of original input plus four additional segmentation channels, which we refer to as ConcatNet, was superior (AUC 0.924) compared to baseline with or without augmentations (AUC 0.854; 0.884). Baseline model trained with one additional segmentation channel showed intermediate performance (AUC 0.870-0.895). ConcatNet had sensitivity of 82.0% and specificity of 87.8%, which was an improvement in performance over the baseline (sensitivity of 74.6%; specificity of 80.4%). Integrated gradients showed that models trained with additional segmentation channels had improved focus on particular areas of the image containing aberrant cells. Augmenting images with additional segmentation channels improved baseline model performance as well as its ability to focus on discrete areas of the image."
