openalex_id,doi,title,year,publication_date,type,cited_by_count,relevance_score,authors,source,dataset_mentioned,ml_match_count,matched_ml_terms,regime_selected,regime_match_count,matched_regime_terms,abstract
https://openalex.org/W3192519463,https://doi.org/10.1038/s41598-021-95128-x,A stacking ensemble deep learning approach to cancer type classification based on TCGA data,2021,2021-08-02,article,133,605.99677,"Mohanad Mohammed, Henry Mwambi, Innocent B. Mboya, et al.",Scientific Reports,True,19,machine learning; deep learning; classifier; classification; lasso; support vector machine; support vector machines; svm; neural network; neural networks; artificial neural network; ann; convolutional neural network; cnn; k-nearest neighbor; knn; nearest neighbor; stacking; bagging,H,2,ct; gene expression,"Cancer tumor classification based on morphological characteristics alone has been shown to have serious limitations. Breast, lung, colorectal, thyroid, and ovarian are the most commonly diagnosed cancers among women. Precise classification of cancers into their types is considered a vital problem for cancer diagnosis and therapy. In this paper, we proposed a stacking ensemble deep learning model based on one-dimensional convolutional neural network (1D-CNN) to perform a multi-class classification on the five common cancers among women based on RNASeq data. The RNASeq gene expression data was downloaded from Pan-Cancer Atlas using GDCquery function of the TCGAbiolinks package in the R software. We used least absolute shrinkage and selection operator (LASSO) as feature selection method. We compared the results of the new proposed model with and without LASSO with the results of the single 1D-CNN and machine learning methods which include support vector machines with radial basis function, linear, and polynomial kernels; artificial neural networks; k-nearest neighbors; bagging trees. The results show that the proposed model with and without LASSO has a better performance compared to other classifiers. Also, the results show that the machine learning methods (SVM-R, SVM-L, SVM-P, ANN, KNN, and bagging trees) with under-sampling have better performance than with over-sampling techniques. This is supported by the statistical significance test of accuracy where the p-values for differences between the SVM-R and SVM-P, SVM-R and ANN, SVM-R and KNN are found to be p = 0.003, p = < 0.001, and p = < 0.001, respectively. Also, SVM-L had a significant difference compared to ANN p = 0.009. Moreover, SVM-P and ANN, SVM-P and KNN are found to be significantly different with p-values p = < 0.001 and p = < 0.001, respectively. In addition, ANN and bagging trees, ANN and KNN were found to be significantly different with p-values p = < 0.001 and p = 0.004, respectively. Thus, the proposed model can help in the early detection and diagnosis of cancer in women, and hence aid in designing early treatment strategies to improve survival."
https://openalex.org/W3180662109,https://doi.org/10.7717/peerj-cs.584,Machine learning analysis of TCGA cancer data,2021,2021-07-12,article,64,623.83624,"José Liñares-Blanco, Alejandro Pazos, Carlos Fernández-Lozano",PeerJ Computer Science,True,11,machine learning; prediction; classification; algorithm; random forest; gbm; support vector machine; support vector machines; neural network; neural networks; artificial neural network,H,1,ct,"In recent years, machine learning (ML) researchers have changed their focus towards biological problems that are difficult to analyse with standard approaches. Large initiatives such as The Cancer Genome Atlas (TCGA) have allowed the use of omic data for the training of these algorithms. In order to study the state of the art, this review is provided to cover the main works that have used ML with TCGA data. Firstly, the principal discoveries made by the TCGA consortium are presented. Once these bases have been established, we begin with the main objective of this study, the identification and discussion of those works that have used the TCGA data for the training of different ML approaches. After a review of more than 100 different papers, it has been possible to make a classification according to following three pillars: the type of tumour, the type of algorithm and the predicted biological problem. One of the conclusions drawn in this work shows a high density of studies based on two major algorithms: Random Forest and Support Vector Machines. We also observe the rise in the use of deep artificial neural networks. It is worth emphasizing, the increase of integrative models of multi-omic data analysis. The different biological conditions are a consequence of molecular homeostasis, driven by both protein coding regions, regulatory elements and the surrounding environment. It is notable that a large number of works make use of genetic expression data, which has been found to be the preferred method by researchers when training the different models. The biological problems addressed have been classified into five types: prognosis prediction, tumour subtypes, microsatellite instability (MSI), immunological aspects and certain pathways of interest. A clear trend was detected in the prediction of these conditions according to the type of tumour. That is the reason for which a greater number of works have focused on the BRCA cohort, while specific works for survival, for example, were centred on the GBM cohort, due to its large number of events. Throughout this review, it will be possible to go in depth into the works and the methodologies used to study TCGA cancer data. Finally, it is intended that this work will serve as a basis for future research in this field of study."
https://openalex.org/W3113328935,https://doi.org/10.1038/s41467-020-20030-5,Deep learning-based cross-classifications reveal conserved spatial behaviors within tumor histological images,2020,2020-12-11,article,196,196.73883,"Javad Noorbakhsh, Saman Farahmand, Ali Foroughi pour, et al.",Nature Communications,True,10,deep learning; data mining; classifier; classification; neural network; neural networks; ann; convolutional neural network; cnn; auc,H,2,whole slide image; ct,"Histopathological images are a rich but incompletely explored data type for studying cancer. Manual inspection is time consuming, making it challenging to use for image data mining. Here we show that convolutional neural networks (CNNs) can be systematically applied across cancer types, enabling comparisons to reveal shared spatial behaviors. We develop CNN architectures to analyze 27,815 hematoxylin and eosin scanned images from The Cancer Genome Atlas for tumor/normal, cancer subtype, and mutation classification. Our CNNs are able to classify TCGA pathologist-annotated tumor/normal status of whole slide images (WSIs) in 19 cancer types with consistently high AUCs (0.995 ± 0.008), as well as subtypes with lower but significant accuracy (AUC 0.87 ± 0.1). Remarkably, tumor/normal CNNs trained on one tissue are effective in others (AUC 0.88 ± 0.11), with classifier relationships also recapitulating known adenocarcinoma, carcinoma, and developmental biology. Moreover, classifier comparisons reveal intra-slide spatial similarities, with an average tile-level correlation of 0.45 ± 0.16 between classifier pairs. Breast cancers, bladder cancers, and uterine cancers have spatial patterns that are particularly easy to detect, suggesting these cancers can be canonical types for image analysis. Patterns for TP53 mutations can also be detected, with WSI self- and cross-tissue AUCs ranging from 0.65-0.80. Finally, we comparatively evaluate CNNs on 170 breast and colon cancer images with pathologist-annotated nuclei, finding that both cellular and intercellular regions contribute to CNN accuracy. These results demonstrate the power of CNNs not only for histopathological classification, but also for cross-comparisons to reveal conserved spatial behaviors across tumors."
https://openalex.org/W3160801315,https://doi.org/10.1038/s41467-021-22756-2,Permutation-based identification of important biomarkers for complex diseases via machine learning models,2021,2021-05-21,article,172,196.11157,"Xinlei Mi, Baiming Zou, Fei Zou, et al.",Nature Communications,True,10,machine learning; prediction; algorithm; random forest; support vector machine; support vector machines; neural network; neural networks; ann; deep neural network,H,1,ct,"Study of human disease remains challenging due to convoluted disease etiologies and complex molecular mechanisms at genetic, genomic, and proteomic levels. Many machine learning-based methods have been developed and widely used to alleviate some analytic challenges in complex human disease studies. While enjoying the modeling flexibility and robustness, these model frameworks suffer from non-transparency and difficulty in interpreting each individual feature due to their sophisticated algorithms. However, identifying important biomarkers is a critical pursuit towards assisting researchers to establish novel hypotheses regarding prevention, diagnosis and treatment of complex human diseases. Herein, we propose a Permutation-based Feature Importance Test (PermFIT) for estimating and testing the feature importance, and for assisting interpretation of individual feature in complex frameworks, including deep neural networks, random forests, and support vector machines. PermFIT (available at https://github.com/SkadiEye/deepTL ) is implemented in a computationally efficient manner, without model refitting. We conduct extensive numerical studies under various scenarios, and show that PermFIT not only yields valid statistical inference, but also improves the prediction accuracy of machine learning models. With the application to the Cancer Genome Atlas kidney tumor data and the HITChip atlas data, PermFIT demonstrates its practical usage in identifying important biomarkers and boosting model prediction performance."
https://openalex.org/W2797883881,https://doi.org/10.1371/journal.pcbi.1006076,Cox-nnet: An artificial neural network method for prognosis prediction of high-throughput omics data,2018,2018-04-10,article,416,170.59016,"Travers Ching, Xun Zhu, Lana X. Garmire",PLoS Computational Biology,True,9,prediction; predictive; lasso; cox; random forest; neural network; neural networks; artificial neural network; ann,H,3,omics; transcriptomics; ct,"Artificial neural networks (ANN) are computing architectures with many interconnections of simple neural-inspired computing elements, and have been applied to biomedical fields such as imaging analysis and diagnosis. We have developed a new ANN framework called Cox-nnet to predict patient prognosis from high throughput transcriptomics data. In 10 TCGA RNA-Seq data sets, Cox-nnet achieves the same or better predictive accuracy compared to other methods, including Cox-proportional hazards regression (with LASSO, ridge, and mimimax concave penalty), Random Forests Survival and CoxBoost. Cox-nnet also reveals richer biological information, at both the pathway and gene levels. The outputs from the hidden layer node provide an alternative approach for survival-sensitive dimension reduction. In summary, we have developed a new method for accurate and efficient prognosis prediction on high throughput data, with functional biological insights. The source code is freely available at https://github.com/lanagarmire/cox-nnet."
https://openalex.org/W3206018533,https://doi.org/10.3389/fphar.2021.749134,FDX1 can Impact the Prognosis and Mediate the Metabolism of Lung Adenocarcinoma,2021,2021-10-08,article,209,183.72882,"Zeyu Zhang, Yarui Ma, Xiaolei Guo, et al.",Frontiers in Pharmacology,True,9,prediction model; prediction; algorithm; lasso; cox; survival analysis; auc; roc curve; area under the curve,H,2,ct; sequencing,"<b>Background:</b> Lung cancer has emerged as one of the most common cancers in recent years. The mitochondrial electron transport chain (ETC) is closely connected with metabolic pathways and inflammatory response. However, the influence of ETC-associated genes on the tumor immune response and the pathogenesis of lung cancer is not clear and needs further exploration. <b>Methods:</b> The RNA-sequencing transcriptome and clinical characteristic data of LUAD were downloaded from the Cancer Genome Atlas (TCGA) database. The LASSO algorithm was used to build the risk signature, and the prediction model was evaluated by the survival analysis and receiver operating characteristic curve. We explored the function of FDX1 through flow cytometry, molecular biological methods, and liquid chromatography-tandem mass spectrometry/mass spectrometry (LC-MS/MS). <b>Results:</b> 12 genes (<i>FDX1</i>, <i>FDX2</i>, <i>LOXL2</i>, <i>ASPH</i>, <i>GLRX2</i>, <i>ALDH2</i>, <i>CYCS</i>, <i>AKR1A1</i>, <i>MAOB</i>, <i>RDH16</i>, <i>CYBB</i>, and <i>CYB5A</i>) were selected to build the risk signature, and the risk score was calculated with the coefficients from the LASSO algorithm. The 1-year, 3-year, and 5-year area under the curve (AUC) of ROC curves of the dataset were 0.7, 0.674, and 0.692, respectively. Univariate Cox analysis and multivariate Cox regression analysis indicated that the risk signature is an independent risk factor for LUAD patients. Among these genes, we focused on the <i>FDX1</i> gene, and we found that knockdown of FDX1 neither inhibited tumor cell growth nor did it induce apoptosis or abnormal cell cycle distribution. But FDX1 could promote the ATP production. Furthermore, our study showed that FDX1 was closely related to the glucose metabolism, fatty acid oxidation, and amino acid metabolism. <b>Conclusion:</b> Collectively, this study provides new clues about carcinogenesis induced by ETC-associated genes in LUAD and paves the way for finding potential targets of LUAD."
https://openalex.org/W4226110124,,An Oxidative Stress-Related Genes Signature for Predicting Survival in Bladder Cancer: Based on TCGA Database and Bioinformatics,2022,2022-03-08,article,12,190.82727,"Min Zhang, Gang Du, Zhengtian Li, et al.",Dove Medical Press (Taylor and Francis Group),True,9,prediction; predictive; algorithm; lasso; cox; ann; auc; roc curve; area under the curve,H,1,ct,"Min Zhang,1,&amp;amp;ast; Gang Du,2,&amp;amp;ast; Zhengtian Li,2 Dehui Li,3 Weichao Li,2 Hening Li,4 Xingxin Gao,3 Zhanhong Tang1 1Department of Critical Care Medicine, The First Affiliated Hospital of Guangxi Medical University, Nanning, 530021, Peopleâs Republic of China; 2Department of Bone and Joint Surgery, The First Affiliated Hospital of Guangxi Medical University, Nanning, 530021, Peopleâs Republic of China; 3Department of Burns and Plastic, The First Affiliated Hospital of Guangxi Medical University, Nanning, 530021, Peopleâs Republic of China; 4Guangxi Medical University, Nanning, 530021, Peopleâs Republic of China&amp;amp;ast;These authors contributed equally to this workCorrespondence: Zhanhong Tang; Xingxin Gao, Email 18777008107@163.com; gao11500315@163.comBackground: Oxidative stress (OS) responses have been linked to oncogenesis and tumor progression and have recently been regarded as a potential strategy for tumor therapy. However, OS-related therapeutic targets have not been identified to date in the bladder cancer (BC).Methods: The mRNA expression and clinical data of BC were downloaded from the public database. Prognostic risk score signature was constructed using LASSO Cox regression analysis. External validation was performed in GSE15307 cohort. ESTIMATE, CIBERSORT, and ssGSEA algorithm were used to analyze immune cell infiltration and immune microenvironment. Next, functional enrichment analysis was performed to elucidate the mechanism underlying the signature. Additionally, we performed a nomogram to forecast the survival rate of individual BC patients.Results: An OS-related genes (OSRGs) signature was constructed. Overall survival was lower in the high-risk group than in the low-risk group, according to survival analyses. The area under the curve (AUC) of ROC curves further validated the prognostic signatureâs strong prediction performance in these two cohorts. The risk score was verified as an independent risk factor for BC by independent prognostic analysis. Moreover, as compared to TNM stage alone, a nomogram that integrated the risk score with TNM stage showed a much superior predictive value. Immune infiltration and tumor microenvironment studies indicated that immune cells and functions may play a significant role in carcinogenesis and development. The levels of expression of prognostic genes were shown to be substantially linked with drug sensitivity.Conclusion: We developed a novel OSRGs signature for predicting overall survival and impacting the immune status in patients with BC. New nomogram can help clinicians predict the survival rate of BC patients. These findings shed new light on the potential usage of OSRGs signature in BC patients.Keywords: bladder cancer, oxidative stress, prognosis, risk signature, immune cell infiltration, drug sensitivity"
https://openalex.org/W4224063048,https://doi.org/10.1155/2022/7799812,[Retracted] Improved Artificial Neural Network with State Order Dataset Estimation for Brain Cancer Cell Diagnosis,2022,2022-01-01,article,245,194.04745,"D. N. V. S. L. S. Indira, Rajendra Kumar Ganiya, P. Ashok Babu, et al.",BioMed Research International,True,8,classification; algorithm; support vector machine; svm; neural network; artificial neural network; ann; rnn,H,2,ct; gene expression,"Brain cancer is one of the cell synthesis diseases. Brain cancer cells are analyzed for patient diagnosis. Due to this composite cell, the conceptual classifications differ from each and every brain cancer investigation. In the gene test, patient prognosis is identified based on individual biocell appearance. Classification of advanced artificial neural network subtypes attains improved performance compared to previous enhanced artificial neural network (EANN) biocell subtype investigation. In this research, the proposed features are selected based on improved gene expression programming (IGEP) with modified brute force algorithm. Then, the maximum and minimum term survivals are classified by using PCA with enhanced artificial neural network (EANN). In this, the improved gene expression programming (IGEP) effectual features are selected by using remainder performance to improve the prognosis efficiency. This system is estimated by using the Cancer Genome Atlas (CGA) dataset. Simulation outputs present improved gene expression programming (IGEP) with modified brute force algorithm which achieves accurate efficiency of 96.37%, specificity of 96.37%, sensitivity of 98.37%, precision of 78.78%, <i>F</i>-measure of 80.22%, and recall of 64.29% when compared to generalized regression neural network (GRNN), improved extreme learning machine (IELM) with minimum redundancy maximum relevance (MRMR) method, and support vector machine (SVM)."
https://openalex.org/W2604340382,https://doi.org/10.18632/oncotarget.16878,MicroRNA signatures predict prognosis of patients with glioblastoma multiforme through the Cancer Genome Atlas,2017,2017-04-06,article,17,469.1549,"Ying Yuan, Hua Zhang, Xuexia Liu, et al.",Oncotarget,True,8,prediction; predictive; regression model; cox; survival analysis; gbm; auc; roc curve,H,1,ct,"MicroRNAs (miRNAs) play major roles in various biological processes and have been implicated in the pathogenesis and malignant progression of glioblastoma multiforme (GBM). The aim of this study was to assess the predictive values of miRNAs for overall survival (OS) of patients with GBM. MiRNA expression profiles and clinical information of 563 GBM patients were obtained from the Cancer Genome Atlas. The most significantly altered miRNAs were identified and miRNA expression profiles were performed, through principal component analysis, the least absolute shrinkage and selection operator method. The survival analysis was performed using the Cox regression models. Additionally, receiver operating characteristic (ROC) analysis was used to assess the performance of survival prediction. We used the bioinformatics tools to establish the miRNA signature for biological relevance assessment. A linear prognostic model of three miRNAs was developed and the patients were divided into high risk and low risk groups based this model. The area under the ROC curve (AUC) for the three miRNA signature predicting 5-year survival was 0.894 (95%CI, 0.789-1.000) in the testing set and0.841 (95%CI, 0.689-0.993) in all GBM patients. High risk patients had significantly shorter OS than patients with low risk (<i>P</i>< 0.001). The results from this study support a three miRNA signature for outcome prediction of GBM. These results provided a new prospect for prognostic biomarker of GBM."
https://openalex.org/W3128684763,https://doi.org/10.3389/fgene.2020.616998,Application of an Autophagy-Related Gene Prognostic Risk Model Based on TCGA Database in Cervical Cancer,2021,2021-02-09,article,20,269.01248,"Huadi Shi, Fulan Zhong, Xiaoqiong Yi, et al.",Frontiers in Genetics,True,8,prediction model; risk model; risk prediction; prediction; lasso; cox; survival model; roc curve,H,1,ct,"<b>Background:</b> Autophagy plays an important role in the development of cancer. However, the prognostic value of autophagy-related genes (ARGs) in cervical cancer (CC) is unclear. The purpose of this study is to construct a survival model for predicting the prognosis of CC patients based on ARG signature. <b>Methods:</b> ARGs were obtained from the Human Autophagy Database and Molecular Signatures Database. The expression profiles of ARGs and clinical data were downloaded from the TCGA database. Differential expression analysis of CC tissues and normal tissues was performed using R software to screen out ARGs with an aberrant expression. Univariate Cox, Lasso, and multivariate Cox regression analyses were used to construct a prognostic model which was validated by using the test set and the entire set. We also performed an independent prognostic analysis of risk score and some clinicopathological factors of CC. Finally, a clinical practical nomogram was established to predict individual survival probability. <b>Results:</b> Compared with normal tissues, there were 63 ARGs with an aberrant expression in CC tissues. A risk model based on 3 ARGs was finally obtained by Lasso and Cox regression analysis. Patients with high risk had significantly shorter overall survival (OS) than low-risk patients in both train set and validation set. The ROC curve validated its good performance in survival prediction, suggesting that this model has a certain extent sensitivity and specificity. Multivariate Cox analysis showed that the risk score was an independent prognostic factor. Finally, we mapped a nomogram to predict 1-, 3-, and 5-year survival for CC patients. The calibration curves indicated that the model was reliable. <b>Conclusion:</b> A risk prediction model based on CHMP4C, FOXO1, and RRAGB was successfully constructed, which could effectively predict the prognosis of CC patients. This model can provide a reference for CC patients to make precise treatment strategy."
