openalex_id,doi,title,year,publication_date,type,cited_by_count,relevance_score,authors,source,dataset_mentioned,ml_match_count,matched_ml_terms,regime_selected,regime_match_count,matched_regime_terms,abstract
https://openalex.org/W2889104897,https://doi.org/10.1534/genetics.118.301298,Can Deep Learning Improve Genomic Prediction of Complex Human Traits?,2018,2018-08-31,article,237,76.10803,"Pau Bellot, Gustavo de los Campos, Miguel Pérez‐Enciso",Genetics,True,13,artificial intelligence; deep learning; prediction; predictive; algorithm; linear regression; neural network; neural networks; mlp; multilayer perceptron; convolutional neural network; cnn; auc,H,2,ct; pet,"The genetic analysis of complex traits does not escape the current excitement around artificial intelligence, including a renewed interest in ""deep learning"" (DL) techniques such as Multilayer Perceptrons (MLPs) and Convolutional Neural Networks (CNNs). However, the performance of DL for genomic prediction of complex human traits has not been comprehensively tested. To provide an evaluation of MLPs and CNNs, we used data from distantly related white Caucasian individuals (<i>n</i> ∼100k individuals, <i>m</i> ∼500k SNPs, and <i>k</i> = 1000) of the interim release of the UK Biobank. We analyzed a total of five phenotypes: height, bone heel mineral density, body mass index, systolic blood pressure, and waist-hip ratio, with genomic heritabilities ranging from ∼0.20 to 0.70. After hyperparameter optimization using a genetic algorithm, we considered several configurations, from shallow to deep learners, and compared the predictive performance of MLPs and CNNs with that of Bayesian linear regressions across sets of SNPs (from 10k to 50k) that were preselected using single-marker regression analyses. For height, a highly heritable phenotype, all methods performed similarly, although CNNs were slightly but consistently worse. For the rest of the phenotypes, the performance of some CNNs was comparable or slightly better than linear methods. Performance of MLPs was highly dependent on SNP set and phenotype. In all, over the range of traits evaluated in this study, CNN performance was competitive to linear models, but we did not find any case where DL outperformed the linear model by a sizable margin. We suggest that more research is needed to adapt CNN methodology, originally motivated by image analysis, to genetic-based problems in order for CNNs to be competitive with linear models."
https://openalex.org/W4283725898,https://doi.org/10.1016/j.schres.2022.06.006,Machine learning for prediction of schizophrenia using genetic and demographic factors in the UK biobank,2022,2022-06-29,article,30,530.26733,"Matthew Bracher‐Smith, Elliott Rees, Georgina Menzies, et al.",Schizophrenia Research,True,13,machine learning; prediction; predictive; model development; logistic regression; lasso; random forest; xgboost; support vector machine; support vector machines; svm; neural network; neural networks,H,1,ct,"Machine learning (ML) holds promise for precision psychiatry, but its predictive performance is unclear. We assessed whether ML provided added value over logistic regression for prediction of schizophrenia, and compared models built using polygenic risk scores (PRS) or clinical/demographic factors. LASSO and ridge-penalised logistic regression, support vector machines (SVM), random forests, boosting, neural networks and stacked models were trained to predict schizophrenia, using PRS for schizophrenia (PRS<sub>SZ</sub>), sex, parental depression, educational attainment, winter birth, handedness and number of siblings as predictors. Models were evaluated for discrimination using area under the receiver operator characteristic curve (AUROC) and relative importance of predictors using permutation feature importance (PFI). In a secondary analysis, fitted models were tested for association with schizophrenia-related traits which had not been used in model development. Following learning curve analysis, 738 cases and 3690 randomly sampled controls were selected from the UK Biobank. ML models combining all predictors showed the highest discrimination (linear SVM, AUROC = 0.71), but did not significantly outperform logistic regression. AUROC was robust over 100 random resamples of controls. PFI identified PRS<sub>SZ</sub> as the most important predictor. Highest variance in fitted models was explained by schizophrenia-related traits including fluid intelligence (most associated: linear SVM), digit symbol substitution (RBF SVM), BMI (XGBoost), smoking status (XGBoost) and deprivation (linear SVM). In conclusion, ML approaches did not provide substantial added value for prediction of schizophrenia over logistic regression, as indexed by AUROC; however, risk scores derived with different ML approaches differ with respect to association with schizophrenia-related traits."
https://openalex.org/W4381114222,https://doi.org/10.1093/ehjci/jead119.054,Classifying hypertension mediated left ventricular hypertrophy phenotypes from the 12-lead electrocardiogram using machine learning,2023,2023-06-01,article,2,19.462797,"Hafiz Naderi, Julia Ramírez, Stefan van Duijvenboden, et al.",European Heart Journal - Cardiovascular Imaging,True,13,machine learning; deep learning; risk model; classifier; classification; algorithm; logistic regression; random forest; support vector machine; svm; auc; model performance; cross validation,H,1,ct,"Abstract Funding Acknowledgements Type of funding sources: Foundation. Main funding source(s): British Heart Foundation Pat Merriman Clinical Research Training Fellowship Background Hypertension is the commonest cause of left ventricular hypertrophy (LVH), an established independent predictor of cardiovascular morbidity and mortality. Four distinct LVH phenotypes with varying prognostic implications have been reported using cardiac magnetic resonance (CMR) LV mass to volume ratio: normal LV, LV remodelling, eccentric LVH and concentric LVH. Current electrocardiogram (ECG) criteria can detect LVH but their ability to differentiate between hypertension mediated LVH phenotypes is unknown. Purpose The aim of this study was to classify hypertension mediated LVH phenotypes using 12-lead electrocardiogram (ECG) and clinical data for cost-effective patient stratification. Methods 24,535 hypertensive participants from UK Biobank imaging study were categorised into the CMR-defined LVH phenotypes. ECG biomarkers with a physiological association with LVH (including QRS biomarkers, Sokolow-Lyon and Cornell voltage) were extracted from the 12-lead ECG of each participant using in-house algorithms. Vascular risk factors known to be associated with LVH were also ascertained from the clinical data of each participant. Classification models integrating ECG biomarkers and clinical data were built using logistic regression, support vector machine (SVM) and random forest (RF). The dataset was split into 80% train and 20% test sets for performance measurement. Ten-fold cross validation was applied and the training set was downsampled to the minority class. Results Among the participants (mean age ± standard deviation 65.3 ± 7.4 years), 23,312 (95.0%) had normal LV, 900 (3.7%) LV remodelling, 220 (0.8%) eccentric LVH and 103 (0.4%) concentric LVH. R wave amplitude V5, S wave amplitude V3 and QT duration V6 (P&amp;lt;0.001) were the top ECG biomarkers and systolic blood pressure (p&amp;lt;0.001) the top clinical predictor of LVH phenotypes (Figure 1). Classification with logistic regression had an accuracy of 77% (sensitivity 55%, specificity 85%, Area under the receiver operator curve [AUC] 0.76), SVM 80% accuracy (sensitivity 61%, specificity 87%, AUC 0.75) and RF 75% accuracy (sensitivity 49%, specificity 83%, AUC 0.75). ECG biomarkers enhanced model performance of all classifiers, compared to using clinical data alone. Conclusion A combination of automatically extracted ECG biomarkers and clinical data were able to discriminate the hypertension mediated LVH phenotypes. An advanced classification approach improves selection of hypertensive patients with LVH, thereby adding prognostic value to traditional risk models. We are currently validating our findings in an external population and using deep learning for comparison."
https://openalex.org/W2996355290,https://doi.org/10.1101/2019.12.17.879346,Accurate brain age prediction with lightweight deep neural networks,2019,2019-12-18,preprint,25,36.012844,"Han Peng, Weikang Gong, Christian F. Beckmann, et al.",bioRxiv (Cold Spring Harbor Laboratory),True,11,machine learning; deep learning; prediction; predictive; classification; regression model; linear regression; neural network; neural networks; deep neural network; convolutional neural network,H,3,mri; ct; pet,"Abstract Deep learning has huge potential for accurate disease prediction with neuroimaging data, but the prediction performance is often limited by training-dataset size and computing memory requirements. To address this, we propose a deep convolutional neural network model, Simple Fully Convolutional Network (SFCN), for accurate prediction of brain age using T1-weighted structural MRI data. Compared with other popular deep network architectures, SFCN has fewer parameters, so is more compatible with small dataset size and 3D volume data. The network architecture was combined with several techniques for boosting performance, including data augmentation, pre-training, model regularization, model ensemble and prediction bias correction. We compared our overall SFCN approach with several widely-used machine learning models. It achieved state-of-the-art performance in UK Biobank data (N = 14,503), with mean absolute error (MAE) = 2.14y in brain age prediction and 99.5% in sex classification. SFCN also won (both parts of) the 2019 Predictive Analysis Challenge for brain age prediction, involving 79 competing teams (N = 2,638, MAE = 2.90y). We describe here the details of our approach, and its optimisation and validation. Our approach can easily be generalised to other tasks using different image modalities, and is released on GitHub. Highlights A lightweight deep learning model, Simple Fully Convolutional Network (SFCN), is presented, achieving state-of-the-art brain age prediction and sex classification performance in UK Biobank MRI brain imaging data. Even with limited number of training subjects (e.g., 50), SFCN performs better than widely-used regression models. A semi-multimodal ensemble strategy is proposed and achieved first place in the PAC 2019 brain age prediction challenge. Linear regression can remove brain age prediction bias (even on unlabelled data) while maintaining state-of-the-art performance."
https://openalex.org/W4280624239,https://doi.org/10.1101/2022.05.16.22275133,"Artificial intelligence enabled retinal vasculometry for prediction of circulatory mortality, myocardial infarction and stroke",2022,2022-05-16,preprint,5,20.228752,"Alicja R. Rudnicka, Roshan A. Welikala, Sarah Barman, et al.",medRxiv,True,10,artificial intelligence; prediction model; risk model; risk prediction; prediction; predictive; algorithm; cox; cox proportional hazards; model performance,H,1,ct,"ABSTRACT Aims We examine whether inclusion of Artificial Intelligence (AI)-enabled retinal vasculometry (RV) improves existing risk algorithms for incident stroke, myocardial infarction (MI) and circulatory mortality. Methods AI-enabled retinal vessel image analysis processed images from 88,052 UK Biobank (UKB) participants (aged 40-69 years at image capture) and 7,411 EPIC-Norfolk participants (aged 48-92). Retinal arteriolar and venular width, tortuosity and area were extracted. Prediction models were developed in UKB using multivariable Cox proportional hazards regression for circulatory mortality, incident stroke and MI, and externally validated in EPIC-Norfolk. Model performance was assessed using optimism adjusted calibration, C- and R 2 statistics. Performance of Framingham risk scores (FRS) for incident stroke and incident MI, with addition of RV to FRS, were compared with a simpler model based on RV, age, smoking status and medical history (antihypertensive/cholesterol lowering medication, diabetes, prevalent stroke/MI). Results UKB prognostic models were developed on 65,144 participants (mean age 56.8; median follow-up 7.7 years) and validated in 5,862 EPIC-Norfolk participants (67.6, 9.1 years respectively). Prediction models for circulatory mortality in men and women had optimism adjusted C- and R 2 statistics between 0.75-0.77 and 0.33-0.44 respectively. For incident stroke and MI, addition of RV to FRS did not improve model performance in either cohort. However, the simpler RV model performed equally or better than FRS. Conclusion RV offers an alternative predictive biomarker to traditional risk-scores for vascular health, without the need for blood sampling or blood pressure measurement. Further work is needed to examine RV in population screening to triage individuals at high-risk. (250 words) HIGHLIGHTS What is already known on this topic Population screening for MI and stroke using risk prediction tools exist but have limited uptake; risk scores for circulator mortality do not exist. What this study adds Risk models developed in UK Biobank (validated in EPIC-Norfolk) using Artificial Intelligence (AI)-enabled retinal vasculometry (RV), age, history of cardiovascular disease, use of hypertensive medication and smoking yielded high predictive test performance for circulatory mortality. Risk scores for MI and stroke performed similarly to established risk scores. How this study might affect research, practice or policy AI-enabled RV extraction offers a non-invasive prognostic biomarker of vascular health that does not require blood sampling or blood pressure measurement, and potentially has greater community reach to identify individuals at medium-high risk requiring further clinical assessment. SYNOPSIS/PRECIS Risk models developed in UK Biobank (validated in EPIC-Norfolk) using Artificial Intelligence enabled retinal vasculometry indices, age, history of cardiovascular disease, use of hypertensive medication and smoking yielded high predictive test performance for circulatory mortality. Risk scores for MI and stroke performed similarly to established risk scores."
https://openalex.org/W3092783643,https://doi.org/10.1016/j.media.2020.101871,Accurate brain age prediction with lightweight deep neural networks,2020,2020-10-19,article,499,103.46274,"Han Peng, Weikang Gong, Christian F. Beckmann, et al.",Medical Image Analysis,True,9,machine learning; deep learning; prediction; predictive; classification; neural network; neural networks; deep neural network; convolutional neural network,H,3,mri; ct; pet,"Deep learning has huge potential for accurate disease prediction with neuroimaging data, but the prediction performance is often limited by training-dataset size and computing memory requirements. To address this, we propose a deep convolutional neural network model, Simple Fully Convolutional Network (SFCN), for accurate prediction of brain age using T1-weighted structural MRI data. Compared with other popular deep network architectures, SFCN has fewer parameters, so is more compatible with small dataset size and 3D volume data. The network architecture was combined with several techniques for boosting performance, including data augmentation, pre-training, model regularization, model ensemble and prediction bias correction. We compared our overall SFCN approach with several widely-used machine learning models. It achieved state-of-the-art performance in UK Biobank data (N = 14,503), with mean absolute error (MAE) = 2.14y in brain age prediction and 99.5% in sex classification. SFCN also won (both parts of) the 2019 Predictive Analysis Challenge for brain age prediction, involving 79 competing teams (N = 2,638, MAE = 2.90y). We describe here the details of our approach, and its optimisation and validation. Our approach can easily be generalised to other tasks using different image modalities, and is released on GitHub."
https://openalex.org/W4297002497,https://doi.org/10.3389/fgene.2022.992070,Deep learning methods may not outperform other machine learning methods on analyzing genomic studies,2022,2022-09-23,article,18,30.364353,"Yao Dong, Yao Dong, Shaoze Zhou, et al.",Frontiers in Genetics,True,9,machine learning; deep learning; prediction model; prediction; elastic net; xgboost; svm; dnn; lstm,H,1,ct,"Deep Learning (DL) has been broadly applied to solve big data problems in biomedical fields, which is most successful in image processing. Recently, many DL methods have been applied to analyze genomic studies. However, genomic data usually has too small a sample size to fit a complex network. They do not have common structural patterns like images to utilize pre-trained networks or take advantage of convolution layers. The concern of overusing DL methods motivates us to evaluate DL methods' performance versus popular non-deep Machine Learning (ML) methods for analyzing genomic data with a wide range of sample sizes. In this paper, we conduct a benchmark study using the UK Biobank data and its many random subsets with different sample sizes. The original UK Biobank data has about 500k participants. Each patient has comprehensive patient characteristics, disease histories, and genomic information, i.e., the genotypes of millions of Single-Nucleotide Polymorphism (SNPs). We are interested in predicting the risk of three lung diseases: asthma, COPD, and lung cancer. There are 205,238 participants have recorded disease outcomes for these three diseases. Five prediction models are investigated in this benchmark study, including three non-deep machine learning methods (Elastic Net, XGBoost, and SVM) and two deep learning methods (DNN and LSTM). Besides the most popular performance metrics, such as the F1-score, we promote the hit curve, a visual tool to describe the performance of predicting rare events. We discovered that DL methods frequently fail to outperform non-deep ML in analyzing genomic data, even in large datasets with over 200k samples. The experiment results suggest not overusing DL methods in genomic studies, even with biobank-level sample sizes. The performance differences between DL and non-deep ML decrease as the sample size of data increases. This suggests when the sample size of data is significant, further increasing sample sizes leads to more performance gain in DL methods. Hence, DL methods could be better if we analyze genomic data bigger than this study."
https://openalex.org/W3164730021,https://doi.org/10.1109/isbi48211.2021.9434107,Deep Learning Prediction Of Age And Sex From Optical Coherence Tomography,2021,2021-04-13,article,13,21.53663,"Osama N. Hassan, Martin J. Menten, Hrvoje Bogunović, et al.",NA,True,9,deep learning; prediction; neural network; neural networks; convolutional neural network; cnn; auc; area under the curve; model performance,H,1,ct,"Convolutional neural networks (CNNs) have achieved remarkable success in predicting clinical information and individuals' characteristics from medical images. Previous ophthalmological studies have suggested that age and sex have retinal manifestations that can be observed in retinal optical coherence tomography (OCT) scans. Following on these studies, we evaluated the use of three-dimensional CNNs for predicting the subject's age and sex directly from 3D retinal OCT scans. We also assessed the effect of the receptive field size on the model performance. In addition, we adopted a robust and simple bias-adjustment scheme for further performance enhancement of eye age prediction. We used a large dataset consisting of 66,767 subjects with OCT scans from the UK Biobank data and evaluated our model on 10% of the dataset (i.e. 6,676 subjects). An accurate prediction was obtained for age (mean absolute error (MAE): 3.3 years, coefficient of determination R <sup xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">2</sup> : 0.89) while an acceptable performance was achieved for sex (area under the curve (AUC): 0.86)."
https://openalex.org/W4200001297,https://doi.org/10.1038/s41598-021-03785-9,Patch individual filter layers in CNNs to harness the spatial homogeneity of neuroimaging data,2021,2021-12-27,article,8,19.935617,"Fabian Eitel, Jan Philipp Albrecht, Martin Weygandt, et al.",Scientific Reports,True,9,deep learning; predictive; classification; neural network; neural networks; convolutional neural network; cnn; auc; area under the curve,H,1,ct,"Convolutional neural networks (CNNs)-as a type of deep learning-have been specifically designed for highly heterogeneous data, such as natural images. Neuroimaging data, however, is comparably homogeneous due to (1) the uniform structure of the brain and (2) additional efforts to spatially normalize the data to a standard template using linear and non-linear transformations. To harness spatial homogeneity of neuroimaging data, we suggest here a new CNN architecture that combines the idea of hierarchical abstraction in CNNs with a prior on the spatial homogeneity of neuroimaging data. Whereas early layers are trained globally using standard convolutional layers, we introduce patch individual filters (PIF) for higher, more abstract layers. By learning filters in individual latent space patches without sharing weights, PIF layers can learn abstract features faster and specific to regions. We thoroughly evaluated PIF layers for three different tasks and data sets, namely sex classification on UK Biobank data, Alzheimer's disease detection on ADNI data and multiple sclerosis detection on private hospital data, and compared it with two baseline models, a standard CNN and a patch-based CNN. We obtained two main results: First, CNNs using PIF layers converge consistently faster, measured in run time in seconds and number of iterations than both baseline models. Second, both the standard CNN and the PIF model outperformed the patch-based CNN in terms of balanced accuracy and receiver operating characteristic area under the curve (ROC AUC) with a maximal balanced accuracy (ROC AUC) of 94.21% (99.10%) for the sex classification task (PIF model), and 81.24% and 80.48% (88.89% and 87.35%) respectively for the Alzheimer's disease and multiple sclerosis detection tasks (standard CNN model). In conclusion, we demonstrated that CNNs using PIF layers result in faster convergence while obtaining the same predictive performance as a standard CNN. To the best of our knowledge, this is the first study that introduces a prior in form of an inductive bias to harness spatial homogeneity of neuroimaging data."
https://openalex.org/W4200002438,https://doi.org/10.1101/2021.12.16.21267446,Decreased retinal vascular complexity is an early biomarker of MI supported by a shared genetic control,2021,2021-12-16,preprint,5,17.25891,"Ana Villaplana-Velasco, Justin Engelmann, Konrad Rawlik, et al.",medRxiv,True,9,risk model; risk prediction; prediction; predictive; algorithm; random forest; auc; area under the curve; cross validation,H,1,ct,"Abstract There is increasing evidence that the complexity of the retinal vasculature (measured as fractal dimension, D f ) might offer earlier insights into the progression of coronary artery disease (CAD) before traditional biomarkers can be detected. This association could be partly explained by a common genetic basis; however, the genetic component of D f is poorly understood. We present here a genome-wide association study (GWAS) aimed to elucidate the genetic component of D f and to analyse its relationship with CAD. To this end, we obtained D f from retinal fundus images and genotyping information from ∼38,000 white-British participants in the UK Biobank. We discovered 9 loci associated with D f , previously reported in pigmentation, retinal width and tortuosity, hypertension, and CAD studies. Significant negative genetic correlation estimates endorse the inverse relationship between D f and CAD, and between D f and myocardial infarction (MI), one of CAD fatal outcomes. This strong association motivated us to developing a MI predictive model combining clinical information, D f , a CAD polygenic risk score and using a random forest algorithm. Internal cross validation evidenced a considerable improvement in the area under the curve (AUC) of our predictive model (AUC=0.770) when comparing with an established risk model, SCORE, (AUC=0.719). Our findings shed new light on the genetic basis of D f , unveiling a common control with CAD, and highlights the benefits of its application in individualised MI risk prediction."
