openalex_id,doi,title,year,publication_date,type,cited_by_count,relevance_score,authors,source,dataset_mentioned,ml_match_count,matched_ml_terms,regime_selected,regime_match_count,matched_regime_terms,abstract
https://openalex.org/W4288036395,https://doi.org/10.1201/9781003217091-8,Prediction of Stage of Alzheimer's Disease DenseNet Deep Learning Model,2022,2022-07-26,book-chapter,10,66.20843,"Yogesh Kumar Rathore, Rekh Ram Janghel",NA,True,16,machine learning; deep learning; prediction; classifier; classification; algorithm; logistic regression; decision tree; random forest; extra trees; gradient boosting; xgboost; adaboost; neural network; k-nearest neighbor; nearest neighbor,M,0,,"In citizens, Alzheimer's disease is Disease disease (AD) became very common. The early detection of such this this disease may save many lives because during this disease, people are not able to remember things because of damage to brain cells, which puts their lives in danger. In the last few decades, machine learning algorithms have played a very important role in the diagnosis of diseases in the medical field. In this chapter, we used magnetic resonance imaging (MRI) of the Alzheimer Disease Neuroimaging Initiative (ADNI) public dataset for our experiments. The dataset contains images of four classes, Alzheimer's diseasee (AD), mild cognitive impairment (MCI), late mild cognitive impairment (LMCI), and healthy persons, which shows the different stages of the disease. Then, we performed experiments in two parts. In the first part, we applied 11 basic machine learning algorithms algorithms, named random forest classification, extra trees classification, decision trees classification, XgBoost classification, Adaboost, K-nearest neighbor classification, logistic regression classification, NuSVC (Nu- support vector classifier) classification, linear SVC (support vector classifier) classification, gradient boosting classification, and i-layer perceptron neural network. The highest accuracy, 85.7%, we got for the random forest algorithm. Thereafter, one of the most effective deep learning models, and DenseNet was applied. We have considered DenseNet121, DenseNet169, and DenseNet201 in further experiments because this deep learning model can not only pick the features from input but also can propagate to the next layer, and the results show an approximately 9% increase in accuracy of classification then from the traditional machine learnings, which justifies the usefulness of the proposed DenseNet models."
https://openalex.org/W4312140440,https://doi.org/10.3390/diagnostics12123193,Ensemble Model for Diagnostic Classification of Alzheimer’s Disease Based on Brain Anatomical Magnetic Resonance Imaging,2022,2022-12-16,article,56,137.19814,"Yusera Farooq Khan, Baijnath Kaushik, Chiranji Lal Chowdhary, et al.",Diagnostics,True,15,machine learning; artificial intelligence; classification; algorithm; decision tree; random forest; gradient boosting; support vector machine; svm; neural network; mlp; k-nearest neighbor; nearest neighbor; ensemble model; cross-validation,M,0,,"Alzheimer's is one of the fast-growing diseases among people worldwide leading to brain atrophy. Neuroimaging reveals extensive information about the brain's anatomy and enables the identification of diagnostic features. Artificial intelligence (AI) in neuroimaging has the potential to significantly enhance the treatment process for Alzheimer's disease (AD). The objective of this study is two-fold: (1) to compare existing Machine Learning (ML) algorithms for the classification of AD. (2) To propose an effective ensemble-based model for the same and to perform its comparative analysis. In this study, data from the Alzheimer's Diseases Neuroimaging Initiative (ADNI), an online repository, is utilized for experimentation consisting of 2125 neuroimages of Alzheimer's disease (<i>n</i> = 975), mild cognitive impairment (<i>n</i> = 538) and cognitive normal (<i>n</i> = 612). For classification, the framework incorporates a Decision Tree (DT), Random Forest (RF), Naïve Bayes (NB), and K-Nearest Neighbor (K-NN) followed by some variations of Support Vector Machine (SVM), such as SVM (RBF kernel), SVM (Polynomial Kernel), and SVM (Sigmoid kernel), as well as Gradient Boost (GB), Extreme Gradient Boosting (XGB) and Multi-layer Perceptron Neural Network (MLP-NN). Afterwards, an Ensemble Based Generic Kernel is presented where Master-Slave architecture is combined to attain better performance. The proposed model is an ensemble of Extreme Gradient Boosting, Decision Tree and SVM_Polynomial kernel (XGB + DT + SVM). At last, the proposed method is evaluated using cross-validation using statistical techniques along with other ML models. The presented ensemble model (XGB + DT + SVM) outperformed existing state-of-the-art algorithms with an accuracy of 89.77%. The efficiency of all the models was optimized using Grid-based tuning, and the results obtained after such process showed significant improvement. XGB + DT + SVM with optimized parameters outperformed all other models with an efficiency of 95.75%. The implication of the proposed ensemble-based learning approach clearly shows the best results compared to other ML models. This experimental comparative analysis improved understanding of the above-defined methods and enhanced their scope and significance in the early detection of Alzheimer's disease."
https://openalex.org/W3145812136,https://doi.org/10.3390/brainsci11040453,Diagnostic Classification and Biomarker Identification of Alzheimer’s Disease with Random Forest Algorithm,2021,2021-04-02,article,104,194.13335,"Minseok Song, Hyeyoom Jung, Seungyong Lee, et al.",Brain Sciences,True,13,machine learning; deep learning; classification; algorithm; random forest; support vector machine; svm; neural network; mlp; convolutional neural network; cnn; ensemble model; bagging,M,1,multimodal,"Random Forest (RF) is a bagging ensemble model and has many important advantages, such as robustness to noise, an effective structure for complex multimodal data and parallel computing, and also provides important features that help investigate biomarkers. Despite these benefits, RF is not used actively to predict Alzheimer's disease (AD) with brain MRIs. Recent studies have reported RF's effectiveness in predicting AD, but the test sample sizes were too small to draw any solid conclusions. Thus, it is timely to compare RF with other learning model methods, including deep learning, particularly with large amounts of data. In this study, we tested RF and various machine learning models with regional volumes from 2250 brain MRIs: 687 normal controls (NC), 1094 mild cognitive impairment (MCI), and 469 AD that ADNI (Alzheimer's Disease Neuroimaging Initiative database) provided. Three types of features sets (63, 29, and 22 features) were selected, and classification accuracies were computed with RF, Support vector machine (SVM), Multi-layer perceptron (MLP), and Convolutional neural network (CNN). As a result, RF, MLP, and CNN showed high performances of 90.2%, 89.6%, and 90.5% with 63 features. Interestingly, when 22 features were used, RF showed the smallest decrease in accuracy, -3.8%, and the standard deviation did not change significantly, while MLP and CNN yielded decreases in accuracy of -6.8% and -4.5% with changes in the standard deviation from 3.3% to 4.0% for MLP and 2.1% to 7.0% for CNN, indicating that RF predicts AD more reliably with fewer features. In addition, we investigated the importance of the features that RF provides, and identified the hippocampus, amygdala, and inferior lateral ventricle as the major contributors in classifying NC, MCI, and AD. On average, AD showed smaller hippocampus and amygdala volumes and a larger volume of inferior lateral ventricle than those of MCI and NC."
https://openalex.org/W3127597934,https://doi.org/10.1038/s41598-020-74399-w,Multimodal deep learning models for early detection of Alzheimer’s disease stage,2021,2021-02-05,article,670,235.28976,"Janani Venugopalan, Tong Li, Hamid Reza Hassanzadeh, et al.",Scientific Reports,True,12,deep learning; prediction; decision tree; random forest; support vector machine; support vector machines; neural network; neural networks; convolutional neural network; cnn; k-nearest neighbor; nearest neighbor,M,2,multimodal; multi-modal,"Most current Alzheimer's disease (AD) and mild cognitive disorders (MCI) studies use single data modality to make predictions such as AD stages. The fusion of multiple data modalities can provide a holistic view of AD staging analysis. Thus, we use deep learning (DL) to integrally analyze imaging (magnetic resonance imaging (MRI)), genetic (single nucleotide polymorphisms (SNPs)), and clinical test data to classify patients into AD, MCI, and controls (CN). We use stacked denoising auto-encoders to extract features from clinical and genetic data, and use 3D-convolutional neural networks (CNNs) for imaging data. We also develop a novel data interpretation method to identify top-performing features learned by the deep-models with clustering and perturbation analysis. Using Alzheimer's disease neuroimaging initiative (ADNI) dataset, we demonstrate that deep models outperform shallow models, including support vector machines, decision trees, random forests, and k-nearest neighbors. In addition, we demonstrate that integrating multi-modality data outperforms single modality models in terms of accuracy, precision, recall, and meanF1 scores. Our models have identified hippocampus, amygdala brain areas, and the Rey Auditory Verbal Learning Test (RAVLT) as top distinguished features, which are consistent with the known AD literature."
https://openalex.org/W3167864582,https://doi.org/10.1016/j.nicl.2021.102712,Cross-cohort generalizability of deep and conventional machine learning for MRI-based diagnosis and prediction of Alzheimer's disease,2021,2021-01-01,article,101,108.578354,for the Alzheimer's Disease Neuroimaging Initiative,EUR Research Repository (Erasmus University Rotterdam),True,11,machine learning; prediction; classifier; classification; support vector machine; svm; neural network; convolutional neural network; cnn; auc; cross-validation,M,0,,"This work validates the generalizability of MRI-based classification of Alzheimer's disease (AD) patients and controls (CN) to an external data set and to the task of prediction of conversion to AD in individuals with mild cognitive impairment (MCI). We used a conventional support vector machine (SVM) and a deep convolutional neural network (CNN) approach based on structural MRI scans that underwent either minimal pre-processing or more extensive pre-processing into modulated gray matter (GM) maps. Classifiers were optimized and evaluated using cross-validation in the Alzheimer's Disease Neuroimaging Initiative (ADNI; 334 AD, 520 CN). Trained classifiers were subsequently applied to predict conversion to AD in ADNI MCI patients (231 converters, 628 non-converters) and in the independent Health-RI Parelsnoer Neurodegenerative Diseases Biobank data set. From this multi-center study representing a tertiary memory clinic population, we included 199 AD patients, 139 participants with subjective cognitive decline, 48 MCI patients converting to dementia, and 91 MCI patients who did not convert to dementia. AD-CN classification based on modulated GM maps resulted in a similar area-under-the-curve (AUC) for SVM (0.940; 95%CI: 0.924–0.955) and CNN (0.933; 95%CI: 0.918–0.948). Application to conversion prediction in MCI yielded significantly higher performance for SVM (AUC = 0.756; 95%CI: 0.720-0.788) than for CNN (AUC = 0.742; 95%CI: 0.709-0.776) (p&lt;0.01 for McNemar's test). In external validation, performance was slightly decreased. For AD-CN, it again gave similar AUCs for SVM (0.896; 95%CI: 0.855–0.932) and CNN (0.876; 95%CI: 0.836–0.913). For prediction in MCI, performances decreased for both SVM (AUC = 0.665; 95%CI: 0.576-0.760) and CNN (AUC = 0.702; 95%CI: 0.624-0.786). Both with SVM and CNN, classification based on modulated GM maps significantly outperformed classification based on minimally processed images (p=0.01). Deep and conventional classifiers performed equally well for AD classification and their performance decreased only slightly when applied to the external cohort. We expect that this work on external validation contributes towards translation of machine learning to clinical practice."
https://openalex.org/W2967935744,https://doi.org/10.5220/0007949902960303,Classification of Alzheimer’s Disease using Machine Learning Techniques,2019,2019-01-01,article,112,104.95069,"Muhammad Shahbaz, Shahzad Ali, Aziz Guergachi, et al.",NA,True,11,machine learning; deep learning; data mining; classification; algorithm; generalized linear model; glm; decision tree; naive bayes; k-nearest neighbor; nearest neighbor,M,0,,"Alzheimer’s disease (AD) is a commonly known and widespread neurodegenerative disease which causes cognitive impairment. Although in medicine and healthcare areas, it is one of the frequently studied diseases of the nervous system despite that it has no cure or any way to slow or stop its progression. However, there are different options (drug or non-drug options) that may help to treat symptoms of the AD at its different stages to improve the patient’s quality of life. As the AD progresses with time, the patients at its different stages need to be treated differently. For that purpose, the early detection and classification of the stages of the AD can be very helpful for the treatment of symptoms of the disease. On the other hand, the use of computing resources in healthcare departments is continuously increasing and it is becoming the norm to record the patient’ data electronically that was traditionally recorded on paper-based forms. This yield increased access to a large number of electronic health records (EHRs). Machine learning, and data mining techniques can be applied to these EHRs to enhance the quality and productivity of medicine and healthcare centers. In this paper, six different machine learning and data mining algorithms including k-nearest neighbors (k-NN), decision tree (DT), rule induction, Naive Bayes, generalized linear model (GLM) and deep learning algorithm are applied on the Alzheimer’s Disease Neuroimaging Initiative (ADNI) dataset in order to classify the five different stages of the AD and to identify the most distinguishing attribute for each stage of the AD among ADNI dataset. The results of the study revealed that the GLM can efficiently classify the stages of the AD with an accuracy of 88.24% on the test dataset. The results also revealed these techniques can be successfully used in medicine and healthcare for the early detection and diagnosis of the disease."
https://openalex.org/W3012701165,https://doi.org/10.1371/journal.pone.0230409,Alzheimer’s disease diagnosis from diffusion tensor images using convolutional neural networks,2020,2020-03-24,article,96,90.33157,"Eman N. Marzban, Ayman M. Eldeib, Inas A. Yassine, et al.",PLoS ONE,True,11,machine learning; deep learning; classification; algorithm; neural network; neural networks; ann; convolutional neural network; cnn; auc; cross-validation,M,0,,"Machine learning algorithms are currently being implemented in an escalating manner to classify and/or predict the onset of some neurodegenerative diseases; including Alzheimer's Disease (AD); this could be attributed to the fact of the abundance of data and powerful computers. The objective of this work was to deliver a robust classification system for AD and Mild Cognitive Impairment (MCI) against healthy controls (HC) in a low-cost network in terms of shallow architecture and processing. In this study, the dataset included was downloaded from the Alzheimer's disease neuroimaging initiative (ADNI). The classification methodology implemented was the convolutional neural network (CNN), where the diffusion maps, and gray-matter (GM) volumes were the input images. The number of scans included was 185, 106, and 115 for HC, MCI and AD respectively. Ten-fold cross-validation scheme was adopted and the stacked mean diffusivity (MD) and GM volume produced an AUC of 0.94 and 0.84, an accuracy of 93.5% and 79.6%, a sensitivity of 92.5% and 62.7%, and a specificity of 93.9% and 89% for AD/HC and MCI/HC classification respectively. This work elucidates the impact of incorporating data from different imaging modalities; i.e. structural Magnetic Resonance Imaging (MRI) and Diffusion Tensor Imaging (DTI), where deep learning was employed for the aim of classification. To the best of our knowledge, this is the first study assessing the impact of having more than one scan per subject and propose the proper maneuver to confirm the robustness of the system. The results were competitive among the existing literature, which paves the way for improving medications that could slow down the progress of the AD or prevent it."
https://openalex.org/W4391641256,https://doi.org/10.1109/iciics59993.2023.10421074,Alzheimer’s Disease Prediction using Deep Learning Technique in 3D Brain Magnetic Resonance Imaging,2023,2023-11-24,article,5,24.062767,"V. Saravanan, Mohammad Yahya, Abbas Hameed Abdul Hussein, et al.",NA,True,11,machine learning; deep learning; prediction; classification; gradient boosting; xgboost; neural network; deep neural network; dnn; recurrent neural network; rnn,M,0,,"Alzheimer’s disease (AD) is one of dangerous neurodegenerative diseases affecting elderly worldwide. A several Deep Learning (DL) and Machine Learning (ML) approaches are employed, but it attains high complicated patterns from MRI scans for detecting AD. To overcome these limitations, an efficient DL approaches are proposed for predicting Alzheimer disease in 3D brain Magnetic Resonance Imaging (MRI). A proposed DL approach involves two stages namely segmentation as well as classification, these approaches are based on DL. 3D Brain MRI input is converted into 2D slices and Adaptive Histogram Equalization (AHE), skull stripping approaches are utilized in preprocessing. Then preprocessing, integration of Gaussian Mixture Model (GMM) and Recurrent Neural Network (RNN) is applied for segmenting a MRI input. After segmentation, an integration of Deep Neural Network (DNN) and Extreme Gradient Boosting (XGBoost) are utilized for classifying an AD based on segmented tissues. In this proposed approach, datasets such as Alzheimer’s Disease Neuroimaging Initiative (ADNI), Open Access Series of Imaging Studies (OASIS) are utilized and attains better performance of 99.85% and 99.84% of accuracies when compared with existing approaches."
https://openalex.org/W3125069671,https://doi.org/10.1038/s41598-021-82098-3,A multilayer multimodal detection and prediction model based on explainable artificial intelligence for Alzheimer’s disease,2021,2021-01-29,article,330,128.75392,"Shaker El–Sappagh, José M. Alonso, S. M. Riazul Islam, et al.",Scientific Reports,True,10,machine learning; artificial intelligence; prediction model; prediction; classifier; classification; algorithm; decision tree; random forest; cross-validation,M,1,multimodal,"Alzheimer's disease (AD) is the most common type of dementia. Its diagnosis and progression detection have been intensively studied. Nevertheless, research studies often have little effect on clinical practice mainly due to the following reasons: (1) Most studies depend mainly on a single modality, especially neuroimaging; (2) diagnosis and progression detection are usually studied separately as two independent problems; and (3) current studies concentrate mainly on optimizing the performance of complex machine learning models, while disregarding their explainability. As a result, physicians struggle to interpret these models, and feel it is hard to trust them. In this paper, we carefully develop an accurate and interpretable AD diagnosis and progression detection model. This model provides physicians with accurate decisions along with a set of explanations for every decision. Specifically, the model integrates 11 modalities of 1048 subjects from the Alzheimer's Disease Neuroimaging Initiative (ADNI) real-world dataset: 294 cognitively normal, 254 stable mild cognitive impairment (MCI), 232 progressive MCI, and 268 AD. It is actually a two-layer model with random forest (RF) as classifier algorithm. In the first layer, the model carries out a multi-class classification for the early diagnosis of AD patients. In the second layer, the model applies binary classification to detect possible MCI-to-AD progression within three years from a baseline diagnosis. The performance of the model is optimized with key markers selected from a large set of biological and clinical measures. Regarding explainability, we provide, for each layer, global and instance-based explanations of the RF classifier by using the SHapley Additive exPlanations (SHAP) feature attribution framework. In addition, we implement 22 explainers based on decision trees and fuzzy rule-based systems to provide complementary justifications for every RF decision in each layer. Furthermore, these explanations are represented in natural language form to help physicians understand the predictions. The designed model achieves a cross-validation accuracy of 93.95% and an F1-score of 93.94% in the first layer, while it achieves a cross-validation accuracy of 87.08% and an F1-Score of 87.09% in the second layer. The resulting system is not only accurate, but also trustworthy, accountable, and medically applicable, thanks to the provided explanations which are broadly consistent with each other and with the AD medical literature. The proposed system can help to enhance the clinical understanding of AD diagnosis and progression processes by providing detailed insights into the effect of different modalities on the disease risk."
https://openalex.org/W4211064437,https://doi.org/10.1093/bib/bbac022,Deep learning-based identification of genetic variants: application to Alzheimer’s disease classification,2022,2022-02-10,article,73,138.90631,"Taeho Jo, Kwangsik Nho, Paula J. Bice, et al.",Briefings in Bioinformatics,True,10,machine learning; deep learning; classification; random forest; xgboost; neural network; convolutional neural network; cnn; auc; area under the curve,M,0,,"Deep learning is a promising tool that uses nonlinear transformations to extract features from high-dimensional data. Deep learning is challenging in genome-wide association studies (GWAS) with high-dimensional genomic data. Here we propose a novel three-step approach (SWAT-CNN) for identification of genetic variants using deep learning to identify phenotype-related single nucleotide polymorphisms (SNPs) that can be applied to develop accurate disease classification models. In the first step, we divided the whole genome into nonoverlapping fragments of an optimal size and then ran convolutional neural network (CNN) on each fragment to select phenotype-associated fragments. In the second step, using a Sliding Window Association Test (SWAT), we ran CNN on the selected fragments to calculate phenotype influence scores (PIS) and identify phenotype-associated SNPs based on PIS. In the third step, we ran CNN on all identified SNPs to develop a classification model. We tested our approach using GWAS data from the Alzheimer's Disease Neuroimaging Initiative (ADNI) including (N = 981; cognitively normal older adults (CN) = 650 and AD = 331). Our approach identified the well-known APOE region as the most significant genetic locus for AD. Our classification model achieved an area under the curve (AUC) of 0.82, which was compatible with traditional machine learning approaches, random forest and XGBoost. SWAT-CNN, a novel deep learning-based genome-wide approach, identified AD-associated SNPs and a classification model for AD and may hold promise for a range of biomedical applications."
https://openalex.org/W2805773775,https://doi.org/10.3389/fninf.2018.00035,Classification of Alzheimer’s Disease by Combination of Convolutional and Recurrent Neural Networks Using FDG-PET Images,2018,2018-06-19,article,242,130.66734,"Manhua Liu, Danni Cheng, Weiwu Yan, et al.",Frontiers in Neuroinformatics,True,10,deep learning; classifier; classification; neural network; neural networks; convolutional neural network; cnn; recurrent neural network; rnn; auc,M,0,,"Alzheimer's disease (AD) is an irreversible brain degenerative disorder affecting people aged older than 65 years. Currently, there is no effective cure for AD, but its progression can be delayed with some treatments. Accurate and early diagnosis of AD is vital for the patient care and development of future treatment. Fluorodeoxyglucose positrons emission tomography (FDG-PET) is a functional molecular imaging modality, which proves to be powerful to help understand the anatomical and neural changes of brain related to AD. Most existing methods extract the handcrafted features from images, and then design a classifier to distinguish AD from other groups. These methods highly depends on the preprocessing of brain images, including image rigid registration and segmentation. Motivated by the success of deep learning in image classification, this paper proposes a new classification framework based on combination of 2D convolutional neural networks (CNN) and recurrent neural networks (RNNs), which learns the intra-slice and inter-slice features for classification after decomposition of the 3D PET image into a sequence of 2D slices. The 2D CNNs are built to capture the features of image slices while the gated recurrent unit (GRU) of RNN is cascaded to learn and integrate the inter-slice features for image classification. No rigid registration and segmentation are required for PET images. Our method is evaluated on the baseline FDG-PET images acquired from 339 subjects including 93 AD patients, 146 mild cognitive impairments (MCI) and 100 normal controls (NC) from Alzheimer's Disease Neuroimaging Initiative (ADNI) database. Experimental results show that the proposed method achieves an area under receiver operating characteristic curve (AUC) of 95.3% for AD vs. NC classification and 83.9% for MCI vs. NC classification, demonstrating the promising classification performance."
https://openalex.org/W3103825571,https://doi.org/10.1101/2020.11.09.20226746,Risk Score Stratification of Alzheimer’s Disease and Mild Cognitive Impairment using Deep Learning,2020,2020-11-13,preprint,5,24.353872,"Sanjay Nagaraj, Timothy Q. Duong",medRxiv,True,10,deep learning; prediction; classifier; classification; algorithm; neural network; ann; auc; area under the curve; cross validation,M,0,,"ABSTRACT Alzheimer Disease (AD) is a progressive neurodegenerative disease that can significantly impair cognition and memory. AD is the leading cause of dementia and affects one in ten people age 65 and older. Current diagnoses methods of AD heavily rely on the use of Magnetic Resonance Imaging (MRI) since non-imaging methods can vary widely leading to inaccurate diagnoses. Furthermore, recent research has revealed a substage of AD, Mild Cognitive Impairment (MCI), that is characterized by symptoms between normal cognition and dementia which makes it more prone to misdiagnosis. A large battery of clinical variables are currently used to detect cognitive impairment and classify early mild cognitive impairment (EMCI), late mild cognitive impairment (LMCI), and AD from cognitive normal (CN) patients. The goal of this study was to derive a simplified risk-stratification algorithm for diagnosis and identify a few significant clinical variables that can accurately classify these four groups using an empirical deep learning approach. Over 100 variables that included neuropsychological/neurocognitive tests, demographics, genetic factors, and blood biomarkers were collected from EMCI, LMCI, AD, and CN patients from the Alzheimer’s Disease Neuroimaging Initiative (ADNI) database. Feature engineering was performed with 5 different methods and a neural network was trained on 90% of the data and tested on 10% using 10-fold cross validation. Prediction performance used area under the curve (AUC) of the receiver operating characteristic analysis. The five different feature selection methods consistently yielded the top classifiers to be the Clinical Dementia Rating Scale - Sum of Boxes (CDRSB), Delayed total recall (LDELTOTAL), Modified Preclinical Alzheimer Cognitive Composite with Trails test (mPACCtrailsB), the Modified Preclinical Alzheimer Cognitive Composite with Digit test (mPACCdigit), and Mini-Mental State Examination (MMSE). The best classification model yielded an AUC of 0.984, and the simplified risk-stratification score yielded an AUC of 0.963 on the test dataset. Our results show that this deep-learning algorithm and simplified risk score derived from our deep-learning algorithm accurately diagnose EMCI, LMCI, AD and CN patients using a few commonly available neurocognitive tests. The project was successful in creating an accurate, clinically translatable risk-stratified scoring aid for primary care providers to diagnose AD in a fast and inexpensive manner."
