openalex_id,doi,title,year,publication_date,type,cited_by_count,relevance_score,authors,source,dataset_mentioned,ml_match_count,matched_ml_terms,regime_selected,regime_match_count,matched_regime_terms,abstract
https://openalex.org/W7154646477,https://doi.org/10.1109/i-create67590.2025.11478181,Smartphone-Based Finger Tapping Analysis for Classifying Parkinson's Disease Severity Using Machine Learning,2025,2025-11-24,article,0,4.8331165,"Nathakorn Amornrungrojanakul, Areenta Lertyongphati, Warunya Udomkhwamsuk, et al.",NA,True,8,machine learning; predictive; logistic regression; random forest; xgboost; support vector machine; svm; cross-validation,M,1,smartphone,"Parkinson's disease (PD) is a progressive neurological movement disease, and the assessment of its severity is essential for clinical management and research. This study examines the efficiency of utilizing smartphone-based finger-tapping data to categorize Parkinson's disease severity via machine learning. We used the mPower dataset, one of the largest publicly available Parkinson's disease (PD) datasets, for this study. To establish a ground truth for disease severity, we relied on Part II of the Movement Disorder Society-Unified Parkinson's Disease Rating Scale (MDS-UPDRS), which assesses motor experiences of daily living. A comprehensive collection of 32 kinematic features was derived from the tapping activity of a sample of <tex xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">$\text{2, 0 0 4}$</tex> participants to quantify motor performance. We assessed four machine learning models, including Logistic Regression, Support Vector Machine (SVM), Random Forest, and XGBoost, and implemented a five-fold cross-validation technique. The XGBoost model yielded the best results, achieving a mean accuracy of <tex xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">$84.39 \pm 2.31$</tex> and a weighted F1-score of <tex xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">$84.21 \pm 1.83$</tex> in classifying 'Mild' and ‘Moderate-to-Severe' cases. The primary predictive variables correlated to tapping speed, rhythm, and coordination, thereby validating their significance as digital biomarkers for motor impairment. The findings indicate that an ordinary finger-tapping tasks on a smartphone can function as an efficient, objective, and remote approach to assessing Parkinson's disease severity, emphasizing the tremendous potential of digital health applications in disease management."
https://openalex.org/W4404960022,https://doi.org/10.1038/s41598-024-81824-x,Transformer-based transfer learning on self-reported voice recordings for Parkinson’s disease diagnosis,2024,2024-12-03,article,17,55.335,"Ilias Tougui, Mehdi Zakroum, Ouassim Karrakchou, et al.",Scientific Reports,True,7,deep learning; prediction; neural network; neural networks; convolutional neural network; transformer; auc,M,1,smartphone,"Deep learning (DL) techniques are becoming more popular for diagnosing Parkinson's disease (PD) because they offer non-invasive and easily accessible tools. By using advanced data analysis, these methods improve early detection and diagnosis, which is crucial for managing the disease effectively. This study explores end-to-end DL architectures, such as convolutional neural networks and transformers, for diagnosing PD using self-reported voice data collected via smartphones in everyday settings. Transfer learning was applied by starting with models pre-trained on large datasets from the image and the audio domains and then fine-tuning them on the mPower voice data. The Transformer model pre-trained on the voice data performed the best, achieving an average AUC of [Formula: see text] and an average AUPRC of [Formula: see text], outperforming models trained from scratch. To the best of our knowledge, this is the first use of a Transformer model for audio data in PD diagnosis, using this dataset. We achieved better results than previous studies, whether they focused solely on the voice or incorporated multiple modalities, by relying only on the voice as a biomarker. These results show that using self-reported voice data with state-of-the-art DL architectures can significantly improve PD prediction and diagnosis, potentially leading to better patient outcomes."
https://openalex.org/W4388451033,https://doi.org/10.25071/2817-5344/55,Detecting Parkinson’s Disease Using Machine Learning from Movement,2023,2023-11-07,article,0,4.377509,"Emma Richard, Mary Alexandria Kelly",Canadian Journal for the Academic Mind,True,7,machine learning; decision tree; neural network; neural networks; artificial neural network; ann; convolutional neural network,M,1,smartphone,"This study explored the potential of machine learning techniques, specifically decision trees and artificial neural networks (ANNs), to detect Parkinson's Disease (PD) using data collected from the mPower mobile iOS app. Released in 2016 by Sage Bionetworks, mPower enables individuals, both with and without PD, to assess their cognitive and physical abilities through various tasks related to memory, tapping, voice, and movement. The main focus of this study is on the walking task within the app's version 1.0 build 7. Participants were required to walk unassisted for approximately 20 steps in a straight line, followed by a 30-second period of standing still, and then returning with 20 steps. The smartphone's accelerometer and gyroscope captured three-dimensional (3D) rotation data (x, y, z) during these movements, with the device placed in the participant's pocket or bag. A convolutional neural network was applied to the movement dataset to assess confirmed PD cases, utilizing accelerometer and gyroscope readings during outward walking, return walking, and rest periods."
https://openalex.org/W2951241220,https://doi.org/10.1109/stsiva.2019.8730219,Selection of voice parameters for Parkinson´s disease prediction from collected mobile data,2019,2019-04-01,article,22,63.91122,"Mónica Giuliano, Alfonsa Garcia-Lopez, Silvia N. Pérez, et al.",NA,True,7,prediction; logistic regression; neural network; neural networks; mlp; multilayer perceptron; auc,M,0,,"Voice disorders, which can help in the diagnosis of Parkinson's disease (PD), can be measured with acoustic tools. In this work, demographic data and vocal phonation records /a/ from the available mPower database were analyzed to identify PD patients. A parsimonious model was then found that achieved a reduction from 62 to 5 phonation characteristics, which were considered in addition to gender and age. Multilayer Perceptron (MLP) and Logistic Regression (LR) neural networks were used to obtain a model with high prediction capacity (area under receiver operating characteristic curve, AUC-ROC, over 0.82). This work contributes to the monitoring of EP patients from the recording of a few phonation features collected by means of a mobile phone."
https://openalex.org/W4321372411,https://doi.org/10.3390/diagnostics13040778,Auto-Detection of Motion Artifacts on CT Pulmonary Angiograms with a Physician-Trained AI Algorithm,2023,2023-02-18,article,6,24.926003,"Giridhar Dasegowda, Bernardo C. Bizzo, Parisa Kaviani, et al.",Diagnostics,True,7,artificial intelligence; classification; algorithm; auc; roc curve; model performance; cross-validation,M,0,,"<b>Purpose</b>: Motion-impaired CT images can result in limited or suboptimal diagnostic interpretation (with missed or miscalled lesions) and patient recall. We trained and tested an artificial intelligence (AI) model for identifying substantial motion artifacts on CT pulmonary angiography (CTPA) that have a negative impact on diagnostic interpretation. <b>Methods</b>: With IRB approval and HIPAA compliance, we queried our multicenter radiology report database (mPower, Nuance) for CTPA reports between July 2015 and March 2022 for the following terms: ""motion artifacts"", ""respiratory motion"", ""technically inadequate"", and ""suboptimal"" or ""limited exam"". All CTPA reports were from two quaternary (Site A, <i>n</i> = 335; B, <i>n</i> = 259) and a community (C, <i>n</i> = 199) healthcare sites. A thoracic radiologist reviewed CT images of all positive hits for motion artifacts (present or absent) and their severity (no diagnostic effect or major diagnostic impairment). Coronal multiplanar images from 793 CTPA exams were de-identified and exported offline into an AI model building prototype (Cognex Vision Pro, Cognex Corporation) to train an AI model to perform two-class classification (""motion"" or ""no motion"") with data from the three sites (70% training dataset, <i>n</i> = 554; 30% validation dataset, <i>n</i> = 239). Separately, data from Site A and Site C were used for training and validating; testing was performed on the Site B CTPA exams. A five-fold repeated cross-validation was performed to evaluate the model performance with accuracy and receiver operating characteristics analysis (ROC). <b>Results</b>: Among the CTPA images from 793 patients (mean age 63 ± 17 years; 391 males, 402 females), 372 had no motion artifacts, and 421 had substantial motion artifacts. The statistics for the average performance of the AI model after five-fold repeated cross-validation for the two-class classification included 94% sensitivity, 91% specificity, 93% accuracy, and 0.93 area under the ROC curve (AUC: 95% CI 0.89-0.97). <b>Conclusion</b>: The AI model used in this study can successfully identify CTPA exams with diagnostic interpretation limiting motion artifacts in multicenter training and test datasets. <b>Clinical relevance</b>: The AI model used in the study can help alert technologists about the presence of substantial motion artifacts on CTPA, where a repeat image acquisition can help salvage diagnostic information."
https://openalex.org/W4409157569,https://doi.org/10.1038/s41598-025-95315-0,A quantum inspired machine learning approach for multimodal Parkinson’s disease screening,2025,2025-04-04,article,10,45.22234,"Diya Vatsavai, Anya Iyer, Arshad Arjunan Nair",Scientific Reports,True,6,machine learning; classification; random forest; support vector machine; svm; auc,M,1,multimodal,"Parkinson's disease, currently the fastest-growing neurodegenerative disorder globally, has seen a 50% increase in cases within just two years. As disease progression impairs speech, memory, and motor functions over time, early diagnosis is crucial for preserving patients' quality of life. Although machine-learning-based detection has shown promise for detecting Parkinson's disease, most studies rely on a single feature for classification and can be error-prone due to the variability of symptoms between patients. To address this limitation we utilized the mPower dataset, which includes 150,000 samples across four key biomarkers: voice, gait, tapping, and demographic data. From these measurements, we extracted 64 features and trained a baseline Random Forest model to select the features above the 80th percentile. For classification, we designed a simulatable quantum support vector machine (qSVM) that detects high-dimensional patterns, leveraging recent advancements in quantum machine learning. With this novel and simulatable architecture that can be run on standard hardware rather than resource-intensive quantum computers, our model achieves an accuracy of 90%, F-1 score of 0.90, and an AUC of 0.98-surpassing benchmark models. Utilizing an innovative classification framework built on a diverse set of features, our model offers a pathway for accessible global Parkinson's screening."
https://openalex.org/W4405029383,https://doi.org/10.48550/arxiv.2411.18640,"A quantum inspired predictor of Parkinsons disease built on a diverse, multimodal dataset",2024,2024-11-25,preprint,0,3.6595316,"Diya Vatsavai, Anya Iyer, Arshad Arjunan Nair",arXiv (Cornell University),True,6,machine learning; classification; random forest; support vector machine; svm; auc,M,1,multimodal,"Parkinsons disease, the fastest growing neurodegenerative disorder globally, has seen a 50 percent increase in cases within just two years. As speech, memory, and motor symptoms worsen over time, early diagnosis is crucial for preserving patients quality of life. While machine-learning-based detection has shown promise, relying on a single feature for classification can be error-prone due to the variability of symptoms between patients. To address this limitation we utilized the mPower database, which includes 150,000 samples across four key biomarkers: voice, gait, tapping, and demographic data. From these measurements, we extracted 64 features and trained a baseline Random Forest model to select the features above the 80th percentile. For classification, we designed a simulatable quantum support vector machine (qSVM) that detects high-dimensional patterns, leveraging recent advancements in quantum machine learning. With a novel, simulatable architecture that can be run on standard hardware rather than resource-intensive quantum computers, our model achieves an accuracy of 90 percent and an AUC of 0.98, surpassing benchmark models. By utilizing an innovative classification framework built on a diverse set of features, our model offers a pathway for accessible global Parkinsons screening."
https://openalex.org/W2898892933,https://doi.org/10.1109/embc.2018.8513409,Parkinson’s Disease Classification of mPower Walking Activity Participants,2018,2018-07-01,article,19,440.25217,"Benjamin Pittman, Reza Hosseini Ghomi, Dong Si",NA,True,6,machine learning; classification; algorithm; decision tree; neural network; artificial neural network,M,0,,"Motion sensor data collected using Sage Bionetwork's mPower application on the Apple iPhone to record participant activities is analyzed to classify samples as positive or negative for Parkinson's Diagnosis. Pre-processing of the data showed differences in the time and frequency dimensions for features derived from Apple Core motion data. Several classic machine learning classification algorithms were trained on seventy-seven derived data points for best precision, recall, and F-1 score. Accuracy as high as ninety-two percent were achieved, with the best results attained from decision tree and multi-layered artificial neural network algorithms. This research shows that motion data produced on the Apple iPhone using the mPower application shows promise as an accessible platform to classify participants for presence of Parkinson's Disease signs."
https://openalex.org/W3125793290,https://doi.org/10.1016/s2589-7500(21)00004-2,Disrupting the power balance between doctors and patients in the digital era,2021,2021-01-27,article,17,24.406456,"Sarah Goodday, John Geddes, Stephen Friend",The Lancet Digital Health,True,4,artificial intelligence; classification; decision tree; ann,M,3,multimodal; wearable; smartphone,"The primary way of identifying symptoms of impending disease, and when it is time to seek care, relies heavily on a patient's own perception of how they feel. This reliance on a disease reaching a threshold at which subjectively recognised symptoms are produced creates a situation in which many patients identified as at risk for disease are already experiencing chronic disease. Thus, substantial delays can be seen from the first noticing of symptoms to accurate diagnosis. The COVID-19 pandemic has highlighted the inadequacy of subjective approaches for early detection of disease and control of the spread of infectious diseases. The capabilities of wearable devices and smartphone sensors to collect high-dimensional objective information and return this information to patients offers an opportunity to disrupt our current ways of detecting, classifying, and treating disease. Yet, current definitions of, and approaches used to detect, signs and symptoms of disease are misaligned with these new digital approaches. Symptoms encompass the subjective sensation of the presence of disease: the patient must be aware of the symptom. Objective measures of health are considered signs observable by doctors, such as a skin rash, blood pressure reading, or biomarker of disease. Thus, rooted in this language, symptoms reported by patients must be subjective in nature whereas an objective measure cannot be a symptom. An important nuanced layer in these definitions is the role of the doctor—the expert who must be the observer and translator of objective signs of disease. Definitions aside, if patients were able to collect accurate objective measures of health themselves, and could track these measures independently, would these not be patient-generated signs and symptoms that could be adequate grounds for action? New technology that allows patients to monitor measures of health that traditionally were defined as objective signs of disease, such as blood pressure, resting heart rate, heart rate variability, and activity, are changing the symptom reporting landscape. Up to now, the usual metrics tied to digital devices included physiological measures of activity (eg, steps or movement). These metrics are not clinical symptoms making them not so useful in their raw form. Electrical signals from digital sensors augmented by machine-learning techniques could be translated into momentary, minute-level, day-to-day, week-to-week fluctuating streams of high-dimensional health information. Multimodal approaches that translate passive device sensor datastreams to symptoms, which have been historically measured and understood through a subjective lens (eg, mood and cognition) are being developed.1Rohani DA Faurholt-Jepsen M Kessing LV Bardram JE Correlations between objective behavioral features collected from mobile and wearable devices and depressive mood symptoms in patients with affective disorders: systematic review.JMIR Mhealth Uhealth. 2018; 6: e165Crossref PubMed Scopus (53) Google Scholar, 2Chen R JF Marinsek N Foschini L et al.Developing measures of cognitive impairment in the real world from consumer-grade multimodal sensor streams.Proc 25th ACM SIGKDD Int Conf Knowl Discov Data Min. 2019; (published online July 25.)https://doi.org/10.1145/3292500.3330690Crossref Scopus (24) Google Scholar Further, rapid development of apps for this purpose is accelerating progress, such as the Share the Journey app for breast cancer, and the mPower app for Parkinson's disease.3Bot BM Suver C Neto EC et al.The mPower study, Parkinson disease mobile data collected using ResearchKit.Sci Data. 2016; 3160011Crossref PubMed Scopus (227) Google Scholar The goal of these approaches is to translate complex sensor data into clinically meaningful patient-generated symptoms and signs that might improve individual early detection and surveillance and aid more efficient clinical decision-making. For more on the Share the Journey app see http://www.sharethejourneyapp.org For more on the Share the Journey app see http://www.sharethejourneyapp.org These new capabilities to detect objective measures of health that can be returned to individuals raise important questions on what constitutes a symptom. Symptoms could be detected without a patient's awareness whereas objective signs could be detected without a doctor's involvement or expert translation. Our old definitions of subjective symptoms and objective signs of disease simply do not work in the digital era. New digital approaches also disrupt the traditional power balance between patients and doctors. Artificial intelligence enables devices to learn complex patterns in day-to-day shifts in behaviour, cognition, emotion, physiology, and—with advancements in wearable biosensors—other measures of neuroendocrine activity.4Parlak O KS Marais A Curto VF Salleo A Molecularly selective nanoporous membrane-based wearable organic electrochemical device for noninvasive cortisol sensing.Sci Adv. 2018; 4eear2904Crossref Scopus (165) Google Scholar The ability to return this health information back to patients incites questions around the shifting role of the patient versus the medical expert. Indeed, discussion on the shift to participatory medical models calls into question our current top-down biomedical approaches,5Erikainen S Pickersgill M Cunningham-Burley S Chan S Patienthood and participation in the digital era.Digit Health. 2019; 52055207619845546Crossref Scopus (16) Google Scholar realising the powerful insights that can emerge from individuals themselves. This new digital environment accelerates participatory medical models, enabling patients to work alongside clinicians and, occasionally, take the lead in the management of their own health. Current medical models assume that patients can only parochially consider subjective aspects of their disease and not the objective facts needed by the doctor to make proper medical decisions. The prerequisite loop that requires the doctor to provide facts about a patient's disease impedes progress towards participant co-driven health and is misaligned with the new capabilities of the digital era. Digital technology enables patients to feed their own generated objective health information into decision trees, making it reasonable to assume that patients should be able to trigger medical decision making outside the current prerequisite loop. Finally, new technologies enable potential detection of early disease manifestations not typically associated with subjectively detectable disease activity. This possibility has powerful implications for the area of infection diseases with respect to objective early detection of infection. For example, studies utilising wearable devices are showing promise in early detection of COVID-19 in asymptomatic individuals who show changes in heart rate, activity, and sleep.6Mishra T Wang M Metwally AA et al.Pre-symptomatic detection of COVID-19 from smartwatch data.Nat Biomed Eng. 2020; 4: 1208-1220Crossref PubMed Scopus (33) Google Scholar How will new digital ways of detecting and tracking disease fit into health systems and the everyday life of users? This integration will undoubtedly comprise a concerted and challenging effort that could revolutionise the health of individuals and populations.7Health Education EnglandThe Topol Review. Preparing the healthcare workforce to deliver the digital future. Health Education England, Leeds2018Google Scholar Approaches are still in an early phase, with much validation work being needed. Extensive pilot testing of the feasibility, acceptability, validity, and reliability in the use of these tools in patients, health-care providers and most importantly groups that are less likely to engage to avoid widening health inequalities is needed alongside rigorous data governance models. Potentially, the largest obstacle to progression of digital health approaches lies in compatibility with existing medical approaches, classifications of disease, and mistrust in readouts from digital devices. Ensuring the readout from digital devices is accurate and interoperable will be a first step in removing this obstacle. To make individualised and patient co-driven care a reality, a major shift is needed with respect to how patients are enabled to report on their health and, in parallel, how we conceptualise evidence of disease. All authors declare no competing interests related to the perspective presented here. JRG is supported by the National Institute of Health Research (NIHR) Oxford Health Biomedical Research Centre (grant BRC-1215-20005). The views expressed are those of the authors and not necessarily those of the UK National Health Service, NIHR, or the UK Department of Health."
https://openalex.org/W4386215133,https://doi.org/10.1109/icdh60066.2023.00016,Remote Medication Status Prediction for Individuals with Parkinson’s Disease using Time-series Data from Smartphones,2023,2023-07-01,article,2,23.948278,"Weijian Li, Wei Zhu, E. Ray Dorsey, et al.",NA,True,4,machine learning; prediction; transformer; auc,M,3,multi-modal; wearable; smartphone,"Medication for neurological diseases such as the Parkinson’s disease usually happens remotely away from hospitals. Such out-of-lab environments pose challenges in collecting timely and accurate health status data. Individual differences in behavioral signals collected from wearable sensors also lead to difficulties in adopting current general machine learning analysis pipelines. To address these challenges, we present a method for predicting the medication status of Parkinson’s disease patients using the public mPower dataset, which contains 62,182 remote multi-modal test records collected on smartphones from 487 patients. The proposed method shows promising results in predicting three medication statuses objectively: Before Medication (AUC=0.95), After Medication (AUC=0.958), and Another Time (AUC=0.976) by examining patient-wise historical records with the attention weights learned through a Transformer model. Our method provides an innovative way for personalized remote health sensing in a timely and objective fashion which could benefit a broad range of similar applications."
