openalex_id,doi,title,year,publication_date,type,cited_by_count,relevance_score,authors,source,dataset_mentioned,ml_match_count,matched_ml_terms,regime_selected,regime_match_count,matched_regime_terms,abstract
https://openalex.org/W4320801565,https://doi.org/10.1109/ibssc56953.2022.10037549,Prediction of Student's Wellbeing from Stress and Sleep Questionnaire data using Machine Learning Approach,2022,2022-12-08,article,0,4.779505,"Sharisha Shanbhog M, Jeevan Medikonda",NA,True,10,machine learning; prediction; classifier; regression model; linear regression; decision tree; support vector machine; svm; k-nearest neighbor; nearest neighbor,M,0,,"A sound mental health has its benefits for the overall well-being of an individual. The decline in mental health conditions has a critical impression on other vital functionalities of the human system both psychologically and physiologically. And a student's well-being is largely contributed by the level of perceived stress and overall quality of nighttime sleep which might have evolved by various external factors over a while. The main objective of this study is to understand the correlation between Perceived Stress Scale (PSS) scores and Pittsburgh Sleep Quality Index (PSQI) global scores from StudentLife, a publicly available dataset over the period, and classify the well-being factor as ‘Good’ ‘Average’ and ‘Bad’ The linear regression model significantly demonstrated the association between PSS scores and Pittsburgh Sleep Quality Index (PSQI) scores. Machine Learning techniques like Decision Trees (DT), Support Vector Machine (SVM), and K-nearest neighbors(K-NN) were implemented on both Pre-Test and Post-test questionnaire data. While SVM resulted in better accuracy for Pre-test data, the K-NN classifier resulted in best accuracy for Post-test data, and the performance was evaluated using performance metrics like accuracy Precision, recall, and F1 score."
https://openalex.org/W4386208018,https://doi.org/10.1109/icdh60066.2023.00025,Towards Privacy-Preserving Depression Detection: Experiments on Passive Sensor Signal Data,2023,2023-07-01,article,3,26.495346,"Aijia Yuan, Michael Xu, Hongyi Zhu, et al.",NA,True,6,machine learning; predictive; classifier; logistic regression; decision tree; gradient boosting,M,1,smartphone,"Mental health such as depression issues are on an unfortunate rise. Analyzing signals generated from sensors using machine learning (ML) techniques has shown promise as an objective, holistic, and cost-effective tool for assessing human mental conditions. However, many sensors often expose individuals’ Personally Identifiable Information (PII). In this work-in-progress study, we explore the performance of ML-based models for depression detection using only non-PII-releasing sensors. We compared the performance of prevailing ML models on the StudentLife dataset, which contains sensor signal data from smartphones for 48 students across 65 days. Our findings suggest that Decision Tree, Gradient Boosting, and Logistic Regression show higher predictive power even with limited non-PII-releasing sensor data. Additionally, we found that certain combinations of non-PII releasing sensors, such as surrounding conversation and phone lock frequency, help ML classifiers attain almost perfect performance across accuracy, recall, precision, and F1. This study has implications for a privacy-preserving approach for detecting depression."
https://openalex.org/W4415164796,https://doi.org/10.1145/3746259.3760432,Continual Learning Strategies for Personalized Mental Well-being Monitoring from Mobile Sensing Data,2025,2025-10-14,article,1,21.696003,"Giovanni Patanè, Amelia Sorrenti, Giovanni Bellitto, et al.",NA,True,6,prediction; predictive; neural network; neural networks; recurrent neural network; transformer,M,1,multimodal,"Automatic prediction of psychological stress using mobile sensing data is critical for developing personalized mental health monitoring tools. Traditional approaches typically train static models offline, limiting their applicability in real-world scenarios characterized by evolving user behaviors and data streams. To address these challenges, we formulate stress prediction as a continual learning (CL) regression task, where each user constitutes a distinct sequential task. Within this framework, we evaluate two adaptation strategies: (1) a replay-based approach, leveraging recurrent neural networks combined with an episodic memory buffer; and (2) a prompt-based method, where task-specific prompts are jointly trained with a transformer backbone and combined with the memory buffer to enable task-aware adaptation across users. Experiments conducted on a filtered subset of the StudentLife dataset, comprising multimodal behavioral and contextual data, demonstrate that prompt-based methods achieve competitive predictive performance. Our results underline the potential of continual learning paradigms to enable scalable and adaptive stress prediction systems."
https://openalex.org/W4226474215,https://doi.org/10.1371/journal.pone.0266516,Machine learning for passive mental health symptom prediction: Generalization across different longitudinal mobile sensing studies,2022,2022-04-27,article,67,63.499588,"Daniel A. Adler, Fei Wang, David C. Mohr, et al.",PLoS ONE,True,6,machine learning; prediction; predictive; classification; model performance; cross-validation,M,0,,"Mobile sensing data processed using machine learning models can passively and remotely assess mental health symptoms from the context of patients' lives. Prior work has trained models using data from single longitudinal studies, collected from demographically homogeneous populations, over short time periods, using a single data collection platform or mobile application. The generalizability of model performance across studies has not been assessed. This study presents a first analysis to understand if models trained using combined longitudinal study data to predict mental health symptoms generalize across current publicly available data. We combined data from the CrossCheck (individuals living with schizophrenia) and StudentLife (university students) studies. In addition to assessing generalizability, we explored if personalizing models to align mobile sensing data, and oversampling less-represented severe symptoms, improved model performance. Leave-one-subject-out cross-validation (LOSO-CV) results were reported. Two symptoms (sleep quality and stress) had similar question-response structures across studies and were used as outcomes to explore cross-dataset prediction. Models trained with combined data were more likely to be predictive (significant improvement over predicting training data mean) than models trained with single-study data. Expected model performance improved if the distance between training and validation feature distributions decreased using combined versus single-study data. Personalization aligned each LOSO-CV participant with training data, but only improved predicting CrossCheck stress. Oversampling significantly improved severe symptom classification sensitivity and positive predictive value, but decreased model specificity. Taken together, these results show that machine learning models trained on combined longitudinal study data may generalize across heterogeneous datasets. We encourage researchers to disseminate collected de-identified mobile sensing and mental health symptom data, and further standardize data types collected across studies to enable better assessment of model generalizability."
https://openalex.org/W2980801698,https://doi.org/10.1016/j.procs.2019.09.221,Prediction of stress levels with LSTM and passive mobile sensors,2019,2019-01-01,article,35,55.99256,"Yasin Acikmese, S. Emre Alptekin",Procedia Computer Science,True,6,machine learning; prediction; algorithm; ann; cnn; lstm,M,0,,"Stress levels among people rise through the years, and passive sensing data from mobile phones or other ubiquitous devices have started to found its place in applications of mental health observation. With the ultimate goal of creating an automatic human mental health assistant that helps people to have a better mental condition, a step is taken by creating a stress recognition model. In previous works, the researchers have found correlations between sensor data and mental health conditions. They attempted to predict the stress level by different data sources. Due to there is no direct link between any sensor data with mental health, Machine Learning algorithms are employed to uncover relations with multiple sensors and mental well-being. The utilized machine learning algorithms work with non-sequence data hence the researchers need to extract features that represent historical sensor data as one value features. However, extracted features cannot completely represent time-varying sequence data. Within the scope of this study, we demonstrate that LSTM, CNN and CNN-LSTM algorithms, which accept sequence data as input can also work in passive mobile phone sensor data to predict human mental stress. The performance of the model on StudentLife dataset that includes passive mobile sensing data and stress feedbacks of college students has 62.83% accuracy on 460 test instances by training with 800 instances with LSTM model. The diversity of the data is limited and the size is tiny for the data-hungry LSTM model. Consequently, the model could not generalize on adapted features with the small sample size. Although we did not adapt complex features, the results encourage us to improve data size and continue to research on this topic."
https://openalex.org/W4386143398,https://doi.org/10.1016/j.jksuci.2023.101728,SMFSOP: A semantic-based modelling framework for student outcome prediction,2023,2023-08-24,article,3,22.873373,"Yomna M.I. Hassan, Abeer ElKorany, Khaled Wassif",Journal of King Saud University - Computer and Information Sciences,True,6,prediction; classification; lasso; ann; k-nearest neighbor; nearest neighbor,M,0,,"Over the past two decades, studying the various factors affecting student performance became essential. Knowing these factors assist in enhancing student’s performance, teaching practices and policy decisions. This research proposes a framework named ”Semantic-based Modeling Framework for Student Outcome Prediction”(SMFSOP), to automatically map students’ activities within their learning environment to a standardized behavioral model (Community of Inquiry model (CoI)). The generated student representation is utilized to cluster students and predict an outcome based on their cluster. The framework is divided into three phases: Data gathering and pre-processing, automated mapping, clustering and prediction. The automatic mapping uses semantic similarity between student attribute names/descriptions, and CoI model indicators. Path and BERT similarities were identified as the best performers compared to human annotators. K-means, DBSCAN, and Kernel K-means are used for the clustering step, followed by LassoCV for regression-based prediction, & K-nearest neighbors for classification-based prediction. In order to prove that the proposed framework is generally applicable, three real life datasets were used as a case study. Best-performing trials enhanced outcome prediction as follows: In StudentLife Dataset, Adjusted R2 is enhanced by 3% (95% to 98%), and MSE decreased by 2.375 % (0.126 to 0.031). In social network dataset, Adjusted R2 was enhanced by 17% (65% to 82%). The MSE decreased by 4.4% (0.164 to 0.12). For the ”Open university learning Analytics dataset” (OULAD), accuracy is improved by 1.56%, F1-score enhanced by 0.014. Precision is enhanced by 3.1%."
https://openalex.org/W7123338717,https://doi.org/10.31979/etd.e72f-xwzy,AI-Powered User Activity Prediction and Contextual App Recommendation System,2025,2025-01-01,dissertation,0,4.6540623,Naveen Kumar Potta,NA,True,5,machine learning; deep learning; prediction; predictive; ann,M,3,multi-modal; wearable; smartphone,"Wearable sensors and smartphones continuously generate lots of data that are reflective of various aspects of human behavior. Yet, these behavioral signals are rarely translated into meaningful proactive digital support. This study introduces an AI-powered context prediction framework that predicts the next activity that a user will perform and suggests mobile applications matching the predicted context. This system uses both classical machine learning models and deep learning models for analyzing multi-modal behavioral histories, which are collected from heterogeneous sensors such as accelerometers, GPS, and screen usage logs. Contrary to traditional recommendation systems that respond to past usage patterns, the proposed approach predicts upcoming human behavior for triggering timely and personalized app recommendations that enhance productivity, health, and overall well-being. The project uses four datasets: StudentLife, College Life Experience, custom smartwatch dataset, and MobileRec. The first three provide rich real-world sensor data for context modeling, whereas MobileRec provides app metadata for semantic retrieval and recommendation. Integrating those datasets allows a leap from passive sensing toward proactive behavioral guidance. Experimental results demonstrate that predictive context modeling together with semantic retrieval substantially improves accuracy and contextual relevance of recommendations compared to state-of-the-art baselines. The findings emphasize the potential of anticipatory, context-aware assistants that are able to adapt in an intelligent manner to users' goals and day-to-day life."
https://openalex.org/W2921615591,https://doi.org/10.1109/icosc.2019.8665535,Classifying Depression in Imbalanced Datasets Using an Autoencoder- Based Anomaly Detection Approach,2019,2019-01-01,article,54,79.80648,"Walter Gerych, Emmanuel Agu, Elke A. Rundensteiner",NA,True,5,machine learning; classification; algorithm; svm; auc,M,1,smartphone,"Depression is the most prevalent mental health ailment in the United States, affecting 15% of the population. Untreated depression can significantly decrease quality of life, physical health, and has significant economic and societal costs. The traditional method of diagnosing depression requires the patient to respond to medical questionnaires and is subjective. Passive methods to autonomously detect depression are desirable. Prior work on smartphone sensing of depression has utilized machine learning classification of smartphone sensor data. However, as with many ailments, the percentage of afflicted users in most populations is small compared with those unaffected, leading to severe class imbalance. In this work, we explore anomaly detection methods as a method for mitigating class imbalance for depression detection. Our approach adopts a multi-stage machine learning pipeline. First, using autoen-coders, we project the mobility features of the majority class (undepressed users). Thereafter, the trained autoencoder then classifies a test set of users as either depressed (anomalous) or not depressed (inliers) using a One Class SVM algorithm. Our method, when applied to the real-world StudentLife data set shows that even with an extremely imbalanced dataset, our method is able to detect individuals with depression symptoms with an AUC-ROC of 0.92, significantly outperforming traditional machine learning classification approaches."
https://openalex.org/W4414299142,https://doi.org/10.1016/j.medntd.2025.100405,Sophisticated bio-sensing architecture for anxiety identification using enhanced machine learning techniques,2025,2025-09-17,article,1,13.941952,"Shivendra Dubey, Shivendra Dubey, Sakshi Dubey, et al.",Medicine in Novel Technology and Devices,True,5,machine learning; classification; algorithm; cnn; lstm,M,1,wearable,"In recent years, medical wearable technologies are growing more and more popular as mental awareness and psychological peace have grown in importance. With the help of this modern technology, continuous surveillance is made possible, giving healthcare workers vital physiologic information that can improve the treatment of patients. The noise's susceptibility and rigidity interference vulnerability impact on present anxiety-detection techniques, like the electrocardiogram (ECG), blood volume pulse (BVP), and movement analysis of the body are the main techniques. We present an ANXIETY-CARE, a flexible anxiety detection system that uses a hybrid methodology to get around these constraints. This smart mechanism makes use of machine learning techniques, state-of-the-art context detection techniques, and a sweat sensor device. The ANXIETY-CARE uses the XG Boost classification algorithm to process sensor model as well as data variations in the natural world. We hope to transform anxiety detection by fusing those cutting-edge methods, providing an additional flexible and reliable option for general wellbeing and better anxiety management. By utilizing Electrodermal Response (EDR) sweat sensors, we present a cutting-edge anxiety detection tool in the suggested approach that outperforms conventional Electrocardiogram (ECG) techniques without requiring implants. This study clarifies noisy contextual interpretation for diverse wearing equipment, providing essential guidelines for improving anxiety identification over multiple applications and contexts. We are incorporating machine learning techniques, specifically XG-Boost techniques for improvement of diagnosis reliability and accuracy. In this study, we also forecast anxiety employing handheld data from sensors, and also investigated the use of CNN-LSTM, CNN, and LSTM models. These models deal directly with data that occurs over time, in contrast to earlier approaches that depended on stable properties. We identified LSTM approach demonstrated potential for subsequent studies with big datasets, in this study we have used StudentLife dataset and achieving 84.3% accuracy. • Noisy contextual interpretation for diverse wearing equipment. • Essential guidelines for improving anxiety identification over multiple applications and contexts. • cutting-edge anxiety detection tool. • Anxiety detection by fusing those cutting-edge methods."
https://openalex.org/W4285268934,https://doi.org/10.1109/access.2022.3172438,Utilizing Social Clustering-Based Regression Model for Predicting Student’s GPA,2022,2022-01-01,article,13,43.57287,"Yomna M.I. Hassan, Abeer ElKorany, Khaled Wassif",IEEE Access,True,5,prediction; regression model; ridge regression; lasso; ann,M,0,,"The importance of e-learning has exceeded expectations over the past decade. Accordingly, several systems have been developed in completing intelligent assistive tools where students’ behavior can be tracked and followed with suitable recommendations to enhance students’ performance. This paper has two main objectives. First, the Community of Inquiry framework (CoI) is utilized as one of the most prominent student behavioral modeling to select features that best represent the students. According to experts’ annotation, this study filters students’ measured attributes from the StudentLife dataset to the CoI model, focusing on social presence. Second, the research looks at improving the accuracy and runtime of the Grade Point Average (GPA) prediction by introducing a hybrid model that combines combining k-means clustering phase based on student similarity with regression-based prediction. The clustering was performed on both static and Spatio-temporal (spatial time -series) students’ attributes. Results show that LassoCV outperforms other regression techniques such as Standard Linear, Lasso, and Ridge Regression with an RMSE averaged around 0.15 and an average Adjusted R2 of 0.935 overall trials. Selecting the features according to the CoI reduces the number of features by 62.8%. Time-series clustering on its own was not beneficial; however, when conducted with the selection phase, it raised the quality of the model achieved by 2-3%."
