openalex_id,doi,title,year,publication_date,type,cited_by_count,relevance_score,authors,source,dataset_mentioned,ml_match_count,matched_ml_terms,regime_selected,regime_match_count,matched_regime_terms,abstract
https://openalex.org/W2165577558,https://doi.org/10.1080/0143116031000139863,Change detection techniques,2004,2004-05-27,article,3169,539.08057,"Dengsheng Lu, Paul W. Mausel, Eduardo S. Brondízio, et al.",International Journal of Remote Sensing,True,6,classification; algorithm; neural network; neural networks; artificial neural network; ann,S,0,,"Timely and accurate change detection of Earth's surface features is extremely important for understanding relationships and interactions between human and natural phenomena in order to promote better decision making. Remote sensing data are primary sources extensively used for change detection in recent decades. Many change detection techniques have been developed. This paper summarizes and reviews these techniques. Previous literature has shown that image differencing, principal component analysis and post-classification comparison are the most common methods used for change detection. In recent years, spectral mixture analysis, artificial neural networks and integration of geographical information system and remote sensing data have become important techniques for change detection applications. Different change detection algorithms have their own merits and no single approach is optimal and applicable to all cases. In practice, different algorithms are often compared to find the best change detection results for a specific application. Research of change detection techniques is still an active topic and new techniques are needed to effectively use the increasingly diverse and complex remotely sensed data available or projected to be soon available from satellite and airborne sensors. This paper is a comprehensive exploration of all the major change detection approaches implemented as found in the literature. Abbreviations used in this paper 6S second simulation of the satellite signal in the solar spectrum ANN artificial neural networks ASTER Advanced Spaceborne Thermal Emission and Reflection Radiometer AVHRR Advanced Very High Resolution Radiometer AVIRIS Airborne Visible/Infrared Imaging Spectrometer CVA change vector analysis EM expectation–maximization algorithm ERS-1 Earth Resource Satellite-1 ETM+ Enhanced Thematic Mapper Plus, Landsat 7 satellite image GIS Geographical Information System GS Gramm–Schmidt transformation J-M distance Jeffries–Matusita distance KT Kauth–Thomas transformation or tasselled cap transformation LSMA linear spectral mixture analysis LULC land use and land cover MODIS Moderate Resolution Imaging Spectroradiometer MSAVI Modified Soil Adjusted Vegetation Index MSS Landsat Multi-Spectral Scanner image NDMI Normalized Difference Moisture Index NDVI Normalized Difference Vegetation Index NOAA National Oceanic and Atmospheric Administration PCA principal component analysis RGB red, green and blue colour composite RTB ratio of tree biomass to total aboveground biomass SAR synthetic aperture radar SAVI Soil Adjusted Vegetation Index SPOT HRV Satellite Probatoire d'Observation de la Terre (SPOT) high resolution visible image TM Thematic Mapper VI Vegetation Index"
https://openalex.org/W1998573828,https://doi.org/10.1080/01431160310001624593,Integrating AVHRR satellite data and NOAA ground observations to predict surface air temperature: a statistical approach,2004,2004-06-18,article,101,407.46494,"E. N. Florio, Subhash R. Lele, Yaudong Chang, et al.",International Journal of Remote Sensing,True,5,prediction; regression model; algorithm; linear regression; cross-validation,S,0,,"Ground station temperature data are not commonly used simultaneously with the Advanced Very High Resolution Radiometer (AVHRR) to model and predict air temperature or land surface temperature. Technology was developed to acquire near-synchronous datasets over a 1 000 000 km2 region with the goal of improving the measurement of air temperature at the surface. This study compares several statistical approaches that combine a simple AVHRR split window algorithm with ground meterological station observations in the prediction of air temperature. Three spatially dependent (kriging) models were examined, along with their non-spatial counterparts (multiple linear regressions). Cross-validation showed that the kriging models predicted temperature better (an average of 0.9°C error) than the multiple regression models (an average of 1.4°C error). The three different kriging strategies performed similarly when compared to each other. Errors from kriging models were unbiased while regression models tended to give biased predicted values. Modest improvements seen after combining the data sources suggest that, in addition to air temperature modelling, the approach may be useful in land surface temperature modelling."
https://openalex.org/W2581991052,https://doi.org/10.1109/lgrs.2016.2643000,Learning and Transferring Convolutional Neural Network Knowledge to Ocean Front Recognition,2017,2017-01-23,article,76,156.81342,"Estanislau Lima, Xin Sun, Junyu Dong, et al.",IEEE Geoscience and Remote Sensing Letters,True,5,deep learning; neural network; neural networks; convolutional neural network; cnn,S,0,,"In this letter, we investigated how to apply a deep learning method, in particular convolutional neural networks (CNNs), to an ocean front recognition task. Exploring deep CNNs knowledge to ocean front recognition is a challenging task, because the training data is very scarce. This letter overcomes this challenge using a sequence of transfer learning steps via fine-tuning. The core idea is to extract deep knowledge of the CNN model from a large data set and then transfer the knowledge to our ocean front recognition task on limited remote sensing (RS) images. We conducted experiments on two different RS image data sets, with different visual properties, i.e., colorful and gray-level data, which were both downloaded from the National Oceanic and Atmospheric Administration (NOAA). The proposed method was compared with the conventional handcraft descriptor with bag-of-visual-words, original CNN model, and last-layer fine-tuned CNN model. Our method showed a significantly higher accuracy than other methods in both datasets."
https://openalex.org/W2992450089,https://doi.org/10.3390/rs11242936,Evaluation of GPM-era Global Satellite Precipitation Products over Multiple Complex Terrain Regions,2019,2019-12-07,article,124,154.08835,"Yagmur Derin, Emmanouil N. Anagnostou, Alexis Berne, et al.",Remote Sensing,True,5,prediction; classification; algorithm; ann; blending,S,0,,"The great success of the Tropical Rainfall Measuring Mission (TRMM) and its successor Global Precipitation Measurement (GPM) has accelerated the development of global high-resolution satellite-based precipitation products (SPP). However, the quantitative accuracy of SPPs has to be evaluated before using these datasets in water resource applications. This study evaluates the following GPM-era and TRMM-era SPPs based on two years (2014–2015) of reference daily precipitation data from rain gauge networks in ten mountainous regions: Integrated Multi-SatellitE Retrievals for GPM (IMERG, version 05B and version 06B), National Oceanic and Atmospheric Administration (NOAA)/Climate Prediction Center Morphing Method (CMORPH), Global Satellite Mapping of Precipitation (GSMaP), and Multi-Source Weighted-Ensemble Precipitation (MSWEP), which represents a global precipitation data-blending product. The evaluation is performed at daily and annual temporal scales, and at 0.1 deg grid resolution. It is shown that GSMaPV07 surpass the performance of IMERGV06B Final for almost all regions in terms of systematic and random error metrics. The new orographic rainfall classification in the GSMaPV07 algorithm is able to improve the detection of orographic rainfall, the rainfall amounts, and error metrics. Moreover, IMERGV05B showed significantly better performance, capturing the lighter and heavier precipitation values compared to IMERGV06B for almost all regions due to changes conducted to the morphing, where motion vectors are derived using total column water vapor for IMERGV06B."
https://openalex.org/W2121209170,https://doi.org/10.1109/72.846739,Tropical cyclone identification and tracking system using integrated neural oscillatory elastic graph matching and hybrid RBF network track mining techniques,2000,2000-05-01,article,75,140.32668,"Raymond Lee, Jingxuan Liu",IEEE Transactions on Neural Networks,True,5,prediction model; prediction; classification; algorithm; neural network,S,0,,"In this paper, we present an automatic and integrated neural network-based tropical cyclone (TC) identification and track mining system. The proposed system consists of two main modules: 1) TC pattern identification system using neural oscillatory elastic graph matching model (NOEGM); and 2) TC track mining system using hybrid radial basis function (HRBF) network with time difference and structural learning (TDSL) algorithm.For system evaluation, 120 TC cases appeared in the period between 1985 and 1998 provided by National Oceanic and Atmospheric Administration (NOAA) are being used. In TC pattern recognition from satellite pictures, an overall 98% of correct TC pattern segmentation rate and over 97% of correct classification rate are attained. Moreover, for TC track and intensity mining test, promising result of over 86% is achieved with the application of the hybrid RBF network. Comparing with the bureau numerical TC prediction model (OTCM) used by Guam and the enhanced model (TFS) proposed by Jeng et al., the proposed hybrid RBF has attained an over 30% and 18% improvement in forecast errors."
https://openalex.org/W3190009638,https://doi.org/10.1109/lgrs.2021.3098425,Sea Surface Temperature Forecasting With Ensemble of Stacked Deep Neural Networks,2021,2021-08-05,article,52,137.7304,"Mohammad Jahanbakht, Wei Xiang, Mostafa Rahimi Azghadi",IEEE Geoscience and Remote Sensing Letters,True,5,prediction; neural network; neural networks; deep neural network; dnn,S,0,,"Oceanic temperature has a great impact on global climate and worldwide ecosystems, as its anomalies have been shown to have a direct impact on atmospheric anomalies. The major parameter for measuring the thermal energy of oceans is the sea surface temperature (SST). SST prediction plays an essential role in climatology and ocean-related studies. However, SST prediction is challenging due to the involvement of complex and nonlinear sea thermodynamic factors. To address this challenge, we design a novel ensemble of two stacked deep neural networks (DNNs) that uses air temperature, in addition to water temperature, to improve the SST prediction accuracy. To train our model and compare its accuracy with the state-of-the-art, we employ two well-known datasets from the national oceanic and atmospheric administration as well as the international Argo project. Using DNNs, our proposed method is capable of automatically extracting required features from the input time series and utilizing them internally to provide a highly accurate SST prediction that outperforms state-of-the-art models."
https://openalex.org/W2273753730,,NOAA Coastal Change Analysis Program (C-CAP) : guidance for regional implementation,1995,1995-09-20,article,185,608.28345,"Jerome E. Dobson, E Bright, Randolph L. Ferguson, et al.",NA,True,4,predictive; classification; algorithm; ann,S,1,tabular,"EXECUTIVE SUMMARY: 
The Coastal Change Analysis Programl (C-CAP) is developing
a nationally standardized database on landcover and habitat change in the coastal regions of the United States. C-CAP is part of the Estuarine Habitat Program (EHP) of NOAA's Coastal Ocean Program (COP). C-CAP inventories coastal submersed habitats, wetland habitats, and adjacent uplands and monitors changes in these habitats on a one- to five-year cycle. This type of information and frequency of detection are required to improve scientific understanding of the linkages of coastal and submersed wetland habitats with adjacent uplands and with the distribution, abundance,
and health of living marine resources. The monitoring
cycle will vary according to the rate and magnitude of
change in each geographic region. Satellite imagery
(primarily Landsat Thematic Mapper), aerial photography,
and field data are interpreted, classified, analyzed,
and integrated with other digital data in a geographic
information system (GIS). The resulting landcover
change databases are disseminated in digital form
for use by anyone wishing to conduct geographic analysis
in the completed regions. C-CAP spatial information on coastal change will be input to EHP conceptual and predictive models to support coastal resource policy planning and analysis. CCAP products will include 1) spatially registered digital databases and images, 2) tabular summaries by state, county, and hydrologic unit, and 3) documentation. Aggregations to larger areas (representing habitats, wildlife refuges, or management districts) will be provided on a case-by-case basis. Ongoing C-CAP research will continue to explore techniques for remote determination of biomass, productivity, and functional status of wetlands and will evaluate new technologies (e.g. remote sensor systems, global positioning systems, image processing algorithms) as they become available. Selected hardcopy land-cover change maps will be produced at local (1:24,000) to regional scales (1:500,000) for distribution. Digital land-cover change data will be provided to users for the cost of reproduction.
Much of the guidance contained in this document was developed through a series of professional workshops
and interagency meetings that focused on a) coastal wetlands and uplands; b) coastal submersed habitat including aquatic beds; c) user needs; d) regional
issues; e) classification schemes; f) change detection
techniques; and g) data quality. Invited participants
included technical and regional experts and representatives
of key State and Federal organizations. Coastal habitat managers and researchers were given an opportunity for review and comment. This document summarizes C-CAP protocols and procedures that are to be used by scientists throughout the United States to develop consistent and reliable coastal change information for input to the C-CAP nationwide database. It also provides useful guidelines for contributors working on related projects. It is considered a working document subject to periodic review and revision.(PDF file contains 104 pages.)"
https://openalex.org/W2066738983,https://doi.org/10.1080/01431160601086043,Fourier analysis of historical NOAA time series data to estimate bimodal agriculture,2007,2007-11-20,article,51,386.02676,"Francis Canisius, Hugh Turral, David Molden",International Journal of Remote Sensing,True,4,classification; algorithm; decision tree; ann,S,0,,"In the present study, NDVI time-series 10-day composites derived from NOAA AVHRR data were used to estimate bimodal agriculture areas (where there are two seasons of cultivation per annum) using Fourier approach. The NDVI sequence was transformed into harmonic signals and the amplitude and phase of first and second harmonics were used for the analysis. A classification was applied, using a decision tree, to discriminate bimodal agriculture area from other land cover types, principally over the Asian sub-region. When the amplitude of second harmonics in a sample region, where bimodal agriculture is predominant, was compared with the irrigated area statistics developed by FAOUF, a linear relationship was determined. The derived function was applied to transform the amplitude of second harmonics to bimodal agriculture area estimates. Thus large-scale irrigation projects appear on the map and provide an encouraging initial result. This result indicates that estimating bimodal agriculture area that is one of the main sources of information for irrigated area mapping at regional or global scale, with improved accuracy possible if greater spatial, temporal resolution is achieved, for instance from MODIS or SPOT vegetation time series NDVI data, combined with (1) an improved decision tree classification algorithm and (2) a greater precision and geographical distribution of ground-truth data. The principle merits of this approach are automation and repeatability."
https://openalex.org/W3000541400,https://doi.org/10.1109/access.2020.2965231,A Convolutional Neural Network for Coastal Classification Based on ALOS and NOAA Satellite Data,2020,2020-01-01,article,47,383.27942,"Kinh Bac Dang, Van Bao Dang, Quang‐Thanh Bui, et al.",IEEE Access,True,4,deep learning; classification; neural network; convolutional neural network,S,0,,"Although coastal classification has been attended in recent years, it is still a complicated problem in quantitative geomorphological and hydrological sciences. Nowadays, the integration of deep learning in remote sensing and GIS analysis can quickly classify and detect different characteristics on both land and sea. Therefore, the authors proposed the use of a convolutional neural network (ConvNet) for coastal classification based on these technologies and geomorphic profile graphs. The primary input data is digital elevation/depth models obtained from ALOS and NOAA satellite. Eight hundred coastal samples representing eight types of coasts taken along the coastline in Vietnam were used for training and testing various ConvNets. As a result, three ConvNet models using three different optimizer functions were developed with the accuracies of about 98% and low values of the loss function. These models were used to classify 1029 in 1150 coasts (equal to 89%) in Vietnam. Nearly 11% of Vietnamese coasts could not be defined by three ConvNet models due to their complex geomorphic profile graphs, and require assessments of other natural components. The trained ConvNet models can potentially update new coastal types in different tropical countries towards coastal classification on national and global scales."
https://openalex.org/W3215124533,https://doi.org/10.1109/tgrs.2021.3087426,The NOAA Track-Wise Wind Retrieval Algorithm and Product Assessment for CyGNSS,2021,2021-07-13,article,54,376.44644,"Faozi Saïd, Zorana Jelenak, Jeonghwan Park, et al.",IEEE Transactions on Geoscience and Remote Sensing,True,4,prediction model; prediction; algorithm; ann,S,0,,"A novel approach in addressing cyclone global navigation satellite system (CyGNSS) intersatellite and GPS-related calibration issues is proposed, based on a track-wise <inline-formula xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink""> <tex-math notation=""LaTeX"">$\sigma ^{o}$ </tex-math></inline-formula> bias correction method. This method makes use of both ancillary data from numerical weather prediction models and a semiempirical geophysical model function. Care is taken, so the track-wise <inline-formula xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink""> <tex-math notation=""LaTeX"">$\sigma ^{o}$ </tex-math></inline-formula> bias correction maintains CyGNSS signal sensitivity. Both intersatellite and GPS-related calibration issues are removed after correction. Long-term <inline-formula xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink""> <tex-math notation=""LaTeX"">$\sigma ^{o}$ </tex-math></inline-formula> downward trend, observed throughout the CyGNSS mission, is greatly reduced. Using the corrected <inline-formula xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink""> <tex-math notation=""LaTeX"">$\sigma ^{o}$ </tex-math></inline-formula> measurements, a wind retrieval method is also presented and its product thoroughly assessed for a three-year period against European Centre for Medium-Range Weather Forecasts (ECMWFs), Advanced Scatterometer (ASCAT) A/B, Advanced Microwave Scanning Radiometer (AMSR)-2, GMI, WindSat, hurricane weather research and forecasting (HWRF) model, and the stepped frequency microwave radiometer (SFMR) winds. The overall wind speed bias and standard deviation of the error (stde) against ECMWF are 0.16 and 1.19 m/s, while these are −0.11 and 1.12 m/s against ASCAT A/B, respectively. The same metrics against AMSR-2/GMI/WindSat (combined) are −0.19 and 1.11 m/s, respectively. The bias and stde against soil moisture active passive (SMAP) are −0.38 and 1.90 m/s, respectively. In the tropical cyclone environment, the bias and stde against HWRF are −0.54 and 2.90 m/s, and −4.71 and 5.88 m/s with SFMR. Finally, CyGNSS wind performance is gauged in the presence of rain. Below 10 m/s, the bias between CyGNSS and ECMWF increases as the rain rate increases. Between 10 and 15 m/s, biases are mostly absent. Above 15 m/s, results are inconclusive due to the low number of collocated rain samples. Overall, the presented CyGNSS wind speed product both exhibits consistency and reliability, showing promise of using GNSS-R derived winds for operational purposes."
