,adni,camelyon,gtex,tcga,UKB Biobank,Total
Autoencoder,9.795918367346939,4.477611940298507,5.434782608695652,3.608247422680412,6.951871657754011,6.231454005934718
CNN,34.285714285714285,44.776119402985074,5.978260869565218,8.762886597938143,28.87700534759358,25.32146389713155
DNN,43.673469387755105,55.223880597014926,18.478260869565215,18.556701030927837,54.01069518716578,38.47675568743818
GRU,2.0408163265306123,0.9950248756218906,2.1739130434782608,0.0,0.53475935828877,1.1869436201780417
Graph neural network,2.0408163265306123,5.970149253731343,1.6304347826086956,2.5773195876288657,4.27807486631016,3.2640949554896146
LSTM,4.8979591836734695,2.4875621890547266,0.5434782608695652,0.0,2.6737967914438503,2.274975272007913
MLP,4.489795918367347,5.970149253731343,1.6304347826086956,2.0618556701030926,4.81283422459893,3.857566765578635
RNN,5.714285714285714,3.482587064676617,0.5434782608695652,1.0309278350515463,2.13903743315508,2.7695351137487636
TCN,0.40816326530612246,0.0,0.0,0.0,1.06951871657754,0.2967359050445104
Transformer,22.857142857142858,45.27363184079602,43.47826086956522,26.288659793814436,23.52941176470588,31.849653808110784
AdaBoost,3.2653061224489797,1.4925373134328357,0.0,0.5154639175257731,1.6042780748663104,1.483679525222552
CatBoost,0.40816326530612246,0.0,0.0,1.0309278350515463,0.53475935828877,0.3956478733926805
Extra Trees,0.8163265306122449,0.0,0.0,1.0309278350515463,0.0,0.3956478733926805
Gradient Boosting,5.3061224489795915,1.4925373134328357,0.5434782608695652,4.639175257731959,5.347593582887701,3.5608308605341246
LightGBM,0.40816326530612246,0.4975124378109453,0.0,0.0,1.6042780748663104,0.4945598417408506
Random Forest,22.040816326530614,5.472636815920398,14.130434782608695,12.371134020618557,11.76470588235294,13.550939663699307
XGBoost,4.081632653061225,1.4925373134328357,0.5434782608695652,4.639175257731959,5.88235294117647,3.3630069238377844
Elastic Net,3.6734693877551026,0.0,9.239130434782608,2.0618556701030926,5.347593582887701,3.956478733926805
LASSO,8.571428571428571,0.0,25.0,18.04123711340206,9.090909090909092,11.770524233432244
Linear Regression,15.10204081632653,0.0,24.456521739130434,7.216494845360824,30.481283422459892,15.133531157270031
Logistic Regression,16.3265306122449,3.9800995024875623,19.021739130434785,14.948453608247423,22.459893048128343,15.2324431256182
Ridge Regression,2.0408163265306123,0.0,5.434782608695652,1.0309278350515463,5.88235294117647,2.7695351137487636
Support Vector Machine,37.95918367346939,4.477611940298507,9.782608695652174,10.824742268041238,10.16042780748663,15.82591493570722
k-Nearest Neighbors,5.3061224489795915,1.9900497512437811,3.804347826086957,3.608247422680412,1.6042780748663104,3.3630069238377844
Cox Proportional Hazards,6.938775510204081,0.9950248756218906,33.69565217391305,52.57731958762887,13.903743315508022,20.672601384767557
Joint Model,0.8163265306122449,0.4975124378109453,1.6304347826086956,0.5154639175257731,0.53475935828877,0.791295746785361
Kaplan–Meier,2.0408163265306123,0.4975124378109453,32.608695652173914,58.76288659793815,2.6737967914438503,18.298714144411473
Random Survival Forest,0.40816326530612246,0.0,1.0869565217391304,2.0618556701030926,0.0,0.6923837784371909
ARIMA,0.40816326530612246,0.0,0.5434782608695652,0.0,0.0,0.19782393669634024
Bayesian Regression,2.0408163265306123,0.0,7.608695652173914,1.5463917525773196,4.27807486631016,2.967359050445104
Generalized Estimating Equations,2.0408163265306123,0.0,0.0,0.0,1.6042780748663104,0.791295746785361
Hidden Markov Model,0.8163265306122449,0.0,2.717391304347826,0.0,0.53475935828877,0.791295746785361
Markov Model,0.8163265306122449,0.0,2.1739130434782608,0.0,0.53475935828877,0.6923837784371909
Mixed-Effects Model,6.530612244897959,0.0,9.782608695652174,0.5154639175257731,7.4866310160427805,4.8466864490603365
Naive Bayes,1.6326530612244898,0.0,0.5434782608695652,0.5154639175257731,0.53475935828877,0.6923837784371909
Ensemble,22.448979591836736,7.960199004975125,8.152173913043478,10.824742268041238,16.577540106951872,13.649851632047477
Decision Tree,10.612244897959183,2.4875621890547266,2.1739130434782608,10.309278350515463,4.27807486631016,6.231454005934718
Federated Learning,0.40816326530612246,2.9850746268656714,0.0,0.5154639175257731,0.0,0.791295746785361
Reinforcement Learning,0.40816326530612246,1.9900497512437811,0.0,0.5154639175257731,1.6042780748663104,0.8902077151335311
Papers (N),245.0,201.0,184.0,194.0,187.0,1011.0
