,adni,camelyon,gtex,tcga,ukb_imaging,Total
ARIMA,0.4,0.0,0.5,0.0,0.0,0.2
AdaBoost,3.3,1.5,0.0,0.5,1.6,1.5
Autoencoder,9.8,4.5,5.4,3.6,7.0,6.2
Bayesian Regression,2.0,0.0,7.6,1.5,4.3,3.0
CNN,34.3,44.8,6.0,8.8,28.9,25.3
CatBoost,0.4,0.0,0.0,1.0,0.5,0.4
Cox Proportional Hazards,6.9,1.0,33.7,52.6,13.9,20.7
DNN,43.7,55.2,18.5,18.6,54.0,38.5
Decision Tree,10.6,2.5,2.2,10.3,4.3,6.2
Elastic Net,3.7,0.0,9.2,2.1,5.3,4.0
Ensemble,22.4,8.0,8.2,10.8,16.6,13.6
Extra Trees,0.8,0.0,0.0,1.0,0.0,0.4
Federated Learning,0.4,3.0,0.0,0.5,0.0,0.8
GRU,2.0,1.0,2.2,0.0,0.5,1.2
Generalized Estimating Equations,2.0,0.0,0.0,0.0,1.6,0.8
Gradient Boosting,5.3,1.5,0.5,4.6,5.3,3.6
Graph neural network,2.0,6.0,1.6,2.6,4.3,3.3
Hidden Markov Model,0.8,0.0,2.7,0.0,0.5,0.8
Joint Model,0.8,0.5,1.6,0.5,0.5,0.8
Kaplan–Meier,2.0,0.5,32.6,58.8,2.7,18.3
LASSO,8.6,0.0,25.0,18.0,9.1,11.8
LSTM,4.9,2.5,0.5,0.0,2.7,2.3
LightGBM,0.4,0.5,0.0,0.0,1.6,0.5
Linear Regression,15.1,0.0,24.5,7.2,30.5,15.1
Logistic Regression,16.3,4.0,19.0,14.9,22.5,15.2
MLP,4.5,6.0,1.6,2.1,4.8,3.9
Markov Model,0.8,0.0,2.2,0.0,0.5,0.7
Mixed-Effects Model,6.5,0.0,9.8,0.5,7.5,4.8
Naive Bayes,1.6,0.0,0.5,0.5,0.5,0.7
RNN,5.7,3.5,0.5,1.0,2.1,2.8
Random Forest,22.0,5.5,14.1,12.4,11.8,13.6
Random Survival Forest,0.4,0.0,1.1,2.1,0.0,0.7
Reinforcement Learning,0.4,2.0,0.0,0.5,1.6,0.9
Ridge Regression,2.0,0.0,5.4,1.0,5.9,2.8
Support Vector Machine,38.0,4.5,9.8,10.8,10.2,15.8
TCN,0.4,0.0,0.0,0.0,1.1,0.3
Transformer,22.9,45.3,43.5,26.3,23.5,31.8
XGBoost,4.1,1.5,0.5,4.6,5.9,3.4
k-Nearest Neighbors,5.3,2.0,3.8,3.6,1.6,3.4
Papers (N),245.0,201.0,184.0,194.0,187.0,1011.0
