,adni,camelyon,gtex,tcga,ukb_imaging,Total
AdaBoost,1.3,0.0,0.0,0.0,0.0,0.4
Autoencoder,2.0,3.1,1.9,1.0,3.9,2.3
Bayesian Regression,0.0,0.0,0.9,0.0,0.0,0.2
CNN,21.5,31.6,0.9,4.0,12.6,14.5
Cox Proportional Hazards,1.3,1.0,10.2,14.0,8.7,6.6
DNN,0.7,1.0,0.0,1.0,1.0,0.7
Decision Tree,2.0,2.0,0.9,7.0,0.0,2.3
Elastic Net,0.0,0.0,6.5,0.0,1.9,1.6
Ensemble,8.7,3.1,2.8,3.0,5.8,5.0
Federated Learning,0.0,2.0,0.0,1.0,0.0,0.5
GRU,0.0,0.0,1.9,0.0,0.0,0.4
Gradient Boosting,0.0,0.0,0.0,1.0,1.0,0.4
Graph neural network,0.0,2.0,0.9,0.0,0.0,0.5
Hidden Markov Model,0.0,0.0,0.9,0.0,0.0,0.2
Joint Model,0.7,1.0,0.0,0.0,0.0,0.4
Kaplan–Meier,0.7,0.0,9.3,15.0,1.9,5.0
LASSO,2.7,0.0,19.4,22.0,2.9,9.0
LSTM,0.7,1.0,0.9,0.0,0.0,0.5
Linear Regression,12.8,0.0,25.0,7.0,29.1,14.9
Logistic Regression,11.4,0.0,10.2,10.0,14.6,9.5
MLP,0.7,0.0,0.9,0.0,1.0,0.5
Mixed-Effects Model,0.7,0.0,0.0,0.0,1.0,0.4
Naive Bayes,0.7,0.0,0.9,0.0,0.0,0.4
RNN,0.7,1.0,0.0,0.0,0.0,0.4
Random Forest,8.7,2.0,3.7,6.0,4.9,5.4
Reinforcement Learning,0.0,3.1,0.0,0.0,0.0,0.5
Ridge Regression,0.7,0.0,0.0,0.0,1.9,0.5
Support Vector Machine,18.8,0.0,0.9,5.0,1.9,6.5
Transformer,2.7,44.9,0.9,2.0,4.9,10.0
XGBoost,0.0,0.0,0.0,1.0,1.0,0.4
k-Nearest Neighbors,0.0,1.0,0.0,0.0,0.0,0.2
Papers (N),149.0,98.0,108.0,100.0,103.0,558.0
