,adni,gtex,mpower,NHANES,radar_cns,studentlife,tcga,UKB Biobank,Total
Autoencoder,17.525773195876287,7.6923076923076925,9.278350515463918,0.0,12.162162162162163,11.711711711711711,11.538461538461538,12.0,12.164579606440071
CNN,36.08247422680412,7.6923076923076925,38.144329896907216,0.0,21.62162162162162,21.62162162162162,19.230769230769234,33.0,28.085867620751344
DNN,59.79381443298969,26.923076923076923,56.70103092783505,50.0,45.94594594594595,39.63963963963964,40.38461538461539,67.0,51.341681574239715
GRU,4.123711340206185,0.0,3.0927835051546393,0.0,0.0,3.6036036036036037,0.0,1.0,2.146690518783542
Graph neural network,3.0927835051546393,7.6923076923076925,4.123711340206185,0.0,1.3513513513513513,7.207207207207207,3.8461538461538463,8.0,5.008944543828265
LSTM,11.34020618556701,0.0,10.309278350515463,0.0,9.45945945945946,25.225225225225223,0.0,6.0,11.091234347048301
MLP,7.216494845360824,0.0,14.432989690721648,0.0,6.756756756756757,11.711711711711711,5.769230769230769,7.000000000000001,8.765652951699463
RNN,13.402061855670103,0.0,16.49484536082474,0.0,9.45945945945946,13.513513513513514,0.0,3.0,9.66010733452594
TCN,0.0,0.0,2.0618556701030926,0.0,1.3513513513513513,1.8018018018018018,0.0,1.0,1.073345259391771
Transformer,40.20618556701031,50.0,39.175257731958766,50.0,44.5945945945946,34.234234234234236,28.846153846153843,32.0,37.38819320214669
AdaBoost,4.123711340206185,0.0,3.0927835051546393,0.0,2.7027027027027026,5.405405405405405,1.9230769230769231,2.0,3.2200357781753133
CatBoost,1.0309278350515463,0.0,2.0618556701030926,0.0,0.0,2.7027027027027026,1.9230769230769231,1.0,1.4311270125223614
Extra Trees,1.0309278350515463,0.0,1.0309278350515463,0.0,0.0,1.8018018018018018,3.8461538461538463,1.0,1.2522361359570662
Gradient Boosting,9.278350515463918,0.0,6.185567010309279,0.0,5.405405405405405,10.81081081081081,7.6923076923076925,8.0,7.6923076923076925
LightGBM,1.0309278350515463,0.0,2.0618556701030926,0.0,1.3513513513513513,0.9009009009009009,0.0,2.0,1.2522361359570662
Random Forest,45.36082474226804,19.230769230769234,46.391752577319586,0.0,35.13513513513514,36.93693693693694,17.307692307692307,23.0,34.52593917710197
XGBoost,6.185567010309279,0.0,6.185567010309279,0.0,5.405405405405405,11.711711711711711,9.615384615384617,9.0,7.6923076923076925
Elastic Net,7.216494845360824,3.8461538461538463,6.185567010309279,0.0,2.7027027027027026,4.504504504504505,5.769230769230769,4.0,5.008944543828265
LASSO,17.525773195876287,26.923076923076923,7.216494845360824,0.0,5.405405405405405,8.108108108108109,26.923076923076923,10.0,12.164579606440071
Linear Regression,20.618556701030926,26.923076923076923,12.371134020618557,0.0,12.162162162162163,14.414414414414415,9.615384615384617,34.0,18.425760286225405
Logistic Regression,20.618556701030926,23.076923076923077,29.896907216494846,50.0,17.56756756756757,20.72072072072072,21.153846153846153,33.0,24.329159212880143
Ridge Regression,4.123711340206185,3.8461538461538463,2.0618556701030926,0.0,1.3513513513513513,3.6036036036036037,3.8461538461538463,5.0,3.3989266547406083
Support Vector Machine,59.79381443298969,19.230769230769234,36.08247422680412,0.0,22.972972972972975,33.33333333333333,19.230769230769234,12.0,31.12701252236136
k-Nearest Neighbors,7.216494845360824,3.8461538461538463,12.371134020618557,0.0,2.7027027027027026,17.117117117117118,9.615384615384617,4.0,8.94454382826476
Cox Proportional Hazards,10.309278350515463,23.076923076923077,3.0927835051546393,50.0,4.054054054054054,0.0,42.30769230769231,10.0,9.838998211091235
Joint Model,1.0309278350515463,3.8461538461538463,1.0309278350515463,0.0,2.7027027027027026,6.306306306306306,1.9230769230769231,2.0,2.6833631484794274
Kaplan–Meier,3.0927835051546393,34.61538461538461,2.0618556701030926,0.0,5.405405405405405,0.0,46.15384615384615,3.0,8.050089445438283
Random Survival Forest,1.0309278350515463,0.0,0.0,0.0,1.3513513513513513,0.0,3.8461538461538463,0.0,0.7155635062611807
ARIMA,0.0,0.0,1.0309278350515463,0.0,0.0,0.9009009009009009,0.0,0.0,0.35778175313059035
Bayesian Regression,3.0927835051546393,11.538461538461538,0.0,0.0,1.3513513513513513,2.7027027027027026,3.8461538461538463,8.0,3.5778175313059033
Generalized Estimating Equations,4.123711340206185,0.0,0.0,0.0,5.405405405405405,2.7027027027027026,0.0,2.0,2.3255813953488373
Hidden Markov Model,2.0618556701030926,0.0,4.123711340206185,0.0,6.756756756756757,1.8018018018018018,0.0,4.0,3.041144901610018
Kalman Filter,0.0,0.0,4.123711340206185,0.0,8.108108108108109,0.0,0.0,0.0,1.7889087656529516
Markov Model,2.0618556701030926,0.0,5.154639175257731,0.0,6.756756756756757,3.6036036036036037,0.0,4.0,3.5778175313059033
Mixed-Effects Model,8.24742268041237,3.8461538461538463,8.24742268041237,0.0,6.756756756756757,5.405405405405405,1.9230769230769231,5.0,6.082289803220036
Naive Bayes,2.0618556701030926,0.0,6.185567010309279,0.0,2.7027027027027026,5.405405405405405,0.0,1.0,3.041144901610018
Ensemble,46.391752577319586,19.230769230769234,35.051546391752574,0.0,25.675675675675674,16.216216216216218,23.076923076923077,21.0,27.549194991055455
Decision Tree,19.587628865979383,0.0,21.649484536082475,50.0,9.45945945945946,23.423423423423422,15.384615384615385,8.0,16.100178890876567
