,adni,gtex,midus,mpower,nhanes,radar_cns,studentlife,tcga,ukb_imaging,Total
ARIMA,0.0,0.0,0.0,1.0,0.0,0.0,0.9,0.0,0.0,0.4
AdaBoost,4.1,0.0,0.0,3.1,0.0,2.7,5.4,1.9,2.0,3.2
Autoencoder,17.5,7.7,0.0,9.3,0.0,12.2,11.7,11.5,12.0,12.1
Bayesian Regression,3.1,11.5,0.0,0.0,0.0,1.4,2.7,3.8,8.0,3.6
CNN,36.1,7.7,0.0,38.1,0.0,21.6,21.6,19.2,33.0,28.0
CatBoost,1.0,0.0,0.0,2.1,0.0,0.0,2.7,1.9,1.0,1.4
Cox Proportional Hazards,10.3,23.1,0.0,3.1,50.0,4.1,0.0,42.3,10.0,9.8
DNN,59.8,26.9,0.0,56.7,50.0,45.9,39.6,40.4,67.0,51.2
Decision Tree,19.6,0.0,0.0,21.6,50.0,9.5,23.4,15.4,8.0,16.0
Elastic Net,7.2,3.8,0.0,6.2,0.0,2.7,4.5,5.8,4.0,5.0
Ensemble,46.4,19.2,0.0,35.1,0.0,25.7,16.2,23.1,21.0,27.5
Extra Trees,1.0,0.0,0.0,1.0,0.0,0.0,1.8,3.8,1.0,1.2
Federated Learning,0.0,0.0,0.0,3.1,0.0,2.7,7.2,0.0,3.0,2.9
GRU,4.1,0.0,0.0,3.1,0.0,0.0,3.6,0.0,1.0,2.1
Generalized Estimating Equations,4.1,0.0,0.0,0.0,0.0,5.4,2.7,0.0,2.0,2.3
Gradient Boosting,9.3,0.0,0.0,6.2,0.0,5.4,10.8,7.7,8.0,7.7
Graph neural network,3.1,7.7,0.0,4.1,0.0,1.4,7.2,3.8,8.0,5.0
Hidden Markov Model,2.1,0.0,0.0,4.1,0.0,6.8,1.8,0.0,4.0,3.0
Joint Model,1.0,3.8,0.0,1.0,0.0,2.7,6.3,1.9,2.0,2.7
Kalman Filter,0.0,0.0,0.0,4.1,0.0,8.1,0.0,0.0,0.0,1.8
Kaplan–Meier,3.1,34.6,0.0,2.1,0.0,5.4,0.0,46.2,3.0,8.0
LASSO,17.5,26.9,0.0,7.2,0.0,5.4,8.1,26.9,10.0,12.1
LSTM,11.3,0.0,0.0,10.3,0.0,9.5,25.2,0.0,6.0,11.1
LightGBM,1.0,0.0,0.0,2.1,0.0,1.4,0.9,0.0,2.0,1.2
Linear Regression,20.6,26.9,0.0,12.4,0.0,12.2,14.4,9.6,34.0,18.4
Logistic Regression,20.6,23.1,0.0,29.9,50.0,17.6,20.7,21.2,33.0,24.2
MLP,7.2,0.0,0.0,14.4,0.0,6.8,11.7,5.8,7.0,8.7
Markov Model,2.1,0.0,0.0,5.2,0.0,6.8,3.6,0.0,4.0,3.6
Mixed-Effects Model,8.2,3.8,0.0,8.2,0.0,6.8,5.4,1.9,5.0,6.1
Naive Bayes,2.1,0.0,0.0,6.2,0.0,2.7,5.4,0.0,1.0,3.0
RNN,13.4,0.0,0.0,16.5,0.0,9.5,13.5,0.0,3.0,9.6
Random Forest,45.4,19.2,0.0,46.4,0.0,35.1,36.9,17.3,23.0,34.4
Random Survival Forest,1.0,0.0,0.0,0.0,0.0,1.4,0.0,3.8,0.0,0.7
Reinforcement Learning,1.0,0.0,0.0,5.2,0.0,2.7,4.5,0.0,2.0,2.7
Ridge Regression,4.1,3.8,0.0,2.1,0.0,1.4,3.6,3.8,5.0,3.4
Support Vector Machine,59.8,19.2,0.0,36.1,0.0,23.0,33.3,19.2,12.0,31.0
TCN,0.0,0.0,0.0,2.1,0.0,1.4,1.8,0.0,1.0,1.1
Transformer,40.2,50.0,100.0,39.2,50.0,44.6,34.2,28.8,32.0,37.6
XGBoost,6.2,0.0,0.0,6.2,0.0,5.4,11.7,9.6,9.0,7.7
k-Nearest Neighbors,7.2,3.8,0.0,12.4,0.0,2.7,17.1,9.6,4.0,8.9
Papers (N),97.0,26.0,2.0,97.0,2.0,74.0,111.0,52.0,100.0,561.0
