,Count
DNN,67
Linear Regression,34
CNN,33
Logistic Regression,33
Transformer,32
Random Forest,23
Ensemble,21
Autoencoder,12
Support Vector Machine,12
Cox Proportional Hazards,10
LASSO,10
XGBoost,9
Bayesian Regression,8
Decision Tree,8
Gradient Boosting,8
Graph neural network,8
MLP,7
LSTM,6
Mixed-Effects Model,5
Ridge Regression,5
Elastic Net,4
Hidden Markov Model,4
k-Nearest Neighbors,4
Markov Model,4
Federated Learning,3
Kaplan–Meier,3
RNN,3
AdaBoost,2
Generalized Estimating Equations,2
Joint Model,2
LightGBM,2
Reinforcement Learning,2
CatBoost,1
Extra Trees,1
GRU,1
Naive Bayes,1
TCN,1
Papers (N),100
