,eicu,elsa,hrs,midus,mimic,nhanes,noaa,openaq,ukb_imaging,Total
ARIMA,0.4,0.0,0.0,0.0,0.3,0.0,0.0,2.9,0.0,0.2
AdaBoost,4.6,1.1,0.0,0.0,7.2,0.0,0.0,2.9,1.1,2.8
Autoencoder,1.9,1.7,0.0,0.0,2.4,0.0,0.0,8.6,6.2,2.9
Bayesian Regression,0.8,0.6,0.0,0.0,1.0,2.1,0.0,2.9,4.9,1.9
CNN,5.7,2.3,0.0,0.0,13.8,0.0,10.3,22.9,24.5,11.4
CatBoost,5.3,1.7,0.0,0.0,3.8,1.1,0.0,0.0,0.5,2.2
Cox Proportional Hazards,22.8,21.7,22.5,15.5,14.1,18.9,0.0,0.0,15.4,17.2
DNN,22.8,5.7,0.0,1.2,33.1,3.2,13.8,54.3,48.8,26.5
Decision Tree,14.1,5.7,0.0,0.0,22.4,2.1,3.4,14.3,3.8,9.5
Elastic Net,1.5,1.7,1.4,1.2,1.4,1.1,0.0,0.0,3.2,1.8
Ensemble,16.3,6.3,1.4,0.0,18.3,2.1,27.6,37.1,10.8,12.1
Extra Trees,0.8,0.0,0.0,0.0,0.3,0.0,0.0,5.7,0.3,0.4
Federated Learning,5.3,0.6,0.0,0.0,1.7,0.0,0.0,2.9,1.3,1.8
GRU,2.7,1.1,0.0,0.0,4.1,0.0,0.0,8.6,0.5,1.8
Generalized Estimating Equations,0.0,1.7,4.2,2.4,0.0,1.1,0.0,2.9,1.1,1.0
Gradient Boosting,25.5,1.7,0.0,0.0,30.0,1.1,0.0,22.9,3.8,12.7
Graph neural network,3.0,0.0,0.0,0.0,1.7,0.0,0.0,11.4,4.3,2.3
Hidden Markov Model,0.4,0.6,2.8,0.0,0.3,0.0,0.0,0.0,1.6,0.8
Joint Model,0.4,1.7,1.4,0.0,0.3,0.0,0.0,0.0,0.8,0.6
Kalman Filter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,0.0,0.2
Kaplan–Meier,18.6,5.7,4.2,1.2,12.4,3.2,0.0,0.0,3.0,8.0
LASSO,14.4,1.1,4.2,2.4,15.5,2.1,0.0,2.9,5.7,8.1
LSTM,9.1,1.1,0.0,0.0,14.8,0.0,0.0,31.4,1.9,6.2
LightGBM,8.4,1.7,0.0,0.0,6.9,0.0,0.0,11.4,1.1,3.8
Linear Regression,9.1,17.1,18.3,36.9,6.6,25.3,31.0,37.1,25.6,18.3
Logistic Regression,49.8,61.1,46.5,35.7,53.8,61.1,6.9,2.9,24.5,43.1
MLP,6.1,2.3,0.0,1.2,7.9,1.1,0.0,5.7,3.2,4.2
Markov Model,0.8,1.1,2.8,0.0,0.3,0.0,0.0,0.0,1.6,0.9
Mixed-Effects Model,1.9,5.7,4.2,3.6,0.3,0.0,0.0,5.7,8.9,4.0
Naive Bayes,5.7,0.0,0.0,0.0,6.2,0.0,0.0,2.9,0.5,2.5
RNN,6.8,1.7,0.0,0.0,16.9,0.0,0.0,5.7,2.2,5.7
Random Forest,28.1,10.9,7.0,3.6,43.1,7.4,3.4,42.9,12.4,20.9
Random Survival Forest,2.7,0.6,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.8
Reinforcement Learning,3.0,0.6,0.0,0.0,3.1,0.0,0.0,0.0,1.1,1.6
Ridge Regression,0.8,0.6,0.0,0.0,1.4,1.1,0.0,2.9,3.0,1.4
Support Vector Machine,14.4,4.0,5.6,0.0,26.2,2.1,0.0,5.7,7.0,11.0
TCN,0.8,0.0,0.0,0.0,2.4,0.0,0.0,2.9,0.5,0.8
Transformer,14.8,16.0,14.1,19.0,19.0,13.7,27.6,20.0,24.8,19.0
XGBoost,32.7,1.7,1.4,2.4,31.4,1.1,0.0,25.7,4.3,14.8
k-Nearest Neighbors,8.0,1.7,2.8,0.0,16.9,0.0,0.0,8.6,2.2,6.1
Papers (N),263.0,175.0,71.0,84.0,290.0,95.0,29.0,35.0,371.0,1413.0
