,eicu,elsa,hrs,midus,mimic,nhanes,noaa,openaq,ukb_imaging,Total
AdaBoost,1.2,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.5
Autoencoder,0.6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.1,1.1
Bayesian Regression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2
CNN,0.6,0.7,0.0,0.0,3.8,0.0,5.3,0.0,14.3,4.2
CatBoost,0.6,0.0,0.0,0.0,3.2,1.3,0.0,0.0,0.5,0.9
Cox Proportional Hazards,14.0,6.7,16.0,9.7,6.4,8.9,0.0,0.0,8.2,9.0
DNN,0.6,0.0,0.0,1.6,0.6,0.0,0.0,5.0,1.0,0.7
Decision Tree,0.6,0.0,0.0,0.0,2.5,1.3,5.3,0.0,0.5,0.9
Elastic Net,0.0,0.7,2.0,0.0,0.0,0.0,0.0,0.0,1.5,0.6
Ensemble,6.1,2.2,0.0,0.0,5.1,0.0,31.6,15.0,3.1,4.1
Federated Learning,3.0,0.7,0.0,0.0,0.6,0.0,0.0,0.0,1.0,1.0
GRU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1
Generalized Estimating Equations,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Gradient Boosting,0.6,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.5,1.0
Graph neural network,2.4,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.6
Hidden Markov Model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1
Joint Model,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Kaplan–Meier,0.6,0.0,2.0,0.0,2.5,0.0,0.0,0.0,1.0,0.9
LASSO,6.1,0.0,2.0,0.0,3.8,1.3,0.0,0.0,2.0,2.5
LSTM,0.6,0.7,0.0,0.0,6.4,0.0,0.0,5.0,0.0,1.5
LightGBM,0.6,0.0,0.0,0.0,1.9,0.0,0.0,5.0,0.0,0.6
Linear Regression,0.6,13.3,22.0,45.2,1.3,24.1,42.1,20.0,24.0,15.6
Logistic Regression,28.0,67.4,52.0,40.3,18.5,60.8,10.5,0.0,19.9,34.7
MLP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1
Markov Model,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Mixed-Effects Model,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2
RNN,0.0,0.7,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.8
Random Forest,7.3,2.2,0.0,0.0,9.6,2.5,5.3,25.0,6.1,5.7
Random Survival Forest,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Reinforcement Learning,1.2,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.3
Ridge Regression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2
Support Vector Machine,0.0,0.7,0.0,0.0,3.2,0.0,0.0,0.0,1.5,1.0
Transformer,3.0,2.2,0.0,0.0,3.8,0.0,0.0,10.0,4.6,2.8
XGBoost,18.9,0.0,0.0,3.2,15.9,0.0,0.0,10.0,1.5,7.1
k-Nearest Neighbors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1
Papers (N),164.0,135.0,50.0,62.0,157.0,79.0,19.0,20.0,196.0,882.0
