,eicu,elsa,hrs,midus,mimic,nhanes,noaa,openaq,ukb_imaging,Total
Linear / GLM,34.8,81.5,78,85.5,23.6,86.1,52.6,20,48.5,53.6
Deep learning,7.9,4.4,0,1.6,19.1,0,5.3,25,25,11.9
Survival models,15.9,8.1,18,9.7,8.9,8.9,0,0,9.2,10.3
Tree-based ensemble,29.3,2.2,0,3.2,36.3,3.8,5.3,40,8.7,15.8
Kernel / instance-based,0,0.7,0,0,3.2,0,0,0,2,1.1
Other classical ML,4.9,0.7,0,0,3.8,1.3,5.3,0,1.5,2.3
Probabilistic / statistical,1.2,0,4,0,0,0,0,0,2,0.9
Ensemble / stacking,6.1,2.2,0,0,5.1,0,31.6,15,3.1,4.1
Papers (N),164,135,50,62,157,79,19,20,196,882
Total papers,350,350,242,208,350,179,628,136,563,3006
,0.468571429,0.385714286,0.20661157,0.298076923,0.448571429,0.441340782,0.030254777,0.147058824,0.348134991,
