,adni,eicu,elsa,hrs,midus,mimic,mpower,nhanes,noaa,openaq,radar_cns,studentlife,Total
ARIMA,0.0,0.0,0.0,0.0,0.0,0.4,1.7,0.0,3.5,1.6,0.0,1.1,0.5
AdaBoost,2.9,3.1,1.1,0.0,0.0,5.3,2.6,0.0,0.0,3.2,1.9,6.9,2.8
Autoencoder,9.9,2.7,1.1,0.0,0.0,2.2,7.0,0.0,0.0,4.8,7.5,10.3,4.2
Bayesian Regression,2.3,0.4,0.5,0.0,0.0,0.4,0.9,2.5,1.8,1.6,2.8,3.4,1.2
CNN,25.0,4.4,1.1,0.0,0.0,12.3,33.0,0.0,0.0,17.7,16.0,29.9,12.5
CatBoost,0.6,5.8,1.6,0.0,0.0,5.7,2.6,0.0,0.0,1.6,0.0,3.4,2.7
Cox Proportional Hazards,13.4,26.1,21.8,30.5,29.8,19.4,4.3,37.5,0.0,0.0,3.8,0.0,16.2
DNN,37.8,23.0,4.3,0.0,1.8,38.3,45.2,5.0,1.8,41.9,28.3,42.5,25.9
Decision Tree,15.1,14.2,5.3,0.0,0.0,24.2,22.6,5.0,10.5,12.9,11.3,24.1,14.2
Elastic Net,4.7,2.2,1.6,1.7,1.8,1.8,2.6,2.5,0.0,0.0,1.9,6.9,2.4
Ensemble,29.7,15.9,6.4,1.7,0.0,22.0,30.4,5.0,59.6,35.5,19.8,20.7,20.2
Extra Trees,0.6,0.9,0.0,0.0,0.0,0.9,1.7,0.0,0.0,6.5,0.0,2.3,0.9
Federated Learning,0.0,1.8,0.0,0.0,0.0,2.2,3.5,0.0,0.0,3.2,1.9,4.6,1.5
GRU,2.9,2.7,1.1,0.0,0.0,7.9,2.6,0.0,0.0,8.1,0.0,4.6,3.1
Generalized Estimating Equations,2.3,0.0,1.6,5.1,5.3,0.0,0.0,0.0,0.0,1.6,4.7,3.4,1.6
Gradient Boosting,7.0,25.2,1.6,0.0,0.0,30.8,4.3,2.5,0.0,22.6,4.7,11.5,12.7
Graph neural network,1.7,2.2,0.0,0.0,0.0,1.3,4.3,0.0,0.0,8.1,0.9,9.2,2.1
Hidden Markov Model,1.2,0.4,0.5,0.0,0.0,0.0,4.3,0.0,0.0,1.6,5.7,2.3,1.3
Joint Model,3.5,0.4,2.1,3.4,0.0,0.4,0.0,0.0,0.0,0.0,1.9,6.9,1.6
Kalman Filter,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,7.0,4.8,5.7,0.0,1.1
Kaplan–Meier,2.9,21.2,5.3,5.1,1.8,17.6,1.7,7.5,0.0,0.0,5.7,0.0,8.5
LASSO,12.8,15.9,1.6,5.1,1.8,16.3,4.3,5.0,0.0,1.6,3.8,12.6,9.0
LSTM,7.0,8.4,0.5,0.0,0.0,18.5,9.6,0.0,1.8,32.3,7.5,29.9,10.0
LightGBM,0.6,7.1,1.6,0.0,0.0,7.0,3.5,0.0,0.0,11.3,0.9,1.1,3.5
Linear Regression,21.5,9.7,18.1,5.1,21.1,7.5,19.1,22.5,15.8,29.0,13.2,16.1,15.1
Logistic Regression,22.1,52.7,62.2,50.8,33.3,58.6,27.8,47.5,0.0,1.6,17.9,21.8,39.1
MLP,4.7,4.9,1.6,0.0,1.8,9.7,11.3,2.5,0.0,4.8,3.8,12.6,5.5
Markov Model,1.2,0.9,1.6,0.0,0.0,0.0,5.2,0.0,1.8,1.6,5.7,4.6,1.8
Mixed-Effects Model,11.0,2.2,5.9,6.8,3.5,0.4,7.0,0.0,0.0,4.8,5.7,10.3,4.9
Naive Bayes,2.3,5.3,0.0,0.0,0.0,7.9,6.1,0.0,0.0,1.6,3.8,5.7,3.7
RNN,9.3,6.6,1.6,0.0,0.0,20.7,12.2,0.0,1.8,6.5,8.5,18.4,9.0
Random Forest,30.8,29.6,10.1,8.5,3.5,44.5,36.5,15.0,3.5,38.7,34.9,39.1,28.1
Random Survival Forest,1.2,3.1,0.5,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.9,0.0,1.1
Reinforcement Learning,0.6,3.1,0.5,0.0,0.0,3.1,5.2,0.0,0.0,1.6,0.9,5.7,2.1
Ridge Regression,2.9,0.9,0.5,0.0,0.0,1.3,2.6,2.5,0.0,1.6,0.9,5.7,1.6
Support Vector Machine,41.3,14.2,3.7,1.7,0.0,24.2,28.7,5.0,0.0,6.5,19.8,36.8,18.5
TCN,0.6,0.9,0.0,0.0,0.0,3.1,1.7,0.0,0.0,3.2,0.9,2.3,1.2
Transformer,27.9,19.5,12.8,16.9,26.3,20.3,39.1,30.0,19.3,17.7,54.7,39.1,25.6
XGBoost,4.1,32.3,1.6,1.7,0.0,33.9,6.1,2.5,0.0,19.4,3.8,12.6,14.0
k-Nearest Neighbors,7.0,8.0,1.6,3.4,0.0,18.5,9.6,0.0,0.0,9.7,2.8,19.5,8.2
Papers (N),172.0,226.0,188.0,59.0,57.0,227.0,115.0,40.0,57.0,62.0,106.0,87.0,1396.0
