,adni,eicu,elsa,hrs,midus,mimic,mpower,nhanes,noaa,openaq,radar_cns,studentlife,Total
ARIMA,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,4.3,0.0,0.0,0.0,0.4
AdaBoost,0.9,0.7,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4
Autoencoder,0.9,1.4,0.0,0.0,0.0,0.0,1.5,0.0,0.0,2.9,0.0,1.9,0.7
CNN,12.8,0.7,0.0,0.0,0.0,3.1,11.8,0.0,0.0,2.9,6.5,3.8,3.8
CatBoost,0.0,1.4,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.7
Cox Proportional Hazards,5.1,15.5,6.8,20.9,20.0,10.8,4.4,15.6,0.0,0.0,0.0,0.0,8.6
DNN,0.0,0.0,0.0,0.0,2.9,0.0,1.5,0.0,2.2,2.9,2.2,0.0,0.6
Decision Tree,2.6,0.0,0.7,0.0,0.0,1.5,4.4,3.1,10.9,0.0,4.3,7.5,2.3
Elastic Net,0.0,0.0,0.7,2.3,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.3
Ensemble,10.3,6.1,2.7,0.0,0.0,6.2,8.8,0.0,60.9,20.0,10.9,5.7,9.1
Federated Learning,0.0,2.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.9,0.6
GRU,0.0,0.7,0.0,0.0,0.0,1.5,0.0,0.0,0.0,2.9,0.0,0.0,0.4
Generalized Estimating Equations,0.0,0.0,0.0,4.7,2.9,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.4
Gradient Boosting,0.9,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.4
Graph neural network,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,3.8,0.7
Hidden Markov Model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.1
Joint Model,3.4,0.0,1.4,2.3,0.0,0.0,0.0,0.0,0.0,0.0,4.3,1.9,1.1
Kalman Filter,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,2.2,0.0,8.7,0.0,0.7
Kaplan–Meier,0.9,0.7,0.0,2.3,0.0,3.8,0.0,0.0,0.0,0.0,2.2,0.0,1.0
LASSO,5.1,6.1,0.7,2.3,0.0,3.1,2.9,3.1,0.0,0.0,0.0,3.8,2.9
LSTM,0.9,1.4,0.0,0.0,0.0,7.7,0.0,0.0,2.2,11.4,2.2,13.2,2.9
LightGBM,0.0,0.0,0.0,0.0,0.0,2.3,1.5,0.0,0.0,5.7,2.2,0.0,0.8
Linear Regression,13.7,1.4,15.0,4.7,28.6,0.0,14.7,25.0,13.0,11.4,15.2,5.7,10.0
Logistic Regression,13.7,28.4,68.7,58.1,45.7,18.5,17.6,46.9,0.0,0.0,10.9,9.4,29.0
MLP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.1
Markov Model,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.2
Mixed-Effects Model,0.9,0.7,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
Naive Bayes,0.9,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,2.2,0.0,0.3
RNN,2.6,0.7,0.7,0.0,0.0,3.1,0.0,0.0,0.0,0.0,2.2,1.9,1.2
Random Forest,10.3,6.8,2.0,0.0,0.0,10.0,13.2,6.2,2.2,22.9,8.7,18.9,8.0
Random Survival Forest,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Reinforcement Learning,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,1.9,0.6
Ridge Regression,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Support Vector Machine,12.8,0.0,0.7,0.0,0.0,0.8,1.5,0.0,0.0,0.0,13.0,1.9,2.8
TCN,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1.9,0.2
Transformer,0.9,4.7,0.0,0.0,0.0,0.8,4.4,0.0,0.0,5.7,0.0,9.4,2.1
XGBoost,0.0,14.9,0.0,0.0,0.0,19.2,2.9,0.0,0.0,5.7,0.0,3.8,5.9
Papers (N),117.0,148.0,147.0,43.0,35.0,130.0,68.0,32.0,46.0,35.0,46.0,53.0,900.0
