dataset,source_csv,row_index,title,doi_or_url,regime,regime_score,relevant,models_detected,families_detected,include_any_use,primary_model,primary_family,include_primary_only,primary_reason,doi_norm,openalex_openalex_id,openalex_doi,openalex_title,openalex_abstract,openalex_authors,openalex_source,openalex_year,openalex_publication_date,openalex_matched_ml_terms,openalex_regime_selected,openalex_matched_regime_terms,openalex__openalex_source_file,pdf_downloaded,manual_primary_family,manual_primary_model,manual_primary_ambiguous,manual_families_any,manual_models_any
gtex,openalex_gtex_H_ml_top350.csv,56,"Gene expression in African Americans, Puerto Ricans and Mexican Americans reveals ancestry-specific patterns of genetic architecture",https://doi.org/10.1038/s41588-023-01377-z,H,6,TRUE,Transformer; Random Forest; Elastic Net; Linear Regression; Joint Model; Decision Tree,Deep learning; Linear / GLM; Other classical ML; Survival models; Tree-based ensemble,TRUE,Random Forest,Tree-based ensemble,TRUE,ok,10.1038/s41588-023-01377-z,https://openalex.org/W4378212020,https://doi.org/10.1038/s41588-023-01377-z,"Gene expression in African Americans, Puerto Ricans and Mexican Americans reveals ancestry-specific patterns of genetic architecture","We explored ancestry-related differences in the genetic architecture of whole-blood gene expression using whole-genome and RNA sequencing data from 2,733 African Americans, Puerto Ricans and Mexican Americans. We found that heritability of gene expression significantly increased with greater proportions of African genetic ancestry and decreased with higher proportions of Indigenous American ancestry, reflecting the relationship between heterozygosity and genetic variance. Among heritable protein-coding genes, the prevalence of ancestry-specific expression quantitative trait loci (anc-eQTLs) was 30% in African ancestry and 8% for Indigenous American ancestry segments. Most anc-eQTLs (89%) were driven by population differences in allele frequency. Transcriptome-wide association analyses of multi-ancestry summary statistics for 28 traits identified 79% more gene-trait associations using transcriptome prediction models trained in our admixed population than models trained using data from the Genotype-Tissue Expression project. Our study highlights the importance of measuring gene expression across large and ancestrally diverse populations for enabling new discoveries and reducing disparities.","Linda Kachuri, Angel C. Y. Mak, Donglei Hu, et al.",Nature Genetics,2023,5/25/2023,prediction model; prediction,H,ct; gene expression; sequencing,openalex_gtex_H_ml_top350.csv,TRUE,Linear / GLM,Elastic Net,FALSE,Linear / GLM,Elastic Net
adni,openalex_adni_H_ml_top350.csv,150,P2‐066: Multivariate predictors of clinically relevant cognitive decay: A wide association study using available data from ADNI,https://doi.org/10.1016/j.jalz.2012.05.770,H,2,TRUE,Logistic Regression,Linear / GLM,TRUE,Logistic Regression,Linear / GLM,TRUE,ok,10.1016/j.jalz.2012.05.770,https://openalex.org/W1964022629,https://doi.org/10.1016/j.jalz.2012.05.770,P2‐066: Multivariate predictors of clinically relevant cognitive decay: A wide association study using available data from ADNI,"The Alzheimer's Disease Neuroimaging Initiative (ADNI) project is collecting and producing a comprehensive set of information for Alzheimer's disease, mild cognitive impairment and healthy control subjects that can be used to better understand the etiology and evolution of the Alzheimer's disease. The spread of information includes: clinical diagnosis, laboratory essays, MRI and PET analysis, genotyping, and medical history. The objective of this work is to determine whether there are multivariate combinations of the comprehensive baseline ADNI public data that can reliably predict clinically relevant cognitive decay. After preprocessing, 35 subjects from the ADNI who showed a clinically relevant worsening on the ADAS, MMSE and CDR scores within their baseline visit and their 3 year visit were selected as case subjects. A matching set of 35 subjects showing no clinically relevant decay in any of the aforementioned questionnaires up to their third year visit were selected as control subjects. For each subject, 1,130 variables were explored to build biomarkers: 162 from laboratory essays (e.g. total tau), 792 from MRI analysis (e.g. right hippocampal volume), 91 from PET analysis (e.g. mean metabolic rate for glucose in the right angular gyrus), 2 from genotyping (i.e. TOMM40 alleles 1 and 2), and 83 from medical history (e.g. maternal history of dementia). Two thirds of the subjects were randomly selected to train the models using a multivariate search strategy coupled to a nearest centroid classifier. Models were manually refined to generate a highly predictive model. We obtained a 4-feature biomarker, achieving a test accuracy of 87.65% and an AUROC of 0.857. The features included in the biomarker are: volume of left inferior parietal lobule and left putamen, and maximum metabolic rate for glucose in left temporal lobe and bilateral posterior cingulate. A logistic regression model showed that the volumes of the left interior parietal lobule (P-value = 0.001) and of the left putamen (P-value = 0.053) were the most significant features within the biomarker. Using a powerful search strategy that explores combinations of all available data, a highly predictive biomarker for cognitive decline was designed. It used two modalities of imaging information: MRI and PET. Confusion matrix showing the test sensitivity (0.861) and specificity (0.892) obtained with the designed biomarker","Antonio Martínez Torteya, José G. Tamez‐Peña, Víctor Treviño",Alzheimer s & Dementia,2012,7/1/2012,predictive; classifier; regression model; logistic regression,H,mri; ct; pet,openalex_adni_H_ml_top350.csv,FALSE,Linear / GLM,Logistic Regression,FALSE,Linear / GLM,Logistic Regression
camelyon,openalex_camelyon_H_ml_top350.csv,175,Histopatolojik Görüntülerde Kanser Tespit ve Lokasyon Yöntemleri,https://doi.org/10.31590/ejosat.888836,H,4,TRUE,CNN; DNN,Deep learning,TRUE,CNN,Deep learning,TRUE,ok,10.31590/ejosat.888836,https://openalex.org/W3154737409,https://doi.org/10.31590/ejosat.888836,Histopatolojik Görüntülerde Kanser Tespit ve Lokasyon Yöntemleri,"Meme lenf düğümlerinin histopatolojik görüntülerinde tümör tespiti meme kanseri teşhisinde en önemli bulgulardan bir tanesidir. Histopatolojik görüntüler, patologlar tarafından dikkatli bir şekilde incelenerek tümör tespiti yapılır. Bu işlem hem iş yükü yoğunluğuna hem de sübjektif bir değerlendirmeye neden olmaktadır. Görüntülerde tümörün otomatik tespiti için International Symposium on Biomedical Image (ISBI) tarafından Camelyon16 veri seti oluşturulmuştur. Bu veri seti, hızlı bölge tabanlı evrişimli sinir ağı (Faster Region-Based Convolutional Neural Network, Faster RCNN) ve mask bölge tabanlı evrişimli sinir ağı (Mask Region-Based Convolutional Neural Network, Mask RCNN) derin öğrenme algoritmaları kullanılarak tümör tespiti ve bölütleme yapılmıştır. Tüm slayt görüntülerin farklı seviye çözünürlüklerinde oluşturulan veri setleri ile Faster RCNN ve görüntülerin 3. çözünürlük seviyeden oluşturulan farklı boyutu veri setleri ile Mask RCNN algoritmaları performansları incelenmiştir. Son olarak ISBI’da dereceye giren HMS&MIT yöntemi kısıtlı bir veri seti üzerinde uygulanarak Faster RCNN ve Mask RCNN algoritmaları ile tüm slayt görüntüsü üzerindeki başarımları kıyaslanmıştır. Tüm slayt görüntülerinin analizinde Mask RCNN (%57) görüntülerin düşük çözünürlük seviyesinde (3. seviye) çalışmış olmasına rağmen yüksek çözünürlük seviyesinde (0. seviye) çalışan HMS&MIT (%58) yöntemine yakın bir doğruluk (AUC) değeri almaktadır.",Zehra Bozdağ,European Journal of Science and Technology,2021,3/20/2021,neural network; convolutional neural network; cnn; auc,H,,openalex_camelyon_H_ml_top350.csv,TRUE,Deep learning,CNN,FALSE,Deep learning;Tree-based ensemble,CNN;Random Forest
camelyon,openalex_camelyon_H_ml_top350.csv,134,NoiseAugmentNet-HHO: Enhancing Histopathological Image Classification Through Noise Augmentation,https://doi.org/10.1109/access.2024.3518575,H,2,TRUE,CNN; DNN,Deep learning,TRUE,CNN,Deep learning,TRUE,ok,10.1109/access.2024.3518575,https://openalex.org/W4405429355,https://doi.org/10.1109/access.2024.3518575,NoiseAugmentNet-HHO: Enhancing Histopathological Image Classification Through Noise Augmentation,"Histopathological image analysis is critical in contemporary medical diagnostics, enabling precise examination of tissue samples at microscopic levels. Despite advances in digital pathology and imaging technologies, developing robust deep learning classifiers for histopathological images remains challenging due to inherent variability and complexity. This study investigates the efficacy of noise augmentation and denoising techniques to enhance classifier performance. We systematically evaluate various noise augmentation methods across datasets including BACH, Camelyon17, and BreakHis, aiming to improve robustness under diverse noise conditions such as Salt and Pepper, Speckle, and Poisson. Key innovations include NoiseAugmentNet-HHO, which integrates Harris Hawks optimization (HHO) with VGG16, ResNet50, and deep CNN (DCNN). This model is designed to effectively manage noise types and achieve superior denoising performance, with metrics such as PSNR, entropy, SSIM, MSE, and MAE being used for evaluation. Pixel-wise regression is emphasized for accurate tissue structure assessment and anomaly detection. NoiseAugmentNet-HHO demonstrates significant improvements in classifier performance compared to traditional methods. It achieves high accuracy rates of 94.22% to 98.26% across the BACH, Camelyon17, and BreakHis datasets. Superior sensitivity (up to 98.36%) and specificity (up to 98.10%) further highlight its robust capability in accurately identifying image features. The encoder-decoder architecture of NoiseAugmentNet-HHO ensures robust feature extraction and reconstruction, preserving spatial information essential for accurate classification. Statistical analyses confirm its superiority in maintaining image fidelity and classification accuracy. NoiseAugmentNet-HHO outperforms traditional denoising methods across Salt and Pepper, Speckle, and Poisson noise types, effectively enhancing diagnostic precision. It demonstrates high effectiveness in noise reduction while preserving image details, proving its value in the robust evaluation of histopathological images.","Prem Purusottam Jena, Debahuti Mishra, Kaberi Das, et al.",IEEE Access,2024,1/1/2024,deep learning; classifier; classification; cnn,H,ct; image classification,openalex_camelyon_H_ml_top350.csv,FALSE,Deep learning,CNN;DNN,TRUE,Deep learning,CNN;DNN
gtex,openalex_gtex_H_ml_top350.csv,22,"MAPK signaling pathway-based glioma subtypes, machine-learning risk model, and key hub proteins identification",https://doi.org/10.1038/s41598-023-45774-0,H,6,TRUE,LASSO; Logistic Regression; Cox Proportional Hazards; Kaplan–Meier,Linear / GLM; Survival models,TRUE,LASSO,Linear / GLM,TRUE,ok,10.1038/s41598-023-45774-0,https://openalex.org/W4388340888,https://doi.org/10.1038/s41598-023-45774-0,"MAPK signaling pathway-based glioma subtypes, machine-learning risk model, and key hub proteins identification","An early diagnosis and precise prognosis are critical for the treatment of glioma. The mitogen‑activated protein kinase (MAPK) signaling pathway potentially affects glioma, but the exploration of the clinical values of the pathway remains lacking. We accessed data from TCGA, GTEx, CGGA, etc. Up-regulated MAPK signaling pathway genes in glioma were identified and used to cluster the glioma subtypes using consensus clustering. The subtype differences in survival, cancer stemness, and the immune microenvironment were analyzed. A prognostic model was trained with the identified genes using the LASSO method and was validated with three external cohorts. The correlations between the risk model and cancer-associated signatures in cancer were analyzed. Key hub genes of the gene set were identified by hub gene analysis and survival analysis. 47% of the MAPK signaling pathway genes were overexpressed in glioma. Subtypes based on these genes were distinguished in survival, cancer stemness, and the immune microenvironment. A risk model was calculated with high confidence in the prediction of overall survival and was correlated with multiple cancer-associated signatures. 12 hub genes were identified and 8 of them were associated with survival. The MAPK signaling pathway was overexpressed in glioma with prognostic value.","Hengrui Liu, Tao Tang",Scientific Reports,2023,11/4/2023,risk model; prediction; lasso; survival analysis,H,ct,openalex_gtex_H_ml_top350.csv,TRUE,Linear / GLM,LASSO,FALSE,Linear / GLM;Survival models,LASSO;Logistic Regression;Kaplan-Meier
adni,openalex_adni_H_ml_top350.csv,258,MS4A6A genotypes are associated with the atrophy rates of Alzheimer's disease related brain structures,https://doi.org/10.18632/oncotarget.9563,H,6,TRUE,Transformer; Linear Regression,Deep learning; Linear / GLM,TRUE,Linear Regression,Linear / GLM,TRUE,ok,10.18632/oncotarget.9563,https://openalex.org/W2399280193,https://doi.org/10.18632/oncotarget.9563,MS4A6A genotypes are associated with the atrophy rates of Alzheimer's disease related brain structures,"Membrane-spanning 4-domains, subfamily A, member 6A (MS4A6A) has been identified as susceptibility loci of Alzheimer's disease (AD) by several recent genome-wide association studies (GWAS), whereas little is known about the potential roles of these variants in the brain structure and function of AD. In this study, we included a total of 812 individuals from the Alzheimer's disease Neuroimaging Initiative (ADNI) database. Using multiple linear regression models, we found MS4A6A genotypes were strongly related to atrophy rate of left middle temporal (rs610932: Pc = 0.017, rs7232: Pc = 0.022), precuneus (rs610932: Pc = 0.015) and entorhinal (rs610932, Pc = 0.022) on MRI in the entire group. In the subgroup analysis, MS4A6A SNPs were significantly accelerated the percentage of volume loss of middle temporal, precuneus and entorhinal, especially in the MCI subgroup. These findings reveal that MS4A6A genotypes affect AD specific brain structures which supported the possible role of MS4A6A polymorphisms in influencing AD-related neuroimaging phenotypes.","Jing Ma, Alzheimer's Disease Neuroimaging Initiative, Wei Zhang, et al.",Oncotarget,2016,5/23/2016,regression model; linear regression; ann,H,mri; ct,openalex_adni_H_ml_top350.csv,TRUE,Linear / GLM,Linear Regression,FALSE,Linear / GLM,Linear Regression
ukb_imaging,openalex_ukb_imaging_H_ml_top350.csv,306,A sex-specific genome-wide association study of depression phenotypes in UK Biobank,https://doi.org/10.1038/s41380-023-01960-0,H,6,TRUE,Transformer; Linear Regression; Logistic Regression; Bayesian Regression,Deep learning; Linear / GLM; Probabilistic / statistical,TRUE,Linear Regression,Linear / GLM,TRUE,ok,10.1038/s41380-023-01960-0,https://openalex.org/W4319438833,https://doi.org/10.1038/s41380-023-01960-0,A sex-specific genome-wide association study of depression phenotypes in UK Biobank,"There are marked sex differences in the prevalence, phenotypic presentation and treatment response for major depression. While genome-wide association studies (GWAS) adjust for sex differences, to date, no studies seek to identify sex-specific markers and pathways. In this study, we performed a sex-stratified genome-wide association analysis for broad depression with the UK Biobank total participants (N = 274,141), including only non-related participants, as well as with males (N = 127,867) and females (N = 146,274) separately. Bioinformatics analyses were performed to characterize common and sex-specific markers and associated processes/pathways. We identified 11 loci passing genome-level significance (P < 5 × 10<sup>-8</sup>) in females and one in males. In both males and females, genetic correlations were significant between the broad depression GWA and other psychopathologies; however, correlations with educational attainment and metabolic features including body fat, waist circumference, waist-to-hip ratio and triglycerides were significant only in females. Gene-based analysis showed 147 genes significantly associated with broad depression in the total sample, 64 in the females and 53 in the males. Gene-based analysis revealed ""Regulation of Gene Expression"" as a common biological process, but suggested sex-specific molecular mechanisms. Finally, sex-specific polygenic risk scores (PRSs) for broad depression outperformed total and the opposite sex PRSs in the prediction of broad major depressive disorder. These findings provide evidence for sex-dependent genetic pathways for clinical depression as well as for health conditions comorbid with depression.","Patrícia Pelufo Silveira, Irina Pokhvisneva, David M. Howard, et al.",Molecular Psychiatry,2023,2/7/2023,prediction,H,ct; gene expression,openalex_ukb_imaging_H_ml_top350.csv,TRUE,Linear / GLM,Linear Regression,FALSE,Linear / GLM,Linear Regression;Logistic Regression
tcga,openalex_tcga_H_ml_top350.csv,60,Risk stratification for prostate cancer via the integration of omics data of The Cancer Genome Atlas,https://doi.org/10.21037/tcr.2018.06.01,H,7,TRUE,Logistic Regression; Cox Proportional Hazards; Random Survival Forest,Linear / GLM; Survival models,TRUE,Logistic Regression,Linear / GLM,TRUE,ok,10.21037/tcr.2018.06.01,https://openalex.org/W4240515457,https://doi.org/10.21037/tcr.2018.06.01,Risk stratification for prostate cancer via the integration of omics data of The Cancer Genome Atlas,"Background: Prostate carcinoma (PCa) is the second most common malignant disease in men. Despite evidence that prostate-specific antigen (PSA) screening can reduce PCa specific metastasis and death, it has not accepted by various health authorities. In fact, a broad range of heterogeneity causes different clinical and molecular behavior of PCa; risk stratification thus is helpful in guiding the optimal treatment of PCa patients.Methods: Here, we proposed a novel frame to perform risk stratification and identify PCa risk-related genes via integration of PCa omics data from The Cancer Genome Atlas (TCGA). Firstly, risk genes were extracted by applying Cox regression model. Secondly, consensus non-negative matrix factorization (CNMF) cluster algorithm was applied to RNA-seq expression data of these risk genes, and PCa patients were divided into two subtypes (named as low risk and high risk respectively). Thirdly, by combining with survival analysis and differential expression analysis based on two subtypes, a PCa subtype-related network module was identified.Results: The identified network module can serve as biomarkers such as SRC to predict PCa risk. In particular, we observed the obvious differences in the DNA methylation profile and copy number variation (CNV) of genes involved in the module between two PCa subtypes.Conclusions: The framework proposed in this paper provides an effective strategy for the comprehensive analysis of TCGA omics data and can help highlight the prevention and treatment stratification for PCa patients.","Lin Hua, Hong Xia, Wenbin Xu, et al.",Translational Cancer Research,2018,6/1/2018,regression model; algorithm; cox; survival analysis,H,omics; ct,openalex_tcga_H_ml_top350.csv,FALSE,Survival models,Cox Proportional Hazards,FALSE,Survival models,Cox Proportional Hazards
camelyon,openalex_camelyon_H_ml_top350.csv,169,A hybrid training method based on deep learning for medical images classification,https://doi.org/10.1109/iciscae55891.2022.9927695,H,1,TRUE,CNN; DNN,Deep learning,TRUE,CNN,Deep learning,TRUE,ok,10.1109/iciscae55891.2022.9927695,https://openalex.org/W4308216802,https://doi.org/10.1109/iciscae55891.2022.9927695,A hybrid training method based on deep learning for medical images classification,"Deep learning has gained remarkable results in many fields. However, using deep learning in medical fields is faced with the scarcity of datasets and the expensive cost of annotation data. So, this paper aims to demonstrate an exploration of whether different types of datasets can complement each other to fulfill the required number for training a model in deep learning. The first dataset is from the Kaggle, a modified version of the Patch Camelyon benchmark. Moreover, the second dataset is from the “Lung and Colon Cancer Histopathological Image Dataset,” which has 750 images of lung tissue and 500 images of colon tissues. The paper divides the datasets into five groups. It uses CNN and Resnet-18 separately to analyze and acquire each group's loss and accuracy value. According to the result of the experiment, using the Resnet-18 model can obtain a higher accuracy value than using the Custom-CNN model, and adding more datasets to the target dataset does not significantly influence the accuracy of the training model. Considering all datasets are imported directly, adding different related datasets by the specific method maybe is a proper way to solve the problem of limited amounts of data.","Mingyuan Li, Cyrus Silan Tang",2022 IEEE 5th International Conference on Information Systems and Computer Aided Education (ICISCAE),2022,9/23/2022,deep learning; classification; ann; cnn,H,ct,openalex_camelyon_H_ml_top350.csv,FALSE,Deep learning,CNN;DNN,TRUE,Deep learning,CNN;DNN
gtex,openalex_gtex_H_ml_top350.csv,94,GPA: A Statistical Approach to Prioritizing GWAS Results by Integrating Pleiotropy and Annotation,https://doi.org/10.1371/journal.pgen.1004787,H,6,TRUE,Transformer; Logistic Regression; Mixed-Effects Model,Deep learning; Linear / GLM; Probabilistic / statistical,TRUE,Logistic Regression,Linear / GLM,TRUE,ok,10.1371/journal.pgen.1004787,https://openalex.org/W2054344444,https://doi.org/10.1371/journal.pgen.1004787,GPA: A Statistical Approach to Prioritizing GWAS Results by Integrating Pleiotropy and Annotation,"Results from Genome-Wide Association Studies (GWAS) have shown that complex diseases are often affected by many genetic variants with small or moderate effects. Identifications of these risk variants remain a very challenging problem. There is a need to develop more powerful statistical methods to leverage available information to improve upon traditional approaches that focus on a single GWAS dataset without incorporating additional data. In this paper, we propose a novel statistical approach, GPA (Genetic analysis incorporating Pleiotropy and Annotation), to increase statistical power to identify risk variants through joint analysis of multiple GWAS data sets and annotation information because: (1) accumulating evidence suggests that different complex diseases share common risk bases, i.e., pleiotropy; and (2) functionally annotated variants have been consistently demonstrated to be enriched among GWAS hits. GPA can integrate multiple GWAS datasets and functional annotations to seek association signals, and it can also perform hypothesis testing to test the presence of pleiotropy and enrichment of functional annotation. Statistical inference of the model parameters and SNP ranking is achieved through an EM algorithm that can handle genome-wide markers efficiently. When we applied GPA to jointly analyze five psychiatric disorders with annotation information, not only did GPA identify many weak signals missed by the traditional single phenotype analysis, but it also revealed relationships in the genetic architecture of these disorders. Using our hypothesis testing framework, statistically significant pleiotropic effects were detected among these psychiatric disorders, and the markers annotated in the central nervous system genes and eQTLs from the Genotype-Tissue Expression (GTEx) database were significantly enriched. We also applied GPA to a bladder cancer GWAS data set with the ENCODE DNase-seq data from 125 cell lines. GPA was able to detect cell lines that are biologically more relevant to bladder cancer. The R implementation of GPA is currently available at http://dongjunchung.github.io/GPA/.","Dongjun Chung, Can Yang, Cong Li, et al.",PLoS Genetics,2014,11/13/2014,algorithm; ann,H,ct,openalex_gtex_H_ml_top350.csv,TRUE,Probabilistic / statistical,Mixed-Effects Model,FALSE,Probabilistic / statistical,Mixed-Effects Model
